text,lang,created_at,id,edit_history_tweet_ids,author_id
"RT @pledis_17: [17'S 호시] 내일도 화이팅🔥

#NowSVT https://t.co/ZmEzWdnEft",ko,2022-11-27T20:23:43.000Z,1596962999885234176,['1596962999885234176'],1315267191114088448
"RT @caratstalk: [17s] slogan for Tokyo dome day 2 
""Thank you for bringing me to the promised place""

Mau nangissssss😭😭😭😭😭😭😭 https://t.co/x…",en,2022-11-27T20:20:19.000Z,1596962141386731521,['1596962141386731521'],1315267191114088448
"RT @rizkabukanriska: ☀️seventeen be the sun (additional show) in jakarta freebies by @rizkabukanriska☀️

💎carat only!
💎28th december 2022
💎…",en,2022-11-27T20:18:58.000Z,1596961802222735360,['1596961802222735360'],1315267191114088448
@caratstalk 🍚,und,2022-11-27T05:17:41.000Z,1596734986803359745,['1596734986803359745'],1315267191114088448
"RT @saint_ww: 221126 #세븐틴 #SEVENTEEN #원우 #WONWOO #냥 #세븐틴에서_제일가는_멋쟁이 
@pledis_17 BE THE SUN 東京ドーム 
앞으로 계속계속 좋은 일만 있을꺼야 우리 행복아~ https://t.co/…",ja,2022-11-26T16:32:13.000Z,1596542349160878081,['1596542349160878081'],1315267191114088448
"RT @starfess: -hey siapa yang gak sabar idol k-pop konser disini??? cunggg 😭☝🏼

menurut kalian siapa yang pertama? 😭🤏🏻 https://t.co/LgVTFuk…",in,2022-11-26T05:47:25.000Z,1596380083752960000,['1596380083752960000'],1315267191114088448
@caratstalk Aku di section yellow M22 https://t.co/IgMMhVNrCZ,in,2022-11-23T08:47:06.000Z,1595338135780888576,['1595338135780888576'],1315267191114088448
"RT @horangiezzii: CARATS mohon perhatiannya sebentar ya...🙏

aku bingung orang harus koar-koar kek gimana lagi biar bisa rame masalah v0t1n…",in,2022-11-21T14:24:42.000Z,1594698320139911170,['1594698320139911170'],1315267191114088448
"RT @caratstalk: [17s] caratdeulll~~, isii yukk. Nanti sender edit truss tag kaliann^^💗.  From nya tulis aja "" carat "" https://t.co/6d3TyFhg…",in,2022-11-21T04:17:09.000Z,1594545428288397312,['1594545428288397312'],1315267191114088448
RT @baksuuucak: menurut dia 👍 tu garang kah https://t.co/WDCSYeROT1,in,2022-11-21T04:11:30.000Z,1594544002866745344,['1594544002866745344'],1315267191114088448
"Dm di Instagram yg tercantum di foto ya semua, yuk berangkat bareng blink jatim

📍Blink surabaya,sidoarjo dan sekitarnya

#BORNPINK
#BLACKPINK_WORLDTOUR 
#BLACKPINKinJKT 
#Blackpink https://t.co/xxmLhU1m3H",in,2022-11-18T14:13:55.000Z,1593608442073477120,['1593608442073477120'],1315267191114088448
