text,edit_history_tweet_ids,author_id,created_at,id,lang
"RT @Kaylan_TX: Just so we’re clear here, Assemblyman Voepel’s grandson was the mass shooter in Colorado https://t.co/5U8AXQfXCe",['1597065618154717184'],112225417,2022-11-28T03:11:30.000Z,1597065618154717184,en
"RT @katspjz: @EarlOfEnough Women Boomers remember when they didn't have reproduction, economic, and worker rights.  
We don't want younger…",['1597065473379950593'],112225417,2022-11-28T03:10:55.000Z,1597065473379950593,en
"RT @RachelBitecofer: I feel like if Democrats sprouted a communist wing, it'd be national news. Meanwhile an American fascist movement is a…",['1596982560718196736'],112225417,2022-11-27T21:41:27.000Z,1596982560718196736,en
RT @jennycohn1: THIS. Moms 4 Liberty is using the “parental rights” rhetoric to attack public schools. The public deserves to know the orig…,['1596982520813604864'],112225417,2022-11-27T21:41:18.000Z,1596982520813604864,en
"RT @nancylevine: @elonmusk @neontaster Delete your tweet, @elonmusk. 

Jews are under attack. YOU are fueling #antisemitic violence.

Print…",['1596982452085731330'],112225417,2022-11-27T21:41:01.000Z,1596982452085731330,en
"RT @RutherfordRocks: They're not ""shooters"". 

They're ""terrorists"".

They're not ""shootings"".

They're ""terrorist attacks"".

CALL. IT. WHA…",['1596982415263559682'],112225417,2022-11-27T21:40:52.000Z,1596982415263559682,en
RT @mommamia1217: Support for Republicans emboldens those who do not advocate for the best interest of ALL AMERICANS. https://t.co/SaYsYH6S…,['1596982390286864384'],112225417,2022-11-27T21:40:46.000Z,1596982390286864384,en
RT @ProjectLincoln: “The whole concept of voter impersonation fraud is such a horribly exaggerated problem. It doesn’t change the outcome o…,['1596982237303799808'],112225417,2022-11-27T21:40:10.000Z,1596982237303799808,en
"RT @VABVOX: This.
The fact is, if it had been Tom Brady or some other white GOP athlete instead of #BrittneyGriner who was wrongfully detai…",['1596982130114187264'],112225417,2022-11-27T21:39:44.000Z,1596982130114187264,en
"RT @rhjameson: Check this out via @nytimes. I'm a subscriber, you can read it thru this gift link. 

A requiem for children &amp; educators gon…",['1596982015395364864'],112225417,2022-11-27T21:39:17.000Z,1596982015395364864,en
"RT @LaurieKuhnke: @jennycohn1 @BonniBK A well- known dynamic of CPS is that teachers are the primary 2nd set of eyes on kids, and are Manda…",['1596981943538622464'],112225417,2022-11-27T21:39:00.000Z,1596981943538622464,en
"RT @nytimes: Two men arrested at New York’s Penn Station, in what authorities said was a “developing threat to the Jewish community,” have…",['1596981872038678528'],112225417,2022-11-27T21:38:43.000Z,1596981872038678528,en
"RT @cbouzy: Some troll just called the @nbpolice and swatted us. Said there was yelling, stomping, and screaming coming from our house. My…",['1596981769936736256'],112225417,2022-11-27T21:38:19.000Z,1596981769936736256,en
"RT @Will_Bunch: Blatant antisemitism, now infiltrating Mar-a-Lago, LGBTQ+ hatred including a mass shooting, AR-15s at protests -- the U.S.…",['1596981684964306944'],112225417,2022-11-27T21:37:58.000Z,1596981684964306944,en
RT @bradwparr: @amiethesquirrel @nbpolice Let's be clear that this isn't a both-sides thing.  Liberals aren't swatting people.  Liberals ar…,['1596981585471242240'],112225417,2022-11-27T21:37:35.000Z,1596981585471242240,en
