edit_history_tweet_ids,text,id,geo,created_at,author_id,lang
['1596973882472554496'],Missed my house 🥹,1596973882472554496,{'place_id': '3b97fb577b7bcfb8'},2022-11-27T21:06:58.000Z,419983075,en
['1596973783361146880'],Lookin like yesterday … i can’t wait to get home,1596973783361146880,{'place_id': '545d3cbd259866ef'},2022-11-27T21:06:34.000Z,419983075,en
['1596962143760683008'],Ugh i forgot my purse and didn’t realize until i was already on the highway… let’s just say I’m sizzling just a little 🤏🏽,1596962143760683008,{'place_id': '01cbd58e76f11140'},2022-11-27T20:20:19.000Z,419983075,en
['1596952320637403137'],"So excited for my twin , this is gonna be good for her 🫶🏽",1596952320637403137,{'place_id': '01cbd58e76f11140'},2022-11-27T19:41:17.000Z,419983075,en
['1596900340951130114'],Idk about this one lord 🥴,1596900340951130114,{'place_id': '01cbd58e76f11140'},2022-11-27T16:14:44.000Z,419983075,en
['1595941764199686144'],So happy to finally have somewhat of a normal appetite back,1595941764199686144,{'place_id': '11148050237800f2'},2022-11-25T00:45:42.000Z,419983075,en
['1595941666317164544'],Food was amazzingg this year!,1595941666317164544,{'place_id': '11148050237800f2'},2022-11-25T00:45:19.000Z,419983075,en
['1595897220834156545'],Happy Thanksgiving 🍁 https://t.co/Ooo1PtzHUV,1595897220834156545,{'place_id': '11148050237800f2'},2022-11-24T21:48:42.000Z,419983075,en
['1595491428200812558'],This is so freaking exciting 🥰,1595491428200812558,{'place_id': '3b97fb577b7bcfb8'},2022-11-23T18:56:13.000Z,419983075,en
['1594861391181221889'],"And just like that , boom I’m over it",1594861391181221889,{'place_id': '3b97fb577b7bcfb8'},2022-11-22T01:12:41.000Z,419983075,en
['1594831466537656335'],RT @heyhoneyrae: I just be posting. So whatever y’all take serious is y’all business😂,1594831466537656335,,2022-11-21T23:13:46.000Z,419983075,en
['1594829955804037120'],"Twitter be in my brain lol , just had to explain this to someone https://t.co/r94t97fQnu",1594829955804037120,{'place_id': '3b97fb577b7bcfb8'},2022-11-21T23:07:46.000Z,419983075,en
['1594824223054352384'],"RT @niicole__nicole: i like mine clingy , nasty , reassuring , calm , unapproachable &amp; obsessed with me .",1594824223054352384,,2022-11-21T22:44:59.000Z,419983075,en
['1594789570067181568'],This is cute …,1594789570067181568,{'place_id': '3b97fb577b7bcfb8'},2022-11-21T20:27:17.000Z,419983075,en
['1594787701181521925'],Lol where are all these women coming from 👀,1594787701181521925,{'place_id': '3b97fb577b7bcfb8'},2022-11-21T20:19:52.000Z,419983075,en
['1594526792047525889'],RT @lolabrooke718: I’m a private person ‘ I’m secretive and I’m territorial! again IM A PRIVATE PERSON …. Everything ain’t for the public,1594526792047525889,,2022-11-21T03:03:06.000Z,419983075,en
['1593810988448763904'],"RT @JeremiahLanez: My problem is… Once I like you, We supposed to be laid up every night 😭🥴",1593810988448763904,,2022-11-19T03:38:45.000Z,419983075,en
['1592890531662946307'],@m_zanii remember i was just talking about this !! https://t.co/FANYR99iKm,1592890531662946307,{'place_id': '3b97fb577b7bcfb8'},2022-11-16T14:41:11.000Z,419983075,en
['1592736551884435456'],Thought i was finished with school … chyyy they fooled me lol … almost there one more class 😓,1592736551884435456,{'place_id': '3b97fb577b7bcfb8'},2022-11-16T04:29:20.000Z,419983075,en
['1592643159292792832'],RT @DrTruth247: make it make sense.... finally a black person with some guts https://t.co/b85MgVJzIn,1592643159292792832,,2022-11-15T22:18:13.000Z,419983075,en
['1592211106734510080'],RT @lowkeyalbert: ok fuck sex.. are you good? have you ate? you need to vent? want me roll up &amp; lay w you?,1592211106734510080,,2022-11-14T17:41:24.000Z,419983075,en
['1590362491925602305'],I really be tryna spare you 🥷🏾… then i open my mouth and BOOMM… now i hurt your feelings 🙃,1590362491925602305,{'place_id': '3b97fb577b7bcfb8'},2022-11-09T15:15:40.000Z,419983075,en
['1589729164613279744'],Can’t lie experiments like #LoveIsBlind keep me believing that there really is someone for everyone.. just got to do the work and put the time in … you both have to want the same things 🥰,1589729164613279744,{'place_id': '3b97fb577b7bcfb8'},2022-11-07T21:19:03.000Z,419983075,en
['1588743622257967104'],Annoyed 😑,1588743622257967104,{'place_id': '3b97fb577b7bcfb8'},2022-11-05T04:02:51.000Z,419983075,en
['1587928871785369601'],Ugh i miss my friends 🥺,1587928871785369601,{'place_id': '3b97fb577b7bcfb8'},2022-11-02T22:05:19.000Z,419983075,en
['1587801545797681154'],Damn now i got those spammy sugar daddy’s AND mamas in my DMs 🤦🏽‍♀️,1587801545797681154,{'place_id': '3b97fb577b7bcfb8'},2022-11-02T13:39:23.000Z,419983075,en
['1587797810887495680'],I want a boyfriend or a sugar daddy whichever comes first 😂,1587797810887495680,{'place_id': '3b97fb577b7bcfb8'},2022-11-02T13:24:32.000Z,419983075,en
['1587433888363716614'],"Love is the easiest thing to happen by accident, but it gets real when you do it on purpose 💯",1587433888363716614,{'place_id': '3b97fb577b7bcfb8'},2022-11-01T13:18:26.000Z,419983075,en
['1585768797280927745'],Happy muhfukinnnnn birthday to myself !!!! 🥳🥳🥳👌🏽👌🏽,1585768797280927745,{'place_id': '3b97fb577b7bcfb8'},2022-10-27T23:01:58.000Z,419983075,en
['1584879231221530624'],RT @notmyfor_tay: I think once you start respecting yourself dating gets hard,1584879231221530624,,2022-10-25T12:07:09.000Z,419983075,en
['1583425030167617539'],"Same , shits outta hand fr 🫠 https://t.co/ukZ55obAqh",1583425030167617539,{'place_id': '3b97fb577b7bcfb8'},2022-10-21T11:48:40.000Z,419983075,en
['1583353800068599809'],It’s just ridiculous how off my sleep schedule is,1583353800068599809,{'place_id': '3b97fb577b7bcfb8'},2022-10-21T07:05:37.000Z,419983075,en
['1583177608241377280'],I’m going into my last year of my 20s … and it’s feeling real drastic 😂,1583177608241377280,{'place_id': '3b97fb577b7bcfb8'},2022-10-20T19:25:30.000Z,419983075,en
['1583177384253358080'],I just don’t know wtf it is about when my birthday come around yo 🤷🏽‍♀️,1583177384253358080,{'place_id': '3b97fb577b7bcfb8'},2022-10-20T19:24:37.000Z,419983075,en
['1583152960309108736'],RT @ArrogantTae123: 2022 taught me to never trust a SOUL.,1583152960309108736,,2022-10-20T17:47:33.000Z,419983075,en
['1583142142850891776'],RT @1dessdior: SCORPIO SEASON IS NEAR!!! TELL A FRIEND TO TELL A FRIEND,1583142142850891776,,2022-10-20T17:04:34.000Z,419983075,en
['1583141946033262593'],"RT @beautifu1lllll: I believe in fairytales; 
Ima always get my happy ending.
If I’m not happy, it’s not the end",1583141946033262593,,2022-10-20T17:03:47.000Z,419983075,en
