lang,edit_history_tweet_ids,text,author_id,id,created_at
qme,['1597030402740584449'],@PetersenWill https://t.co/gYW37cQcDE,1312401872,1597030402740584449,2022-11-28T00:51:34.000Z
qme,['1597026857974607872'],@ZacStevensDNVR https://t.co/AQkXKDSxQu,1312401872,1597026857974607872,2022-11-28T00:37:28.000Z
qme,['1596996509349748736'],@JoRo_NFL https://t.co/QSg0qCfcQu,1312401872,1596996509349748736,2022-11-27T22:36:53.000Z
und,['1596992731661815808'],@nathaliejacoby1 Me.,1312401872,1596992731661815808,2022-11-27T22:21:52.000Z
en,['1596992511502786560'],The @Broncos have fired Nathaniel Hackett per me. Sources me.,1312401872,1596992511502786560,2022-11-27T22:21:00.000Z
en,['1596983863833550848'],"@InfinityOrchid @CecilLammey @1043TheFan @Broncos Man, we need help. We are awful. It’s brutal.",1312401872,1596983863833550848,2022-11-27T21:46:38.000Z
en,['1596970426353098753'],@jamesmerilatt @DMacRadio Russ has been 🗑,1312401872,1596970426353098753,2022-11-27T20:53:14.000Z
en,['1596965815516995584'],"@MileHighGreco Why? Wouldn’t you rather have 2 more 1st round picks, 2 2nd round picks, 245 million to spend and a different coach? A dynamic QB who will get better. All that would be different. Not to mention Fant, Shelby, still.",1312401872,1596965815516995584,2022-11-27T20:34:55.000Z
ca,['1596964615271124992'],@PetersenWill 1000 percent.,1312401872,1596964615271124992,2022-11-27T20:30:09.000Z
en,['1596964398458814465'],@PetersenWill Agree!! Paton deserves accountability. This is what he built. He should go with Hackett.,1312401872,1596964398458814465,2022-11-27T20:29:17.000Z
en,['1596964217990434816'],@jamesmerilatt Fire Hackett. Fire Paton.,1312401872,1596964217990434816,2022-11-27T20:28:34.000Z
en,['1596964046464757760'],"@MaseDenver Mase, Paton has to go too. Hackett and Paton have to go.",1312401872,1596964046464757760,2022-11-27T20:27:53.000Z
en,['1596963522063532032'],@Broncos Fire Hackett mid game.,1312401872,1596963522063532032,2022-11-27T20:25:48.000Z
en,['1596962803205619712'],@MileHighGreco Surtain was the wrong pick. He isn’t a generational talent. He is a very good CB. Teams now see you can throw his way. He is not Deion Sanders.,1312401872,1596962803205619712,2022-11-27T20:22:57.000Z
en,['1596962291722788864'],"Nathaniel Hackett, you have been dumped from the island. You have 30 minutes to say goodbye and pack your things. Your journey ends here tonight. @Broncos",1312401872,1596962291722788864,2022-11-27T20:20:55.000Z
en,['1596961583569113089'],@jamesmerilatt Wilson is awful.,1312401872,1596961583569113089,2022-11-27T20:18:06.000Z
en,['1596961517487804416'],@Broncos it’s time to clean house. Hackett fired. Paton fired. Draft a QB.,1312401872,1596961517487804416,2022-11-27T20:17:50.000Z
en,['1596961178722631680'],@redwardsradio The @Broncos have to start planning for life post Wilson and draft a QB with their 1st Round pick. Best available QB grab them.,1312401872,1596961178722631680,2022-11-27T20:16:29.000Z
en,['1596960265261658112'],@redwardsradio Draft a QB!!!,1312401872,1596960265261658112,2022-11-27T20:12:51.000Z
en,['1596960119677366272'],"@CecilLammey Four Seasons, Wynn, or Bellagio.",1312401872,1596960119677366272,2022-11-27T20:12:17.000Z
en,['1596956925861646337'],"@jamesmerilatt I think the Broncos need to look at drafting a QB each year until we find Wilson’s replacement. He has not earned a no competition role on this team. Also, take his office away. Stop the I’m super cool PR videos. Read the room Russ.",1312401872,1596956925861646337,2022-11-27T19:59:35.000Z
en,['1596946922815705088'],@DangeRussWilson @Dalton_Risner66 @Broncos Coolest looking last place QB in the league right now. Thanks for this cool video from your PR team. Did you dream this up in your office?,1312401872,1596946922815705088,2022-11-27T19:19:50.000Z
en,['1596945761581010949'],@CecilLammey @1043TheFan The @Broncos need to draft a QB in every draft every year until one shows he is the guy. Every other position has competition but QB. Wilson has not shown me he is the guy long term.,1312401872,1596945761581010949,2022-11-27T19:15:14.000Z
