lang,id,text,created_at,author_id,edit_history_tweet_ids,geo
en,1596962071467261954,"We’ve partnered with Ivy Charging Network, one of Ontario’s largest fast-charging networks, to deliver an exciting new #EV ⚡️ solution.

It’ll help you #WanderON with confidence and ease across the province of Ontario and beyond. Can you guess what it is? Comment below 👇 https://t.co/HS3tWoA956",2022-11-27T20:20:02.000Z,351013017,['1596962071467261954'],
en,1595847217402630146,"Hey #EV drivers, we’ve partnered with Ivy Charging Network (@IvyCharge) to electrify your holiday season this year! 🎁

Stay tuned for an exciting announcement coming soon. 👀 #WanderON #KickGas https://t.co/XH8ATVoDVO",2022-11-24T18:30:00.000Z,351013017,['1595847217402630146'],
en,1595784316021518341,"NEWS ⚡️ @swtchenergy and Electric Circuit, the EV charging network operated by @hydroquebec, have signed a roaming agreement that allows account holders to charge their #EVs on either network through either company’s mobile app.

Convenience is key!
https://t.co/lfi8spdw0z",2022-11-24T14:20:03.000Z,351013017,['1595784316021518341'],
en,1594708860694106112,"Unfortunately, we had to postpone test drives for the @LightningeMtrs Lightning ZEV3 Cargo Van today.

If you are interested in being contacted for a future test drive opportunity, please complete the survey below! ⚡️

Book your test drive: https://t.co/W1X9Jtj88Q https://t.co/OiCfRN7N4a",2022-11-21T15:06:35.000Z,351013017,['1594708860694106112'],
en,1593347739844165632,"Calling all ONTARIO based delivery fleets and contractors! Come take a test drive in the @LightningeMtrs Lightning ZEV3 Cargo Van ⚡️

When: November 21 from 3 - 5 p.m.
Where: 400 Bradwick Drive, Suite 102 Concord, ON

Book your test drive! : https://t.co/JCTQegYcAP https://t.co/TVAmMZIQ0O",2022-11-17T20:57:58.000Z,351013017,['1593347739844165632'],
en,1592977924415959040,Reach out to contact@7gen.com to book a test drive in a @LightningeMtrs Lightning ZEV3 Zero Emission Transit Cargo Van and @GreenPowerBus EV Star Cargo Van ⚡️ https://t.co/uhDqhTf86y,2022-11-16T20:28:27.000Z,351013017,['1592977924415959040'],
en,1592641626920615936,"Calling Vancouver based local delivery fleets and contractors! ⚡

Come to meet the team from #EV and charger leasing company 7 Gen, as they provide test drives of Lightning eMotors cargo and Greenpower EV Star cargo vans.

For more info contact@7gen.com https://t.co/3rmd0mjL3m",2022-11-15T22:12:08.000Z,351013017,['1592641626920615936'],{'place_id': '1e5cb4d0509db554'}
en,1591109581865947137,"How much do #EVs cost? Should you lease or buy? 

Look no further. Find out how @scotiabank is helping future #EV owners make the switch from gas to electric: https://t.co/3E4dPP3f1U",2022-11-11T16:44:20.000Z,351013017,['1591109581865947137'],
en,1590792232814383104,"#ICYMI: @ParklandCorp signed a deal with California-based #EV charging tech company @FreeWireTech to install ultra-fast chargers across its charging network at On The Run convenience stores in B.C.

Read more:
https://t.co/K6y1gMHSLo",2022-11-10T19:43:18.000Z,351013017,['1590792232814383104'],
en,1590353286217240576,"We are cruising into the final days of our #EV Discovery Pop-Up with @TorontoHydro. 

We have SEVEN vehicles to choose from:

Volvo C40 + XC40
KIA EV6 + Sorento PHEV
Hyundai IONIQ 5 + Tucson PHEV
Chevy Bolt EUV

Book your test drive before its too late ⚡️
https://t.co/orZvJ3l8Ag",2022-11-09T14:39:05.000Z,351013017,['1590353286217240576'],
en,1589630793428905984,There were A LOT of happy faces at our MEET Mississauga event 😁 Visitors were excited to learn about sustainable transportation and start their #EV journey! https://t.co/s32DjSkqVx,2022-11-07T14:48:09.000Z,351013017,['1589630793428905984'],
en,1588876193180553216,"RT @JoeHomsy: Plug-in electric vehicles reach 9.5% market share in Q3 2022, including 19.9% in BC, 13.3% in Quebec, and 7.6% in Ontario htt…",2022-11-05T12:49:39.000Z,351013017,['1588876193180553216'],
en,1588570023622496256,.@OshawaPower is going above and beyond to help their community #KickGas ⚡️👏 https://t.co/BQNb1ASi7T,2022-11-04T16:33:02.000Z,351013017,['1588570023622496256'],
en,1588253863512985601,RT @EMC_MEC: Exciting &amp; productive advocacy day in Ottawa! EMC members had close to 40 scheduled mtgs with all parties to discuss why Canad…,2022-11-03T19:36:44.000Z,351013017,['1588253863512985601'],
en,1588250833355182080,"#ThrowbackThursday: In the 1980's, an #EV campaign was launched by environmental activists in Norway and the country's largest pop group at the time, A-ha.

There are now more than half a million EVs in Norway, with a population of just 5.4 million ⚡️ https://t.co/LcH2IwqACL",2022-11-03T19:24:41.000Z,351013017,['1588250833355182080'],
en,1588242613580484609,"#ICYMI: @ImperialOil partners with @FLOevchargingCA to⁩ roll out new EV charging network, giving #EV drivers across Canada access to public chargers at Imperial's ESSO and Mobil gas stations 👏

Read more: https://t.co/DIgF3NjAhx",2022-11-03T18:52:01.000Z,351013017,['1588242613580484609'],
