lang,id,text,edit_history_tweet_ids,author_id,created_at
en,1596977392521822210,"RT @NeuroArts_World: #Singapore High Court recognizes #NFTs as #property. This is great news for #Web3 members, investing #money in differe…",['1596977392521822210'],1572309293730304000,2022-11-27T21:20:55.000Z
en,1596977090875760641,RT @MotlatsiRamaema: Support local made in Lesotho https://t.co/b0X2A6YQBp,['1596977090875760641'],1572309293730304000,2022-11-27T21:19:43.000Z
qme,1596976836113625088,RT @lewisamlucas: @BadlyParkedB14 https://t.co/3V63Do3g0h,['1596976836113625088'],1572309293730304000,2022-11-27T21:18:42.000Z
en,1596976533641760770,RT @MrAndyNgo: @saegerart @Wtfportland1 That is the lie that Antifa and their allies used to justify attacks on the livelihoods of American…,['1596976533641760770'],1572309293730304000,2022-11-27T21:17:30.000Z
en,1596976242489757696,"RT @criticofpolecon: Socialist should only have casual sex, the family is a bourgeois institution based on private property",['1596976242489757696'],1572309293730304000,2022-11-27T21:16:21.000Z
en,1596975963832737793,"RT @2_auxipr_CN: 2022.11.26 So, the 18th floor (The Sherry Netherland) and Lady May will definitely become two of the greatest iconic prope…",['1596975963832737793'],1572309293730304000,2022-11-27T21:15:14.000Z
en,1596960897829720064,RT @outdoorsymood: beautiful interior https://t.co/2o9EHWoaOH,['1596960897829720064'],1572309293730304000,2022-11-27T20:15:22.000Z
en,1596960647891324930,RT @boymolish: 70s i believe was the golden age of interior design https://t.co/spZo4A7W7l,['1596960647891324930'],1572309293730304000,2022-11-27T20:14:23.000Z
en,1596960411148247040,RT @Interiorvilla1: Perfect house balcony https://t.co/rnGfDhWMIt,['1596960411148247040'],1572309293730304000,2022-11-27T20:13:26.000Z
en,1596960124211728384,RT @INTERIORHUB3: This apartment space &gt;&gt;&gt; https://t.co/Z9WQPaKbnO,['1596960124211728384'],1572309293730304000,2022-11-27T20:12:18.000Z
zxx,1596945770158112775,RT @MisterVince58: https://t.co/VvWO6qQpLL,['1596945770158112775'],1572309293730304000,2022-11-27T19:15:16.000Z
en,1596945570370711553,RT @OfficeOfMike: Basically you hate free speech. Cool. https://t.co/ZdGLoHtqRg,['1596945570370711553'],1572309293730304000,2022-11-27T19:14:28.000Z
en,1596945325654036480,"RT @captaincatJaw: Imagine the outrage if Millennials and Gen Z ran for office saying ""Boomers and Gen X have earned the right, through the…",['1596945325654036480'],1572309293730304000,2022-11-27T19:13:30.000Z
en,1596945075216723968,"RT @MindSongs: I'm curious to know where my paintings in Skeppy's care have ended up because I don't think he has that office anymore, I ho…",['1596945075216723968'],1572309293730304000,2022-11-27T19:12:30.000Z
en,1596928279713583104,RT @JVegaHD1: Awesome kids workshop today! We invited dinosaurs and had Santa to welcome our kids today! Nice job team Loganville! Thanks t…,['1596928279713583104'],1572309293730304000,2022-11-27T18:05:46.000Z
en,1596928051115397121,RT @mark_lj: Waiting for the guests to arrive on a Glencoe workshop with @DavidWardPhotos and just wandering the shoreline  by our house fo…,['1596928051115397121'],1572309293730304000,2022-11-27T18:04:51.000Z
