lang,id,text,created_at,author_id,edit_history_tweet_ids
en,1597048781039886337,"@DogMomToIsabell @george_undead @61CygnaiSN1987A @WllmMlln9602 @PrivatizeEdu That's desert. Yummy

Are you serious? Were any S-500 or S-400s captured?",2022-11-28T02:04:35.000Z,27620289,['1597048781039886337']
en,1597048427908853760,"@wheeler281 @hodgetwins Week of August 7th Ukraine had Separatist surrounded.

We know Russian soldiers started dying in Donbass starting August 9th.

18th Motorized Brigade from Chechnya took early heavy casualties.

104th regiment of 76th Guard almost wiped out.

From August 2014 onward Russians died",2022-11-28T02:03:11.000Z,27620289,['1597048427908853760']
en,1597047168837120000,"@wheeler281 @hodgetwins Once the Ukrainian Armed Forces recovered they pushed back the Separatist armed with Russian equipment.

Mercanaries from ""Russian world"" and Girkin marched on about May of 2014.

Even tried to call it Russian Spring... So lame

By August 25k separatist fought. 65% not local

2/3",2022-11-28T01:58:11.000Z,27620289,['1597047168837120000']
en,1597046239194857474,"@wheeler281 @hodgetwins How do you draw that conclusion?

Go back to 2014.  hodgepodge of Pro Russian annexation groups were supported by Russia since 1990s.

FSB organized. 65% served in Russian or Soviet Military. Many veterans joined law enforcement. 

(1/3)",2022-11-28T01:54:29.000Z,27620289,['1597046239194857474']
en,1597032462630400001,"@dpdiver20041 @bennyjohnson @mma4231987 The money we have given #Ukraine is negligible considering size of Defense budget.

Also remember this flows back into good American manufacturing jobs.",2022-11-28T00:59:45.000Z,27620289,['1597032462630400001']
en,1597032039609270273,"@Dank_H2O @davidfrum We had embedded Guard, military, and FBI in Ukraine since 2014.",2022-11-28T00:58:04.000Z,27620289,['1597032039609270273']
en,1597031831752187905,@manic_papa @davidfrum What is this NWO you speak of?,2022-11-28T00:57:14.000Z,27620289,['1597031831752187905']
en,1597031759383666688,"@colmirgo @AwkwardOrchid2 @jaraparilla @MaryKostakidis @Gerashchenko_en @sumlenny No.

Look to the Child kidnappings.

Another 15,000 just announced today.

The depopulation efforts fit genocide.

There was no Ukrainian on Ukrainian genocide in #Putin separatist warm

That war started with #Crimea invasion",2022-11-28T00:56:57.000Z,27620289,['1597031759383666688']
en,1597031343669800960,"@SusanOMahony8 @FoxNews How is Lend-Lease money laundering?

How about money that leads to US manufacturing jobs to make Javelins and Stingers?

Is that money laundering?

Should the Raytheon Board be arrested?",2022-11-28T00:55:18.000Z,27620289,['1597031343669800960']
en,1597030818827751425,@EKloczko @loandjk @War_Mapper Then what is you over/under for the UA liberating #Ukraine?,2022-11-28T00:53:13.000Z,27620289,['1597030818827751425']
en,1597030596542607360,@loandjk @Jarska96 @War_Mapper It gets resolved when #Putin leaves #Ukraine,2022-11-28T00:52:20.000Z,27620289,['1597030596542607360']
en,1597029946073182209,"@NorwoodCheryll @Jules31415 Send #Ukraine more.

Our total donations to #Ukraine a drop in the bucket.

Sorry you don't want to pay a little bit extra to stop the March of tyranny",2022-11-28T00:49:45.000Z,27620289,['1597029946073182209']
en,1597029634193129474,"@DustinAckley9 @BeschlossDC So Biden is getting bribed by both Russia and Ukraine?

Do you even pretend to be logical?",2022-11-28T00:48:30.000Z,27620289,['1597029634193129474']
