id,author_id,lang,text,edit_history_tweet_ids,created_at
1597042312542007297,2148064812,en,"@Lj_era8 @CastleWillKill @jtuck9 We love you Lamar, still the 16th best RB in the league",['1597042312542007297'],2022-11-28T01:38:53.000Z
1597037758236631042,2148064812,qme,@GloTooHard @barstoolsports https://t.co/yD5bPIAYnZ,['1597037758236631042'],2022-11-28T01:20:47.000Z
1597036828330106880,2148064812,en,"@ZacStevensDNVR I could write your tweets without being there, Zak",['1597036828330106880'],2022-11-28T01:17:06.000Z
1597036495033946112,2148064812,ca,@barstoolsports Lamar Durant amirite,['1597036495033946112'],2022-11-28T01:15:46.000Z
1597009721344475136,2148064812,en,@barstoolsports Imagine if Brady or Manning ever said this lmao,['1597009721344475136'],2022-11-27T23:29:23.000Z
1596994348889309184,2148064812,en,@NFLonFOX @DangeRussWilson GOAT,['1596994348889309184'],2022-11-27T22:28:18.000Z
1596983115192315904,2148064812,en,@ZacStevensDNVR very cool,['1596983115192315904'],2022-11-27T21:43:39.000Z
1596969758955798528,2148064812,en,@ZacStevensDNVR Very cool thanks Zak,['1596969758955798528'],2022-11-27T20:50:35.000Z
1596962883509710848,2148064812,en,"@ZacStevensDNVR Nice math, Zak. Keep up the good work",['1596962883509710848'],2022-11-27T20:23:16.000Z
1596962750437404672,2148064812,qme,@tylerjarvis828 @NFLonFOX @DangeRussWilson https://t.co/yREEwZtZAu,['1596962750437404672'],2022-11-27T20:22:44.000Z
1596962336958746624,2148064812,en,"@ZacStevensDNVR Good reporting, Zak",['1596962336958746624'],2022-11-27T20:21:05.000Z
1596959570387435520,2148064812,es,@SarChazm24 @NFLonCBS Broncos mole,['1596959570387435520'],2022-11-27T20:10:06.000Z
1596956312201756672,2148064812,qme,@ZacStevensDNVR https://t.co/3n8jUeez3U,['1596956312201756672'],2022-11-27T19:57:09.000Z
1596955876845178880,2148064812,en,@DangeRussWilson @Dalton_Risner66 @Broncos Grateful you joined the AFCW so the chiefs never lose to you for the next decade,['1596955876845178880'],2022-11-27T19:55:25.000Z
1596955438721171456,2148064812,qme,@MichaelCRussell https://t.co/yLf24m8imp,['1596955438721171456'],2022-11-27T19:53:41.000Z
1596860219400679424,2148064812,en,@SarChazm24 @FanDuel TRUE,['1596860219400679424'],2022-11-27T13:35:19.000Z
1596860020045807617,2148064812,en,@SarChazm24 @statmuse @rnelson3333 hopefully you have his nuggets jersey,['1596860020045807617'],2022-11-27T13:34:31.000Z
1596727312463953920,2148064812,qam,@statmuse @SarChazm24,['1596727312463953920'],2022-11-27T04:47:11.000Z
1596726016344412161,2148064812,is,@chrisolave_ Marv,['1596726016344412161'],2022-11-27T04:42:02.000Z
1596538929762603008,2148064812,en,@statmuse Players in the nba,['1596538929762603008'],2022-11-26T16:18:37.000Z
1596536824972746758,2148064812,und,@FanDuel Yes,['1596536824972746758'],2022-11-26T16:10:15.000Z
1595964505095213056,2148064812,en,@SarChazm24 @FDSportsbook Hell no I ride with rearn,['1595964505095213056'],2022-11-25T02:16:04.000Z
1595831133823827968,2148064812,und,@ZacStevensDNVR Lol,['1595831133823827968'],2022-11-24T17:26:06.000Z
1595656354420514816,2148064812,en,@JoshClarkDavis Shocking,['1595656354420514816'],2022-11-24T05:51:35.000Z
1595656089387028480,2148064812,en,@SarChazm24 @KingkillerKC @FDSportsbook @FanDuel_Support You need a burner account cheeze?,['1595656089387028480'],2022-11-24T05:50:32.000Z
1595653667578728449,2148064812,en,@SarChazm24 @YourUncleSteven Average at football,['1595653667578728449'],2022-11-24T05:40:54.000Z
1595653522712072192,2148064812,en,@BetMGM The denver broncos,['1595653522712072192'],2022-11-24T05:40:20.000Z
1595414379692199936,2148064812,en,@br_betting @FDSportsbook This guy is my spirit animal,['1595414379692199936'],2022-11-23T13:50:04.000Z
1595412319479435265,2148064812,en,"@RCJGraves @CFBONFOX Tbf, Crank That is a banger",['1595412319479435265'],2022-11-23T13:41:52.000Z
1595411451669147648,2148064812,qme,@NFL https://t.co/hGe8p668k3,['1595411451669147648'],2022-11-23T13:38:26.000Z
1595410948914704384,2148064812,en,@NFLonCBS Cup O’ Noodles,['1595410948914704384'],2022-11-23T13:36:26.000Z
