text,created_at,lang,id,edit_history_tweet_ids,author_id
"@suzyq8825 Johannesburg before Christmas. Criminals on the prowl to make extra money.  But I'm lucky I had the eagle-eyed Uber driver who saved me from grave danger. They'd shoot you for a cellphone here, let alone a car.  But thanks Suzy dear.",2022-11-27T20:46:12.000Z,en,1596968657812267009,['1596968657812267009'],36073634
@McgregorWestie That must have been fun McGregor!,2022-11-27T20:40:22.000Z,en,1596967188073943040,['1596967188073943040'],36073634
RT @rbisrb: Closing Ceremonies at the Trump Family Reunion... https://t.co/Nf7acm4Pn3,2022-11-27T20:39:45.000Z,en,1596967031815168000,['1596967031815168000'],36073634
"RT @EricFoltz: Look who else hangs out with NAZIs.

Paul Gosar https://t.co/5s21RbpVag",2022-11-27T20:39:35.000Z,en,1596966989930835968,['1596966989930835968'],36073634
@LockUpCheeto @elonmusk 😡,2022-11-27T20:39:20.000Z,und,1596966930044551174,['1596966930044551174'],36073634
"RT @LockUpCheeto: How’bout it, @elonmusk https://t.co/ENQcAwd7Bh",2022-11-27T20:38:50.000Z,en,1596966802047004673,['1596966802047004673'],36073634
RT @suzyq8825: #VoteWarnockForGeorgia 👇👇👇👇👇👇👇👇💙💙💙 https://t.co/YGmkpwBOmw,2022-11-27T20:38:08.000Z,und,1596966628008206336,['1596966628008206336'],36073634
@genzforchange It's not. Don't let him ever become president of your country. If you think Trump was bad.... Get ready. 😖,2022-11-27T20:34:21.000Z,en,1596965671849852928,['1596965671849852928'],36073634
"RT @genzforchange: So Elon Musk says he’s fighting for free speech in America but would support Ron DeSantis in 2024…

Ron DeSantis bans bo…",2022-11-27T20:33:05.000Z,en,1596965356178145280,['1596965356178145280'],36073634
RT @DashDobrofsky: Ron DeSantis passed laws in his state to ban LGBTQ-themed books from Florida school boards. Not a far cry from Hitler’s…,2022-11-27T20:32:34.000Z,en,1596965223684268032,['1596965223684268032'],36073634
@lindyli And may God help America.,2022-11-27T20:32:04.000Z,en,1596965098798878720,['1596965098798878720'],36073634
"RT @lindyli: Billionaire Elon Musk supports Ron DeSantis for President

Billionaire Rupert Murdoch supports DeSantis for President

Billion…",2022-11-27T20:31:39.000Z,en,1596964995639566336,['1596964995639566336'],36073634
RT @PalmerReport: There’s a reason most (not all) major media outlets are falsely characterizing Trump’s white supremacist dinner partner a…,2022-11-27T20:31:02.000Z,en,1596964838697500672,['1596964838697500672'],36073634
