edit_history_tweet_ids,lang,created_at,author_id,id,text,geo
['1596962184059297794'],en,2022-11-27T20:20:29.000Z,200092299,1596962184059297794,"New artwork for sale! - ""Along the West Fork River Trail"" - https://t.co/93RKceOjF7 @fineartamerica https://t.co/bxfPM7Y00r",
['1596961098409836545'],en,2022-11-27T20:16:10.000Z,200092299,1596961098409836545,"New artwork for sale! - ""Along the West Fork River Trail"" - https://t.co/irWLfNc239 @fineartamerica https://t.co/v7ZCyF99CH",
['1596958348934529030'],en,2022-11-27T20:05:15.000Z,200092299,1596958348934529030,"New artwork for sale! - ""Marion County Pond at Fall"" - https://t.co/jka5esd4Io @fineartamerica https://t.co/LsW6Tjgt2b",
['1596958271784435712'],en,2022-11-27T20:04:56.000Z,200092299,1596958271784435712,"New artwork for sale! - ""Marion County Pond at Fall"" - https://t.co/EPcTJnBRVy @fineartamerica https://t.co/aiP7akd5dJ",
['1596952561692672001'],en,2022-11-27T19:42:15.000Z,200092299,1596952561692672001,"New artwork for sale! - ""Prickett Creek Fall"" - https://t.co/x1wWY3DVoH @fineartamerica https://t.co/dl9pegXPdt",
['1596950868838027266'],en,2022-11-27T19:35:31.000Z,200092299,1596950868838027266,"New artwork for sale! - ""Prickett Creek Fall"" - https://t.co/0I3byNxgAn @fineartamerica https://t.co/W58taQ30k7",
['1596950800886075394'],en,2022-11-27T19:35:15.000Z,200092299,1596950800886075394,"New artwork for sale! - ""Prickett Creek Fall"" - https://t.co/5YD7lJBcCe @fineartamerica https://t.co/hYgRE5Lkfg",
['1596950603040624640'],en,2022-11-27T19:34:28.000Z,200092299,1596950603040624640,"New artwork for sale! - ""Prickett Creek Fall"" - https://t.co/cBBGKozBQH @fineartamerica https://t.co/1Mw2lyU5yV",
['1596943485730373634'],en,2022-11-27T19:06:11.000Z,200092299,1596943485730373634,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/IKiaaCVn1j @fineartamerica https://t.co/a2EELn4pLI",
['1596942424047497216'],en,2022-11-27T19:01:58.000Z,200092299,1596942424047497216,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/1ezLVdKNuU @fineartamerica https://t.co/UDhtEos9uA",
['1596942270313697280'],en,2022-11-27T19:01:21.000Z,200092299,1596942270313697280,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/VcJNuk7ZIV @fineartamerica https://t.co/dy1ODlHcCq",
['1596942184523055105'],en,2022-11-27T19:01:01.000Z,200092299,1596942184523055105,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/qdyzKDTNcY @fineartamerica https://t.co/njYAHmLdcD",
['1596941223914360833'],en,2022-11-27T18:57:12.000Z,200092299,1596941223914360833,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/9oOuVLPagz @fineartamerica https://t.co/VNkU7pdkFY",
['1596941017202180096'],en,2022-11-27T18:56:22.000Z,200092299,1596941017202180096,"New artwork for sale! - ""Fall at Valley Falls"" - https://t.co/6D0rO7KFb1 @fineartamerica https://t.co/D0VmQhqiXZ",
['1596937975669354496'],en,2022-11-27T18:44:17.000Z,200092299,1596937975669354496,"New artwork for sale! - ""Fall at Moats Falls"" - https://t.co/cdIhvKjo6y @fineartamerica https://t.co/eYKquD1dR0",
['1596618587615158272'],en,2022-11-26T21:35:09.000Z,200092299,1596618587615158272,"New artwork for sale! - ""Fall at Toms Run"" - https://t.co/l9qC5DZmMh @fineartamerica https://t.co/A9H9MAkoYF",
['1596618399521669120'],en,2022-11-26T21:34:24.000Z,200092299,1596618399521669120,"New artwork for sale! - ""Toms Run Preserve Waterfall"" - https://t.co/IDBUw06d7R @fineartamerica https://t.co/mydeguAopQ",
['1596617475445096448'],en,2022-11-26T21:30:44.000Z,200092299,1596617475445096448,"New artwork for sale! - ""Toms Run Preserve Waterfall"" - https://t.co/ZIAJN81TxE @fineartamerica https://t.co/6ql8aP2BQc",
['1596617255608938496'],en,2022-11-26T21:29:52.000Z,200092299,1596617255608938496,"New artwork for sale! - ""Toms Run Preserve Waterfall"" - https://t.co/Ia9Phae8EX @fineartamerica https://t.co/qXqODUFk7J",
['1596615731122036736'],en,2022-11-26T21:23:48.000Z,200092299,1596615731122036736,"New artwork for sale! - ""Toms Run Preserve Waterfall"" - https://t.co/fA4jD23jLE @fineartamerica https://t.co/xN0ZP84bcZ",
['1596615630593007617'],en,2022-11-26T21:23:24.000Z,200092299,1596615630593007617,"New artwork for sale! - ""Toms Run Preserve Waterfall"" - https://t.co/EPc21nWImD @fineartamerica https://t.co/LNuJsAhVww",
['1596615436392894464'],en,2022-11-26T21:22:38.000Z,200092299,1596615436392894464,"New artwork for sale! - ""Toms Run Waterfall"" - https://t.co/DwomhYoOfI @fineartamerica https://t.co/BZbECEiV42",
['1596610748348010496'],en,2022-11-26T21:04:00.000Z,200092299,1596610748348010496,"New artwork for sale! - ""Infrared at PWMA"" - https://t.co/EuaQhHLxLD @fineartamerica https://t.co/vYllg618Du",
['1596609571270836224'],en,2022-11-26T20:59:20.000Z,200092299,1596609571270836224,"New artwork for sale! - ""Infrared at MDHP"" - https://t.co/ww5bUtM1tq @fineartamerica https://t.co/lcelhaDQbC",
['1596609349337612290'],en,2022-11-26T20:58:27.000Z,200092299,1596609349337612290,"New artwork for sale! - ""Infrared at MDHP"" - https://t.co/7eks0zVbFo @fineartamerica https://t.co/wVedV9vuK3",
['1596606850543271937'],en,2022-11-26T20:48:31.000Z,200092299,1596606850543271937,"New artwork for sale! - ""Vegetation at MDHP"" - https://t.co/sCDvNnWuYI @fineartamerica https://t.co/m99hApr8m9",
['1596605864328429569'],en,2022-11-26T20:44:36.000Z,200092299,1596605864328429569,"New artwork for sale! - ""Vegetation at MDHP"" - https://t.co/GGIIhBBr0h @fineartamerica https://t.co/cXvBo8Vwmw",
['1596572857391149056'],en,2022-11-26T18:33:26.000Z,200092299,1596572857391149056,"New artwork for sale! - ""Along the Mon River Trail"" - https://t.co/oHWVwTMClf @fineartamerica https://t.co/d9FFSjjp7i",
['1596571962780028928'],en,2022-11-26T18:29:53.000Z,200092299,1596571962780028928,"New artwork for sale! - ""Along the Mon River Trail"" - https://t.co/OHLdEEgGE2 @fineartamerica https://t.co/X0vx96JyoD",
['1596571721624166401'],en,2022-11-26T18:28:55.000Z,200092299,1596571721624166401,"New artwork for sale! - ""Along the Mon River Trail"" - https://t.co/IAMKWcd7e8 @fineartamerica https://t.co/neSo1TVdBf",
['1596568825960726528'],en,2022-11-26T18:17:25.000Z,200092299,1596568825960726528,"New artwork for sale! - ""Fall at Toms Run"" - https://t.co/Hch1TKDM3B @fineartamerica https://t.co/wHMSVvpdjS",
['1596568504244789250'],en,2022-11-26T18:16:08.000Z,200092299,1596568504244789250,"New artwork for sale! - ""Fall at Toms Run"" - https://t.co/hHWjYcQIV2 @fineartamerica https://t.co/aVmSflWfTn",
['1596566981557174272'],en,2022-11-26T18:10:05.000Z,200092299,1596566981557174272,"New artwork for sale! - ""Fall at Toms Run"" - https://t.co/zU4qwKu2Nm @fineartamerica https://t.co/rA391T22sM",
['1596564955779694592'],en,2022-11-26T18:02:02.000Z,200092299,1596564955779694592,"New artwork for sale! - ""Along the West Fork River Trail"" - https://t.co/VYQPWkgaF1 @fineartamerica https://t.co/bA9sztrIv7",
['1594433174725083136'],en,2022-11-20T20:51:06.000Z,200092299,1594433174725083136,"New artwork for sale! - ""Along the West Fork River Trail"" - https://t.co/FmjnQbbOgN @fineartamerica https://t.co/Z2rpRfjTKT",
['1594432044695957504'],en,2022-11-20T20:46:37.000Z,200092299,1594432044695957504,"New artwork for sale! - ""Along the Marion County Trail"" - https://t.co/iT8nPIjDd7 @fineartamerica https://t.co/j5a4yuqwTg",
['1594431865758302210'],en,2022-11-20T20:45:54.000Z,200092299,1594431865758302210,"New artwork for sale! - ""Along the Marion County Trail"" - https://t.co/vG6Hiy6yNt @fineartamerica https://t.co/9jNEiieJwj",
['1594425041004871682'],en,2022-11-20T20:18:47.000Z,200092299,1594425041004871682,"New artwork for sale! - ""Vegetation Along the Mon River Trail"" - https://t.co/WrbnItGLwU @fineartamerica https://t.co/KiVF7N6q7o",
['1594424975334658049'],en,2022-11-20T20:18:31.000Z,200092299,1594424975334658049,"New artwork for sale! - ""Vegetation Along the Mon River Trail"" - https://t.co/K3AtKvMrmV @fineartamerica https://t.co/DQ0vfjdake",
['1594064800203493376'],en,2022-11-19T20:27:19.000Z,200092299,1594064800203493376,"New artwork for sale! - ""Along the West Fork River Trail"" - https://t.co/o7DIANx3t9 @fineartamerica https://t.co/3WmlATAeul",
['1594063258658697216'],en,2022-11-19T20:21:11.000Z,200092299,1594063258658697216,"New artwork for sale! - ""Rope Swing Along the Mon River Trail"" - https://t.co/AasWCbOnkN @fineartamerica https://t.co/wsKFy5V36U",
['1594061319241621504'],en,2022-11-19T20:13:29.000Z,200092299,1594061319241621504,"New artwork for sale! - ""Forest Fungus"" - https://t.co/s2MoumN8Ri @fineartamerica https://t.co/IDfpduwopF",
['1594059626273710081'],en,2022-11-19T20:06:45.000Z,200092299,1594059626273710081,"New artwork for sale! - ""Forest Ferns Black and White"" - https://t.co/B4UrwIKJlo @fineartamerica https://t.co/oaWQwlLeIU",
['1594059442915377152'],en,2022-11-19T20:06:02.000Z,200092299,1594059442915377152,"New artwork for sale! - ""Forest Fungus"" - https://t.co/Qos1ntgpoA @fineartamerica https://t.co/Zdacz4gRuF",
['1594058283245047810'],en,2022-11-19T20:01:25.000Z,200092299,1594058283245047810,"New artwork for sale! - ""Summer Vegetation and Ferns"" - https://t.co/S2W0pg6AVT @fineartamerica https://t.co/cSG1NptlSm",
