created_at,text,lang,author_id,edit_history_tweet_ids,id
2022-11-27T20:20:57.000Z,RT @mrngunnawal: Hello and good morning from the beautiful lands of the Ngunnawal people. Have a great journey today. Dream strong and drea…,en,2218505628,['1596962303127457792'],1596962303127457792
2022-11-25T22:58:13.000Z,"@gazman143 How true, Howard created the playbook. Shame that he left so many economic/tax land mines in his wake.",en,2218505628,['1596277102525186048'],1596277102525186048
2022-11-25T22:13:29.000Z,"RT @MFWitches: The story about @AlboMP forgetting the cash rate loudly persisted for 5 long weeks.

The story about investigative proof Mor…",en,2218505628,['1596265845432659968'],1596265845432659968
2022-11-25T02:00:40.000Z,"@JohnRuddick2 The graph of productivity to wages looks very similar, coincidence?",en,2218505628,['1595960630569492480'],1595960630569492480
2022-11-25T01:58:46.000Z,"@ROO3sixty @callum6052 @JohnRuddick2 Hahahaha, spent to much time at the business men's club developing answers to unionism. Follows the productivity argument.",en,2218505628,['1595960151298965504'],1595960151298965504
2022-11-24T04:40:24.000Z,RT @deemadigan: 'Everyone is this room wants higher wages' says the  Senator from the previous govt - who admitted low wages were a deliber…,en,2218505628,['1595638442125557761'],1595638442125557761
2022-11-24T03:52:52.000Z,Sorry if retweeted already https://t.co/TlvnkZCHn8,en,2218505628,['1595626477550473216'],1595626477550473216
2022-11-24T02:36:13.000Z,RT @Briggs: Whitefullas need to understand the difference between having Indigenous Heritage and being a blackfulla. We always need to be r…,en,2218505628,['1595607188659400704'],1595607188659400704
2022-11-24T02:18:54.000Z,@RobertArnol @idahanks8 Why when it appears to be intentional disregard of the law.,en,2218505628,['1595602831905808384'],1595602831905808384
2022-11-24T01:14:47.000Z,"@BradTakei @GeorgeTakei I strangely feel this sounds a bit like the election was stolen whistle, three terms and then no rule of law under emperor ""Trump"".",en,2218505628,['1595586694329565184'],1595586694329565184
2022-11-24T01:10:06.000Z,@JohnRuddick2 Through the round window today?,en,2218505628,['1595585516376051712'],1595585516376051712
2022-11-24T01:06:35.000Z,@Briggs @Qldaah Seriously concur,en,2218505628,['1595584631143030785'],1595584631143030785
2022-11-24T01:03:30.000Z,In a nutshell @sallymcmanus https://t.co/w6S2LdL7Mx,en,2218505628,['1595583857344278528'],1595583857344278528
2022-11-23T00:41:45.000Z,"RT @Sachk0: The best performance of the day?

Harry Kewell.

Absolutely superb on the mic. No bull****. Said it how he sees it + great insi…",en,2218505628,['1595215995274407940'],1595215995274407940
2022-11-22T04:06:58.000Z,RT @DrVicFielding: Who did this? 😂,en,2218505628,['1594905252024971264'],1594905252024971264
2022-11-22T04:06:08.000Z,@Milliganreports This is the level of our good Christian spokespeople in the current forum. Obviously another rule re false witness chucked in the bin.,en,2218505628,['1594905040908873728'],1594905040908873728
2022-11-19T23:01:56.000Z,"RT @BelindaJones68: So, @Birmo  is against a windfall tax for big energy bcuz it would be a ""disincentive for investors""

FMD!!!🤬

'The ric…",en,2218505628,['1594103713530273792'],1594103713530273792
2022-11-19T22:58:21.000Z,"RT @BazzaCC: Jacaranda season....
 Grafton 😍😍😍 https://t.co/IySqBtiS7X",en,2218505628,['1594102810244976640'],1594102810244976640
2022-11-19T22:58:16.000Z,"@BazzaCC Better late than never, my jacaranda stick took awhile to flower this year.",en,2218505628,['1594102790783406081'],1594102790783406081
2022-11-19T22:53:20.000Z,"RT @Sydney_Science: 🎄When was the last time you saw a Christmas beetle? Sightings appear to be in decline, but without a long-term study, s…",en,2218505628,['1594101548300521472'],1594101548300521472
2022-11-16T10:54:32.000Z,"RT @isaachayes: Once again, The estate and family of Isaac Hayes DID NOT approve the use of “Hold on I’m coming’” by Sam and Dave by Donald…",en,2218505628,['1592833492718850048'],1592833492718850048
2022-11-14T05:16:50.000Z,@DerekRobinson2 Satire or straight comedy?,en,2218505628,['1592023732809498624'],1592023732809498624
2022-11-14T05:15:32.000Z,@kentparktweet It's long and uninspiring wake via the Age and SMH.,en,2218505628,['1592023401895710722'],1592023401895710722
2022-11-13T03:27:27.000Z,RT @ChristyDanFan: The Victorian Liberal party pick some nice people. NOT! This what they stand for. In a nutshell. https://t.co/mXiKOS2A7o,en,2218505628,['1591633816615284736'],1591633816615284736
2022-11-10T21:55:17.000Z,Read thread https://t.co/tZpNf1rxOn,en,2218505628,['1590825446459207680'],1590825446459207680
2022-11-10T21:49:46.000Z,@EvaVlaar @JohnRuddick2 Wouldn't like to know John?,en,2218505628,['1590824059998461952'],1590824059998461952
2022-11-10T21:47:03.000Z,"RT @FrogIDAus: Take part in FrogID Week 11-20 November! Whether from your urban backyard, farm dam, pond, creek or stream, every frog call…",en,2218505628,['1590823374447874050'],1590823374447874050
2022-11-10T20:04:11.000Z,RT @OfficialMLK3: I am deeply troubled by the scores of election deniers who have won this election. Their lies threaten the bedrock of our…,en,2218505628,['1590797487971106816'],1590797487971106816
2022-11-10T19:50:31.000Z,"@JohnRuddick2 You are an assertion king, but you don't support with evidence. So please send a little evidence.",en,2218505628,['1590794050495741954'],1590794050495741954
