lang,id,text,created_at,author_id,edit_history_tweet_ids
en,1597056205801017344,"@jwordfish @i_zzzzzz you're telling me all this stuff I'm watching on my computer gets made by another company and they, what, break into my house at night and stick it all in there?? ohhhkay buddy",2022-11-28T02:34:05.000Z,272476744,['1597056205801017344']
en,1597054719444545536,RT @i_zzzzzz: I hope Bob Iger does end up selling Disney to Apple. I’m tired of having to remember which company does what. There should ju…,2022-11-28T02:28:11.000Z,272476744,['1597054719444545536']
en,1597053432820817920,@BAKKOOONN hey man its not very cool how you're discounting the lived experience of this senior writer of a blog about Teslas saying Elon wasn't a dick to her the time she said hi to him,2022-11-28T02:23:04.000Z,272476744,['1597053432820817920']
en,1597005239621910528,"@Qban_Linx hello everyone my family is constantly nauseous, all of us, just puking all the time. our home is a hellish vomitorium,  just nonstop blowing chunks chaos. anyway my tweet today is about bowls",2022-11-27T23:11:34.000Z,272476744,['1597005239621910528']
en,1597001516355039232,"@crulge I was sick of being punched on the street for my terrible views. And even sicker of people saying ""maybe you wouldn't get punched if your views weren't so terrible"". So I invented No Punching Me Street. The same street except I bought it and I own it and you can't punch me on it",2022-11-27T22:56:47.000Z,272476744,['1597001516355039232']
en,1596952477920034816,@Grochowa2 are the staffing shortages forcing him to take on extra duties as governess amid the chilly draughts and black shadows of thornfield hall,2022-11-27T19:41:55.000Z,272476744,['1596952477920034816']
en,1596951685221740545,@Grochowa2 Wayne Eyre? cmon,2022-11-27T19:38:46.000Z,272476744,['1596951685221740545']
en,1596946916759474176,"“we need boots on the ground! look at all this blue space here, next to the seychelles “

sir that is the ocean

“BOOTS ON THE GROUND” https://t.co/p4pIdn8UX3",2022-11-27T19:19:49.000Z,272476744,['1596946916759474176']
en,1596943010507685888,"@le_petit_trek hope they’re also going to unveil a new analogy strategy, to replace using “military footprint” to describe our presence in a region consisting almost entirely of ocean",2022-11-27T19:04:18.000Z,272476744,['1596943010507685888']
en,1596934211696758784,"mmm sunday morning, cup of coffee, let’s see: shall i check my “pictures of friends on vacations I could never afford with their perfect new families”app first, or my “acquaintances I hardly know screaming about idiots I’ve never heard of” app — ahh this is the life",2022-11-27T18:29:20.000Z,272476744,['1596934211696758784']
en,1596903520158253057,@Ugarles does the world cup always fall around American thanksgiving? how many types of football have I been tuning out all these years,2022-11-27T16:27:22.000Z,272476744,['1596903520158253057']
en,1596892243369267203,"@CanningBrandon @pyanrye this is how community building starts, right here! actually maybe at the end of block though, y'know traffic, my neighbours.. keep going keep going, k turn that corner, I can still see you, go another block or two, amazing. community building starts right there",2022-11-27T15:42:34.000Z,272476744,['1596892243369267203']
en,1596888119399550976,"@pyanrye @CanningBrandon all I ever wanted was a leader to look me in the eye and say ""ugh I know right?? sucks, wish I could help bro"". why don't the other parties get this",2022-11-27T15:26:11.000Z,272476744,['1596888119399550976']
en,1596885485800288260,@pyanrye @CanningBrandon yeah we're organizing.. organizing who's making what for our landlord appreciation bake sale,2022-11-27T15:15:43.000Z,272476744,['1596885485800288260']
en,1596882814661984258,"@CanningBrandon workers deserve respect, speaking of which, you know who's a hard worker? your boss",2022-11-27T15:05:06.000Z,272476744,['1596882814661984258']
en,1596875679261675523,@peoples_pop 🎵here we are now / we're nirvana,2022-11-27T14:36:45.000Z,272476744,['1596875679261675523']
en,1596874044452007936,"@peoples_pop no disrespect to the finalists but what I've enjoyed most about this poll is thinking of all the songs I'd like better if they'd done this, eg. [""under pressure"" voice] *dum dum dum de-de dum dum. dum dum dum de de dum dum* 🎵david bowie",2022-11-27T14:30:15.000Z,272476744,['1596874044452007936']
en,1596781286278193152,@clairelizzie WHAT DO YOU MEAN I CANT WALK THRU THE DRIVE THRU OBVIOUSLY I CAN BECAUSE IM OUT HERE TALKING TO YOU ON THE SPEAKER THING,2022-11-27T08:21:40.000Z,272476744,['1596781286278193152']
und,1596752640113004545,@DanBoeckner Tra,2022-11-27T06:27:50.000Z,272476744,['1596752640113004545']
en,1596721018575650816,"@Qban_Linx It’s the pickup at the airport later that really does it for me 

“Hey babe! want a hand with that bag”",2022-11-27T04:22:11.000Z,272476744,['1596721018575650816']
en,1596714924138721281,"@CanningBrandon “enough room” hey Gunther why are you tweeting this in English, isn’t there a German word for this whole concept., Lieben something? damn it’s on the tip of my tongue",2022-11-27T03:57:58.000Z,272476744,['1596714924138721281']
ht,1596711266302955520,@Qban_Linx lmaoooo,2022-11-27T03:43:26.000Z,272476744,['1596711266302955520']
