created_at,lang,edit_history_tweet_ids,id,text,author_id
2022-11-28T04:10:12.000Z,en,['1597080390875086848'],1597080390875086848,"The perfect gift for a #December #Birthday. I'm making these for every month, but this is up on the store now. So are #January and #February, and the rest should be up later tonight or tomorrow.

https://t.co/Op5PFQrH3w",186582233
2022-11-28T03:57:30.000Z,en,['1597077195217698816'],1597077195217698816,"RT @kneerecon: (1) I’m in the midst of Rachael Maddow’s podcast Ultra. She has produced a detailed history of Nazism, antisemitism, and how…",186582233
2022-11-28T03:54:19.000Z,en,['1597076395670192128'],1597076395670192128,"RT @DandiaAsad: What does it mean to “Manhattanize” a city? It means to build densely and build high, so people can live closer to local am…",186582233
2022-11-28T03:54:16.000Z,en,['1597076382370390016'],1597076382370390016,"RT @DandiaAsad: Every major American city should be Manhattanized. We need to Manhattanize the shit out of America if we want a dynamic, pr…",186582233
2022-11-28T03:52:56.000Z,en,['1597076047081525250'],1597076047081525250,RT @RevDaniel: I honestly don’t know why we even have beds -human or dog. As long as one of them can use the other as a pillow…they sleep a…,186582233
2022-11-28T03:52:42.000Z,en,['1597075989573828608'],1597075989573828608,@RevDaniel @RavMABAY @mattnightingale Still completely inappropriate for CHRISTIAN worship and particularly Christmas. Stick with Handel.,186582233
2022-11-28T03:35:56.000Z,en,['1597071768954765313'],1597071768954765313,"Do you know any #HitchhikersGuideToTheGalaxy #HHTG fans - yourself included - who are about to celebrate their 42nd Birthday?

https://t.co/Rd0zSu4kO6",186582233
2022-11-28T03:34:15.000Z,en,['1597071347217113088'],1597071347217113088,"I know #ChicagoTARDIS is pretty much over, but...
#DoctorWho #ThirdDoctor #JonPertwee

https://t.co/pmZ0y3CDRT",186582233
2022-11-28T03:32:17.000Z,en,['1597070848858685440'],1597070848858685440,RT @MarkJacob16: Elise Stefanik wants to protect the super-rich tax cheats who bribe Republicans for pennies on the dollar. https://t.co/X5…,186582233
2022-11-28T03:31:25.000Z,en,['1597070630482247680'],1597070630482247680,"RT @RavMABAY: @RevDaniel And together the people said, ""OY!""",186582233
2022-11-28T03:31:22.000Z,en,['1597070621141524481'],1597070621141524481,RT @RevDaniel: Follow that Jew Dude! https://t.co/OrrpSJeuM2,186582233
2022-11-28T03:17:48.000Z,en,['1597067204616331264'],1597067204616331264,RT @jasonintrator: This right here https://t.co/0juUCksBOV,186582233
2022-11-28T02:40:58.000Z,en,['1597057935737118722'],1597057935737118722,"RT @BeschlossDC: In 1790, President George Washington wrote to Jewish congregations of Newport, Rhode Island, that the United States Govern…",186582233
2022-11-28T02:29:33.000Z,en,['1597055064631222273'],1597055064631222273,RT @Power2Control: By far the most disturbing information I've heard about Covid-19 this year is that all long covid patients who had MRI o…,186582233
2022-11-28T02:28:00.000Z,en,['1597054674607435776'],1597054674607435776,"RT @MeanwhileinCana: #MeanwhileInCanada
You've all heard of Elf on the Shelf, but in #Canada we have: https://t.co/4522DS2r2w",186582233
2022-11-28T01:59:13.000Z,en,['1597047427781251072'],1597047427781251072,"RT @adamm0rgan: Just remembered when my high school changed the dress code to forbid ""non-human-colored hair,"" and this girl showed up with…",186582233
2022-11-28T01:51:48.000Z,en,['1597045562527797248'],1597045562527797248,RT @SymoneDSanders: More than 78k ballots were cast Saturday in Fulton County for the December 6th Runoff election. That is almost DOUBLE t…,186582233
