text,edit_history_tweet_ids,author_id,created_at,id,lang
#棋牌   of beasts should have  https://t.co/1y6mvQuC0F,['1597080805527822341'],1278930481606770688,2022-11-28T04:11:51.000Z,1597080805527822341,en
that Payne regarded himself as a certainty for his colou     https://t.co/HQDTaCA7hO,['1597080392292454401'],1278930481606770688,2022-11-28T04:10:12.000Z,1597080392292454401,en
"#棋牌   Do you want to follow?""  https://t.co/1y6mvQdyYF",['1597079899847946240'],1278930481606770688,2022-11-28T04:08:15.000Z,1597079899847946240,en
#棋牌   she had completed  https://t.co/1y6mvQuC0F,['1597079506883264512'],1278930481606770688,2022-11-28T04:06:41.000Z,1597079506883264512,en
#棋牌   extraneous things  https://t.co/1y6mvQd197,['1597078991059488769'],1278930481606770688,2022-11-28T04:04:38.000Z,1597078991059488769,en
#棋牌   the foundation-building  https://t.co/1y6mvQuC0F,['1597078595981045760'],1278930481606770688,2022-11-28T04:03:04.000Z,1597078595981045760,en
"#棋牌   on the Xiuxian website.""  https://t.co/1y6mvQuC0F",['1597078281366343680'],1278930481606770688,2022-11-28T04:01:49.000Z,1597078281366343680,en
#棋牌   People first capture  https://t.co/1y6mvQd197,['1597078007088283649'],1278930481606770688,2022-11-28T04:00:43.000Z,1597078007088283649,en
"#棋牌   to avalanches, please  https://t.co/1y6mvQdyYF",['1597077116864299008'],1278930481606770688,2022-11-28T03:57:11.000Z,1597077116864299008,en
"#棋牌   getting late now,  https://t.co/1y6mvQuC0F",['1597076594157187078'],1278930481606770688,2022-11-28T03:55:06.000Z,1597076594157187078,en
"#棋牌   in the future, it may  https://t.co/1y6mvQd197",['1597076238081875968'],1278930481606770688,2022-11-28T03:53:42.000Z,1597076238081875968,en
#棋牌   witnessed by everyone  https://t.co/1y6mvQd197,['1597075871252226049'],1278930481606770688,2022-11-28T03:52:14.000Z,1597075871252226049,en
#棋牌   a four-year-old white  https://t.co/1y6mvQd197,['1597074988716154880'],1278930481606770688,2022-11-28T03:48:44.000Z,1597074988716154880,en
#棋牌   and when he encounters  https://t.co/1y6mvQuC0F,['1597074713225797632'],1278930481606770688,2022-11-28T03:47:38.000Z,1597074713225797632,en
#棋牌   The young man who walked  https://t.co/1y6mvQuC0F,['1597074306718056450'],1278930481606770688,2022-11-28T03:46:01.000Z,1597074306718056450,en
"""Oh, no,"" I said; ""this is the very last betwee     https://t.co/HQDTaCRIGo",['1597074057274458112'],1278930481606770688,2022-11-28T03:45:02.000Z,1597074057274458112,en
