lang,text,author_id,created_at,id,edit_history_tweet_ids
en,But I take it seriously. It's a new internet-native culture trying to understand,1461204518968823808,2022-11-27T20:23:48.000Z,1596963018734456833,['1596963018734456833']
it,"@Roobee_invest @TradeStrikeBVI 0xCA13c7E99a00532B18E765135b879Fc777eFF315
my wallet (BEP20)",1461204518968823808,2022-11-27T20:22:44.000Z,1596962749380464640,['1596962749380464640']
en,"RT @Roobee_invest: 🔥$500 #GIVEAWAY

Let's celebrate the partnership and listing of $ROOBEE on StrikeX!

To enter:
✅ Follow @Roobee_invest
✅…",1461204518968823808,2022-11-27T20:22:10.000Z,1596962607629742080,['1596962607629742080']
qam,@Techconcatalina @thewinkies1 @faisal_nanda19 @AwudukapanNyajo @Burgin8Ellie @MoreMoreis @dilshan_hewa,1461204518968823808,2022-11-26T02:39:35.000Z,1596332814219513856,['1596332814219513856']
es,"RT @Techconcatalina: 🏆MEGA SORTEO🏆

Juanto a @thewinkies1 sorteamos $250 USDT para 3 ganadores.

PASOS 👇🏻

1️⃣. Dale like y Re-Tweet
2️⃣. S…",1461204518968823808,2022-11-26T02:39:07.000Z,1596332696216948736,['1596332696216948736']
en,"Proof of Stake"", the (physical and digital) book compiling various writings",1461204518968823808,2022-11-26T02:37:43.000Z,1596332342863613952,['1596332342863613952']
en,priority is supporting those Russians and Belarusians who refuse to let,1461204518968823808,2022-11-24T21:32:38.000Z,1595893177646743553,['1595893177646743553']
qam,@Duelbits @7chillJi @youarenotdrake @inclesgold,1461204518968823808,2022-11-24T21:31:26.000Z,1595892876596359168,['1595892876596359168']
en,"RT @Duelbits: 😍 The #WorldCup2022 begins on Sunday.

⚽️ Make sure you enter our World Cup Predictor for a chance to win up to $100,000!

🤑…",1461204518968823808,2022-11-24T21:30:59.000Z,1595892760774860800,['1595892760774860800']
en,I think it's under-appreciated how much opposition to the Patriot Act and,1461204518968823808,2022-11-21T21:30:49.000Z,1594805557416071168,['1594805557416071168']
qam,@Techconcatalina @aktioapp @DagziDigi @sleepi4554 @NaNopeNotToday @anotherdays18 @abgafar1846,1461204518968823808,2022-11-21T21:29:32.000Z,1594805232873406464,['1594805232873406464']
es,"RT @Techconcatalina: 🔔 NUEVO SORTEO 🔔

💥Junto a @aktioapp sorteamos $100 USDT para un ganador. 

PASOS 👇🏻

1️⃣. Dale Like y Re-Tweet 
2️⃣.…",1461204518968823808,2022-11-21T21:28:58.000Z,1594805092150312960,['1594805092150312960']
qme,@coinexcom #CoinExRLWC https://t.co/QWfqyar8gG,1461204518968823808,2022-11-20T23:13:48.000Z,1594469085504757760,['1594469085504757760']
qam,@coinexcom @winneoooocent @OGwangil @mmmmmminopo @jjongbzv @_paracosmino,1461204518968823808,2022-11-20T23:12:35.000Z,1594468777965785088,['1594468777965785088']
en,"RT @coinexcom: 🏆 CoinEx Invites You to Award Crowns for #RLWC2021 Champions

⏰ 18th - 24th Nov
🎁 Win up to $1000

✅ Follow @coinexcom
✅ Lik…",1461204518968823808,2022-11-20T23:12:09.000Z,1594468668922286080,['1594468668922286080']
en,"It’s not in the interest of CNBC, HODL’rs, The FED, the government to talk",1461204518968823808,2022-11-20T23:11:24.000Z,1594468481260744706,['1594468481260744706']
en,"where you can lose all your money. Compromised wallets, Defi, Stablecoins, hacks etc",1461204518968823808,2022-11-16T23:25:29.000Z,1593022475075743744,['1593022475075743744']
qam,@Techconcatalina @cherrimino @CharlieChoups @delilahvipic,1461204518968823808,2022-11-16T23:24:18.000Z,1593022176818757632,['1593022176818757632']
es,"RT @Techconcatalina: 🏆 NUEVO SORTEO 🏆

Sorteo de $100 USDT para 1 persona de mi Comunidad.

👇🏻Súper FÁCIL PARTICIPAR: 

1️⃣. Dale like y Re…",1461204518968823808,2022-11-16T23:23:49.000Z,1593022055834083330,['1593022055834083330']
qam,@kucoincom @timmtsai @yggsea @WinGoalNFT @0xPolygon @rocky9177 @robegrtson @MineraleSquad @DorisJonesJose1 @mukhpura91,1461204518968823808,2022-11-14T18:03:30.000Z,1592216670260846593,['1592216670260846593']
