lang,id,text,created_at,author_id,edit_history_tweet_ids
en,1597075608936550401,RT @NewsCloset: @mallisonKATU “Do not be fooled into thinking that insurance companies cover losses. We have sustained 15 break-ins … we ha…,2022-11-28T03:51:12.000Z,79053827,['1597075608936550401']
en,1597075507769913345,RT @RealJamesWoods: #DefundThePplice is the cancer hidden in the Trojan Horse called the #DemocraticParty. Elections sadly have consequence…,2022-11-28T03:50:47.000Z,79053827,['1597075507769913345']
en,1597075391243784192,"RT @Rep_Clyde: You just can’t make this stuff up.

Katy Chevigny, wife of Jack Smith—the special counsel appointed by DOJ to go after Presi…",2022-11-28T03:50:20.000Z,79053827,['1597075391243784192']
en,1597059219001573378,RT @jeffreyatucker: Fauci's 7-Hour Deposition: What We Know So far  https://t.co/8YiunnPvNd,2022-11-28T02:46:04.000Z,79053827,['1597059219001573378']
en,1597059164299493376,RT @jeffreyatucker: I'm outraged that so many people outside our borders want to attend our event in Miami next week but CANNOT due to the…,2022-11-28T02:45:51.000Z,79053827,['1597059164299493376']
en,1597057969946267649,"Just like #Mueller, Fauci can't recall key details during deposition: Louisiana Attorney General",2022-11-28T02:41:06.000Z,79053827,['1597057969946267649']
en,1597053241245995008,"RT @Gunny94956040: Hi @McKenzieBBeard, here's my best riddle: 

Why did you change the title of your article from 

""Vaccinated people now…",2022-11-28T02:22:19.000Z,79053827,['1597053241245995008']
en,1597052876290859011,"What did #Fauxi #Fauci say? 
96% effective and safe, stops transmission.
Guess not. https://t.co/MoJUGrBwtn",2022-11-28T02:20:52.000Z,79053827,['1597052876290859011']
en,1597052389483196416,"@GreatestGMTedT @Mbrown00l @ElectionWiz They say you only need 6-7% of the population to control the remaining ppl. 
https://t.co/zdofaofnUS",2022-11-28T02:18:56.000Z,79053827,['1597052389483196416']
en,1597038131332927489,"@ShadowKn0ws @Keggs719 She’s summarizing what the #Covidians wanted. 
Extreme, military grade lockdowns to the point of jailing ppl",2022-11-28T01:22:16.000Z,79053827,['1597038131332927489']
en,1597031653050044417,"RT @Keggs719: 🧵🧵🧵

Don't let any of these people or any of the others try to come out against what's happening in China. They wanted it her…",2022-11-28T00:56:32.000Z,79053827,['1597031653050044417']
en,1597031432639369216,@ilovedonrickles Let’s go with Conquerors! https://t.co/hxgwCARtdh,2022-11-28T00:55:39.000Z,79053827,['1597031432639369216']
en,1597031067881390080,"RT @slimjimnorm: @exedexes1 @DeAngelisCorey Boiling the frog, taking away rights and liberties one step at a time. When done, you will have…",2022-11-28T00:54:12.000Z,79053827,['1597031067881390080']
en,1597030936930971649,"RT @slimjimnorm: @seanmdav @Jami_USA #Democrats own:
#HighInflation
#Openborders
#Recession #economy
#Grooming in schools
Skyrocketing #cri…",2022-11-28T00:53:41.000Z,79053827,['1597030936930971649']
en,1597030889388937216,"RT @slimjimnorm: @JonLemire @joebiden hasn’t done anything in his 50 years in politics other than ride the tiddy bowl blue wave

#DonaldTru…",2022-11-28T00:53:30.000Z,79053827,['1597030889388937216']
en,1597030648610697216,"RT @slimjimnorm: @pvtjokerus Actually the systematic racism
 is being done against the majority
 with the full approval of our govt and cou…",2022-11-28T00:52:32.000Z,79053827,['1597030648610697216']
en,1597030565651152896,RT @SeniorWinki: @JakeDoesIt81 @thomaswrzalins2 @slimjimnorm @Jefflyons8267 @StephenMoore @Oilfield_Rando I really don’t give a rats arse w…,2022-11-28T00:52:12.000Z,79053827,['1597030565651152896']
en,1597030161425190913,"RT @slimjimnorm: @JoeBiden aka #Xiden making Chairman Mao proud w/
“The Great Leap Forward”!
Massive central govt planning: mandated polici…",2022-11-28T00:50:36.000Z,79053827,['1597030161425190913']
en,1597029596066877440,RT @bullystixx: @ilovedonrickles Especially for the colonizer who freed the slaves.  #idiots,2022-11-28T00:48:21.000Z,79053827,['1597029596066877440']
en,1597028562149986304,"RT @sarahbeth345: Do any healthy adults need to swab their noses in order to attend work tomorrow, or are we still punishing children exclu…",2022-11-28T00:44:15.000Z,79053827,['1597028562149986304']
en,1597004327822192640,RT @stillgray: @elonmusk @neontaster Carpe Donktum sent me this meme. I’ll leave it here. https://t.co/jCwzzQt4nd,2022-11-27T23:07:57.000Z,79053827,['1597004327822192640']
