lang,id,text,edit_history_tweet_ids,author_id,created_at
en,1596971831394590722,"RT @AboardExchange: 🌊Aboard the Adventure!

🚀We are launching the second #AboardExchange NFT collections on @Galxe!

🎁Complete tasks from t…",['1596971831394590722'],900681875718647808,2022-11-27T20:58:49.000Z
en,1596962630446772224,"I verify myself to @RubisProtocol on #Arbitrum #RubisProtocol

[ENTER YOUR ADDRESS HERE]",['1596962630446772224'],900681875718647808,2022-11-27T20:22:15.000Z
zxx,1596946934702690305,RT @officialloozr: https://t.co/PbE5MGcMYp,['1596946934702690305'],900681875718647808,2022-11-27T19:19:53.000Z
en,1596937336755195904,@Piggy_Cyborgs @operachiken123 @CaneCorsoPet @wenwenw27058725 @cryptolooterz Thanks💥🙂 https://t.co/mCrzyqiHNK,['1596937336755195904'],900681875718647808,2022-11-27T18:41:45.000Z
en,1596915230855991297,"RT @OsmosisCC: 🎁Sunday #giveaway🎁

🏆60 $OSMO split between 3 people

👍Follow @OsmosisCC &amp; @OsmoSupportLab
❤️Like
🔁Re-tweet

Drawing in 48 h…",['1596915230855991297'],900681875718647808,2022-11-27T17:13:54.000Z
en,1596914856942526464,@getmasafi 1a2b.soul,['1596914856942526464'],900681875718647808,2022-11-27T17:12:25.000Z
en,1596914810502774784,"RT @getmasafi: Happy Thanksgiving #Masa Fam 🦃

To celebrate over 150,000 .soul names minted on testnet, we invite YOU to share your .soul!…",['1596914810502774784'],900681875718647808,2022-11-27T17:12:14.000Z
en,1596912397339353094,"RT @WizardLandSui: Really glad we reach 40000 Wizard on twitter!!! Wiz wiz
Strengths- They are unpredictable, probably powerful, seemingly…",['1596912397339353094'],900681875718647808,2022-11-27T17:02:39.000Z
en,1596912378372919314,"RT @WizardLandSui: Wizard Land X SUI GLOBAL

Proud to announce we have partnered up with @SuiGlobal to Create a MEGA GIVEAWAY! 🤝🎉

50 White…",['1596912378372919314'],900681875718647808,2022-11-27T17:02:34.000Z
en,1596911915481305089,"RT @ZinniaNetwork: We have over 3100 members on Discord right now, it's only a small community but it's very active and great fun. Join us…",['1596911915481305089'],900681875718647808,2022-11-27T17:00:44.000Z
qme,1596911888155262981,@ZinniaNetwork #ZinniaNetwork #CBDC #NFTs #MemeContest,['1596911888155262981'],900681875718647808,2022-11-27T17:00:37.000Z
en,1596911692906393600,"RT @ZinniaNetwork: This is ZINNIA 👇

A purpose-built, smart contract enabled, hybrid POW/POS, public blockchain protocol governed by its pa…",['1596911692906393600'],900681875718647808,2022-11-27T16:59:51.000Z
qme,1596911662480531457,@ZinniaNetwork #ZinniaNetwork #blockchain #Crypto,['1596911662480531457'],900681875718647808,2022-11-27T16:59:44.000Z
en,1596910592685576192,"#HookedProtocol
Download and get rewards instantly! I’ve just got my cash out! Come and join my team with a click: https://t.co/dbhc1lrMXK",['1596910592685576192'],900681875718647808,2022-11-27T16:55:29.000Z
en,1596873918262153225,RT @QuaiNetwork: Quai Network's Proof-of-Work 2.0 (#PoW2) is a revolutionary #consensus mechanism that allows #Quai to have increased speed…,['1596873918262153225'],900681875718647808,2022-11-27T14:29:45.000Z
