lang,text,edit_history_tweet_ids,created_at,author_id,id
qme,@WhitworthConor @wizbates https://t.co/k9OEaVyD2o,['1597006204978749441'],2022-11-27T23:15:24.000Z,1074283326020771840,1597006204978749441
en,RT @dinosofos: This appears to be the hugely talented @EP_Lawrence - a senior journalist and camera operator working for @BBCNews. Very wor…,['1597004415600570368'],2022-11-27T23:08:18.000Z,1074283326020771840,1597004415600570368
qme,@BBCNews #ToryPropaganda,['1597003555634040832'],2022-11-27T23:04:53.000Z,1074283326020771840,1597003555634040832
en,@biffboff75 @man_ofthe_hill @MrNickKnowles @chris_boor The trains are stuck in the 19th Century ...,['1596962234068250624'],2022-11-27T20:20:41.000Z,1074283326020771840,1596962234068250624
en,"@chris_boor Absolutely.
@MyGlasgowCC have a scam / entrapment space that they make a fortune from, and still haven't changed, despite losing two tribunals six months ago. It's not a 'legal bay'. You'll like this @MrNickKnowles ..  Kerchinnnng. https://t.co/Qld3u6kM3q",['1596961991813234688'],2022-11-27T20:19:43.000Z,1074283326020771840,1596961991813234688
en,@FhilipGreen @MrNickKnowles Take your meds.,['1596960573820141573'],2022-11-27T20:14:05.000Z,1074283326020771840,1596960573820141573
en,"@wbuxtonofficial Going to write to Hamilton to explain why you still haven't analysed Abu Dhabi 2021, Will?
#HumanErrorChampion #F1xed",['1596888593544675330'],2022-11-27T15:28:04.000Z,1074283326020771840,1596888593544675330
en,RT @Classicbritcom: A very common sight at football matches in the 1970s ⚽ https://t.co/z074W4wN8E,['1596887821448806400'],2022-11-27T15:25:00.000Z,1074283326020771840,1596887821448806400
en,@PetjaYlitalo @CRossel87 @dansoncj The vaccination status of the vulnerable / old is very low .. and .. the vaccines used in China are less effective .. so .. the statistics in your tweet paint a false picture.,['1596886481108631553'],2022-11-27T15:19:40.000Z,1074283326020771840,1596886481108631553
fr,@FraudmulaSem FRAUD.,['1596824719885754369'],2022-11-27T11:14:15.000Z,1074283326020771840,1596824719885754369
qme,@Tugsy @RealDeniseWelch #ToryApologist,['1596793589111353349'],2022-11-27T09:10:33.000Z,1074283326020771840,1596793589111353349
en,@DannyWArmstrong @GNev2 My morality checker reckons you're watching the World Cup 🤷🙄🤦.,['1596789724303085568'],2022-11-27T08:55:11.000Z,1074283326020771840,1596789724303085568
en,@ThePollitt Most boring car I've ever owned.,['1596579211262951424'],2022-11-26T18:58:41.000Z,1074283326020771840,1596579211262951424
und,@DonnyVerstappen #tw44t.,['1596578936380850176'],2022-11-26T18:57:36.000Z,1074283326020771840,1596578936380850176
qme,@Ape_FR1 @jpcholet @EuromaidanPress #PutinApologist,['1596555313452568576'],2022-11-26T17:23:43.000Z,1074283326020771840,1596555313452568576
en,"@CherylNovak @terrychristian Go back to school, love.",['1596554534821957632'],2022-11-26T17:20:38.000Z,1074283326020771840,1596554534821957632
und,@midnightdorifto 🥰🥰🥰🥰🥰🥰,['1596551254208978944'],2022-11-26T17:07:36.000Z,1074283326020771840,1596551254208978944
en,@mrjamesob @afneil And how long did the Partisan Pensioner work for the 'impartial' BBC?! 😐  .. Shame on @Channel4 for signing him up @louisa_compton ..,['1596550875019083776'],2022-11-26T17:06:05.000Z,1074283326020771840,1596550875019083776
tl,"@BelindadeLucy 🤣🤣🤣🤣🤣 GFY, pal.
#Fraud #BrexitHasFailed",['1596512136389595136'],2022-11-26T14:32:09.000Z,1074283326020771840,1596512136389595136
en,"@timallcock72 @snb19692 That clip was more entertaining than last night's 90 minutes though, lol. 🍺🥳",['1596498885668732928'],2022-11-26T13:39:30.000Z,1074283326020771840,1596498885668732928
en,@snb19692 Bet they're all Leavers too.,['1596482463471370240'],2022-11-26T12:34:15.000Z,1074283326020771840,1596482463471370240
en,"@NathanHughesUK @Demas62121174 @Hauvetime 🤣😭🤣😭🤣😭🤣😭 .. were 🏴󠁧󠁢󠁳󠁣󠁴󠁿 fans involved? .. Nopppe. There's your answer, bright spark.",['1596482356683997186'],2022-11-26T12:33:49.000Z,1074283326020771840,1596482356683997186
en,"@MoodyBlueshirt @lukeire @edwest Yeah, racism no longer exists in the US eh .. they've 'moved on' .. JFC 🤦🤦🤦",['1596480631915089934'],2022-11-26T12:26:58.000Z,1074283326020771840,1596480631915089934
en,@HurstLlama @RoyalNavy Where does the '10 years' come from?,['1596440651880861702'],2022-11-26T09:48:06.000Z,1074283326020771840,1596440651880861702
und,@TrackEVs @richardbaxter @richardaucock @GRIDSERVE_HQ 🙄🤦,['1596438193192116225'],2022-11-26T09:38:20.000Z,1074283326020771840,1596438193192116225
en,RT @geoallison: HMS Glasgow is now on the barge that will take her to Glen Mallan to be lowered into the water. https://t.co/xS3dgQgQuz,['1596280570581245952'],2022-11-25T23:12:00.000Z,1074283326020771840,1596280570581245952
en,"RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…",['1596280304050008064'],2022-11-25T23:10:56.000Z,1074283326020771840,1596280304050008064
