created_at,edit_history_tweet_ids,text,id,lang,author_id
2022-11-28T02:44:27.000Z,['1597058812846157825'],RT @dumbricardo: i dunno anymore https://t.co/CP1Zg86dsO,1597058812846157825,en,838006664
2022-11-28T02:31:07.000Z,['1597055455255093248'],"RT @JessWoodchuck: This is extremely applicable to PEI. Next time someone tells you that maritime electric is reliable, ask yourself why yo…",1597055455255093248,en,838006664
2022-11-28T02:29:45.000Z,['1597055112589246464'],"RT @jasonhickel: Some striking graphs from this year's World Inequality Report.  First, the bottom 50% of humanity has a *smaller* share of…",1597055112589246464,en,838006664
2022-11-28T02:28:35.000Z,['1597054818182307840'],"RT @AlexUsherHESA: Yikes.  % of Canadian students who say they feel the following ""every day"" or ""almost every day"". https://t.co/coqRo8V37m",1597054818182307840,en,838006664
2022-11-28T02:28:05.000Z,['1597054693217558529'],"RT @HoodHaikus: If any journalists are wondering what the PEI CPHO knew about Omicron as it started to take hold in our province, and what…",1597054693217558529,en,838006664
2022-11-28T02:27:31.000Z,['1597054552397996032'],RT @iamcoriarnold: Being broke because you invested all your money is different than being broke because you spent all your money.,1597054552397996032,en,838006664
2022-11-28T02:26:14.000Z,['1597054227293274113'],"RT @jbgreenan: Absolutely the right message.

But absolutely ABSURD coming from a Govt that:

1) Just voted against giving everyday working…",1597054227293274113,en,838006664
2022-11-28T02:19:03.000Z,['1597052420097728514'],"@InfoPEI Since you teamed with the Liberals to vote down paid sick leave for all, what do you expect workers with no available sick days to do? We're waiting.",1597052420097728514,en,838006664
2022-11-27T23:45:30.000Z,['1597013776368562176'],"RT @aaronhoyland: As a kid in Alberta, I had classes in portables because the school was too full. As an adult, if my kids get sick, I migh…",1597013776368562176,en,838006664
2022-11-27T23:12:12.000Z,['1597005396333318146'],RT @PeiStarfish: This ⤵️ @InfoPEI @dennyking signing away/turning blind eye steadily. Allowing wetlands to be filled in to build Restaurant…,1597005396333318146,en,838006664
2022-11-27T23:09:49.000Z,['1597004800092012545'],"RT @vera_tenacious: Governments across Canada are bragging about budget surpluses while citizens' basic needs are unmet, cost of living soa…",1597004800092012545,en,838006664
2022-11-27T23:08:06.000Z,['1597004365600288769'],"RT @TimEastCoast: Conservative Premiers are showing Canadians that the last people you want in charge of public education, healthcare and g…",1597004365600288769,en,838006664
2022-11-27T20:23:53.000Z,['1596963040145989632'],"RT @IRACPEI: Good news. 
We're overriding whatever policy your landlords have. The new rule is 2 cats or 1 dog per bedroom in a unit. Birds…",1596963040145989632,en,838006664
2022-11-27T20:22:17.000Z,['1596962635651506176'],"RT @naraki355: ""But masks don't work 100% of the time!""

Neither do kevlar vests, yet police still wear them. Neither do hard hats, yet con…",1596962635651506176,en,838006664
2022-11-27T20:21:05.000Z,['1596962335067103232'],"RT @jbgreenan: If you’re an animal-lover, a pet-owner, or a tenant, be sure to remember this when your Conservative or Liberal MLA/candidat…",1596962335067103232,en,838006664
2022-11-27T20:08:02.000Z,['1596959051992420354'],"RT @chantz_y: We're in the ""the growing evidence of harm from this virus has never been greater, but we're going to do less than ever about…",1596959051992420354,en,838006664
