created_at,lang,edit_history_tweet_ids,id,text,author_id
2022-11-28T04:12:58.000Z,en,['1597081089679712256'],1597081089679712256,"well, DR Jill Biden is great at finding granny's tablecloths to wear as a dress. https://t.co/xl6OsBbjFh",1183157737376534528
2022-11-28T04:11:32.000Z,en,['1597080728059416577'],1597080728059416577,highly respected by whom? https://t.co/8Iu988SrSX,1183157737376534528
2022-11-28T04:10:35.000Z,en,['1597080489726472194'],1597080489726472194,didn't you write a book about your 'experience' against Trump to profit off of it?  How much did you make? https://t.co/aUesGHbFBk,1183157737376534528
2022-11-28T04:09:20.000Z,en,['1597080174331584512'],1597080174331584512,"RT @JimHansonDC: The reprehensible chow thief
Should have been booted from the military
For a collection of violations that he admitted 
Wh…",1183157737376534528
2022-11-28T04:09:02.000Z,en,['1597080100310503424'],1597080100310503424,"RT @mail_american: @AVindman Vindman v. Musk? Only in this upside down narrative driven communist media cycle could Vindman, a traitor who…",1183157737376534528
2022-11-28T04:08:46.000Z,en,['1597080029594554368'],1597080029594554368,RT @FLCons: @kylenabecker @AVindman @elonmusk Vendictive Vindman's petulant arrogance seems to know no bounds. His whole existence is a mas…,1183157737376534528
2022-11-28T04:08:25.000Z,en,['1597079941950353409'],1597079941950353409,"RT @ShayCormac_1: @AVindman You violated the chain of command because you were upset that Trump strayed from your talking points.

You shou…",1183157737376534528
2022-11-28T04:08:12.000Z,en,['1597079890100375557'],1597079890100375557,he looks like he overate lol https://t.co/GOEglF6lOD,1183157737376534528
2022-11-28T04:07:40.000Z,en,['1597079754322350080'],1597079754322350080,follow the money in Vindman's case https://t.co/OEbIoGdd0r,1183157737376534528
2022-11-28T04:07:23.000Z,en,['1597079684160053249'],1597079684160053249,RT @kylenabecker: @AVindman @elonmusk Facebook is bigger than Twitter and you had nothing to say when Zuckerberg spent hundreds of millions…,1183157737376534528
2022-11-28T04:07:04.000Z,en,['1597079605374234624'],1597079605374234624,"@AVindman Elon Musk is correct, and I believe you lied on the 'stand' giving false testimony about Trump for political reasons",1183157737376534528
2022-11-28T04:06:05.000Z,en,['1597079357788684290'],1597079357788684290,"nope, this is more about a woke chonky career ""military"" who is offended by anything that moves and breathes--or paid to believe.   Most media now agrees that the Hunter laptop is a VERIFIED truth, keep up please.  OMG, I can't believe you still spout Hunter lies https://t.co/OA2mJ0Wtpt",1183157737376534528
2022-11-28T04:01:39.000Z,en,['1597078241558540292'],1597078241558540292,RT @elonmusk: @neontaster Vindman is both puppet &amp; puppeteer. Question is who pulls his strings … ?,1183157737376534528
2022-11-28T04:01:10.000Z,en,['1597078119072268289'],1597078119072268289,"@RepSwalwell @GOPLeader ha ha ha ha ha, did the ghost of Fang Fang egg you on to write this tweet?",1183157737376534528
2022-11-28T03:59:43.000Z,en,['1597077755681988608'],1597077755681988608,China's great Covid lockdown #ChinaProtest2022 https://t.co/Rnn9nA78vH,1183157737376534528
