lang,edit_history_tweet_ids,text,author_id,id,created_at
en,['1596963100540153856'],@billykayscot Independence will be like Brexit if it is finally achieved. People will vote for small parts that they will believe will be independence. It will not be all they hoped for it never will.,99479393,1596963100540153856,2022-11-27T20:24:07.000Z
en,['1596874123682406400'],"@LouStagner I am happy to say I understand the new WHS , I don’t think it is better than the previous system. Biggest let down IMO is weather adjustments CSS and buffer zone was better. Also a friend of mine moved to Australia with his WHS and was told he had to play for his Hcp.",99479393,1596874123682406400,2022-11-27T14:30:34.000Z
en,['1595729929953771520'],@TalkTV @JuliaHB1 It’s a strange tactic. In the last general election a number of SNP voters stated that they voted for SNP but didn’t want independence. Is there a chance that these voters could be lost SNP votes ?,99479393,1595729929953771520,2022-11-24T10:43:57.000Z
en,['1595537079290707968'],"@GolfDigest @ryanfoxgolfer Great year, interested to see what his schedule will look like next season . America is closer to home and offers more money. All the best whatever route you take.",99479393,1595537079290707968,2022-11-23T21:57:38.000Z
en,['1595518606095355905'],@GolfDigest Yes but I qualify that in the professional ranks the replacement ball must be the exact same compression.,99479393,1595518606095355905,2022-11-23T20:44:13.000Z
en,['1595352064644812801'],@GBNEWS I have seen this topic the last few days. I have to say I am against this but don’t understand why the rule is applied differently depending on which country you live. Someone please explain.,99479393,1595352064644812801,2022-11-23T09:42:27.000Z
en,['1595167268778168320'],@MatthewStadlen Having read some of the replies below. I would say she should be reunited with her parents who are currently living in Bangladesh . That’s if the Bangladeshi government want her in their country.,99479393,1595167268778168320,2022-11-22T21:28:08.000Z
en,['1595098132119158786'],"@KenBrownGolf @EurekaEarthPlus This appears to be a good change , making the second shot so much more difficult. Expect a lot more lay ups but in saying that interested to see some of the chasing pack going for the green in two late on Sunday.",99479393,1595098132119158786,2022-11-22T16:53:24.000Z
en,['1594769141277270016'],@RyderCupEurope Not tonight Josephine. Love the Ryder Cup but let it be till at least next summer. Just saying.,99479393,1594769141277270016,2022-11-21T19:06:07.000Z
en,['1594737022882693126'],"@RenniePilgrem @PeterStefanovi2 Thanks for the correction, I agree things are worse not better but I have to ask who made the promise and how does it sit with the government or the opposition?",99479393,1594737022882693126,2022-11-21T16:58:29.000Z
en,['1594726159098707970'],"@PeterStefanovi2 Voted for by the British people, get on with it . Any government would struggle with the hand they have. Hope the next labour government can do better and your criticism of there job is measured.",99479393,1594726159098707970,2022-11-21T16:15:19.000Z
en,['1594426613239791617'],"@Murray_Kinsella Only saw some clips showing his condition on the pitch, have to think the independent doctor never saw this and based his assessment on his then appearance and how he answered some questions.Clearly the doctor needs to be shown the incident and how he came to assessment.",99479393,1594426613239791617,2022-11-20T20:25:02.000Z
en,['1594403552826478595'],@ek_rugby Criticism should be constructive and balanced. Done in the cold light of day. Always remember without the referee you don’t have a game.,99479393,1594403552826478595,2022-11-20T18:53:24.000Z
en,['1594322134956146689'],@tomhfh I all of us need to pay the Covid and brexit bill . We can’t allow national debt to run away unchecked. In saying that pensioners escaped because the had been promised the triple lock and a majority of them are Tory voters.,99479393,1594322134956146689,2022-11-20T13:29:52.000Z
en,['1593717376813514753'],@GolfDigest @McIlroyRory Would be great to see him complete the grand slam of golf .,99479393,1593717376813514753,2022-11-18T21:26:47.000Z
en,['1593627887063769092'],@GBNEWS The Covid bill and the brexit bill needs paying. It’s everyone’s duty young or old to pay these bills. If we don’t start now the younger generation will lose hope .,99479393,1593627887063769092,2022-11-18T15:31:11.000Z
en,['1593351975093116935'],"@mufaddal_vohra What I saw SA,s Nortje was the best of the quicks in reference to wickets taken and economy. His batsmen and other bowlers didn’t back him up.",99479393,1593351975093116935,2022-11-17T21:14:48.000Z
en,['1592930075426840577'],@RVCJ_FB Both are entitled to voice their opinions but if you add the 7 match tour of Pakistan plus some warmup matches in Australia then the World Cup . I think Mo has a point.,99479393,1592930075426840577,2022-11-16T17:18:19.000Z
en,['1592654367689101312'],"@BunkeredOnline Sorry can’t agree , Scottish weather gives us too many demerit point to allow us to be the best .",99479393,1592654367689101312,2022-11-15T23:02:46.000Z
en,['1592640030279077888'],"@IrfanPathan The English formula is this , power play an opener taking 20 balls scores at over 150 SR the other opener scores at at SR of 100. Any wicket falls the incoming batsman scores at more than 100 SR. After PP each batsman scores at more than SR of 100. Last 5 overs hell for leather .",99479393,1592640030279077888,2022-11-15T22:05:47.000Z
en,['1592284211675041792'],@AlexHales1 Welcome back let’s see you in the one day side also. Onwards and upwards.,99479393,1592284211675041792,2022-11-14T22:31:53.000Z
en,['1592282931762192385'],@patcummins30 As the test captain you owe a lot to your country. What this means to you financially I am unsure but you need to look after your body as you are an all round cricketer.,99479393,1592282931762192385,2022-11-14T22:26:48.000Z
en,['1592190604288614400'],@GolfDigest Ranking points will decide for most. Former and current champions yes. If any other players won’t to qualify then why not. Access to ranking points for LIV golfers is key .,99479393,1592190604288614400,2022-11-14T16:19:56.000Z
en,['1592099850363219968'],@MichaelVaughan @benstokes38 Never say never but he needs to manage his workload now that he is the test captain.,99479393,1592099850363219968,2022-11-14T10:19:18.000Z
en,['1591824688367689729'],@LBC COVID-19 added a large amount of money to the national debt. We owe it to the younger generation to start paying back that debt as soon as possible.,99479393,1591824688367689729,2022-11-13T16:05:55.000Z
da,['1591783303656493056'],@TheBarmyArmy System.,99479393,1591783303656493056,2022-11-13T13:21:28.000Z
en,['1591760140268863488'],@MichaelVaughan Does that mean Ireland 🇮🇪 are the world champions ?,99479393,1591760140268863488,2022-11-13T11:49:25.000Z
en,['1591740233061654529'],@TailendersPod Would like to point out that England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 lost two low scoring in Pakistan 🇵🇰 recently.,99479393,1591740233061654529,2022-11-13T10:30:19.000Z
en,['1591729739399675904'],@englandcricket The weather can only stop England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 now .,99479393,1591729739399675904,2022-11-13T09:48:37.000Z
en,['1590823280793247744'],"@bhogleharsha Lot said today re India,s approach early doors compared to England’s . Is it not just the difference between batting first or chasing ?",99479393,1590823280793247744,2022-11-10T21:46:40.000Z
