geo,edit_history_tweet_ids,created_at,id,author_id,lang,text
{'place_id': '54719aecdeecbbe8'},['1597004056341647361'],2022-11-27T23:06:52.000Z,1597004056341647361,1205894557,en,#WardellStephenCurry Lock in 100%  we are Golden State Warriors yes we won Lock in! #11-10 #2022/2023 #11/27/22 #Warriors #WarriorsGround #warriosNation #DubNation @StephenCurry30 @warriors @LetsGoWarriors @DubNation_247 @NBA #NBA76  #WSC2974andcounting #GoldBlooded🏀🏆🏆🏆🏆🏆🤙🏼
{'place_id': '54719aecdeecbbe8'},['1597002797903360001'],2022-11-27T23:01:52.000Z,1597002797903360001,1205894557,en,@DidTheWarriorsW #WardellStephenCurry Lock in 100%  we are Golden State Warriors yes we won Lock in! #11-10 #2022/2023 #11/27/22 #Warriors #WarriorsGround #warriosNation #DubNation @StephenCurry30 @warriors @LetsGoWarriors @DubNation_247 @NBA #NBA76  #WSC2974andcounting #GoldBlooded🏀🏆🏆🏆🏆🏆🤙🏼
,['1597002552616562688'],2022-11-27T23:00:54.000Z,1597002552616562688,1205894557,en,RT @DidTheWarriorsW: Yeaaaaa WARRIORS ARE BACK BABY
{'place_id': '54719aecdeecbbe8'},['1597002521712947200'],2022-11-27T23:00:46.000Z,1597002521712947200,1205894557,und,@DidTheWarriorsW 💯💯💯💯💯
,['1597002418532728833'],2022-11-27T23:00:22.000Z,1597002418532728833,1205894557,en,RT @DidTheWarriorsW: Yessirrrrrrr
,['1596964621558349824'],2022-11-27T20:30:10.000Z,1596964621558349824,1205894557,en,#WardellStephenCurry Lock in 100% we are Golden State Warriors let’s get this win Lockin! #11-10 #2022/2023 #11/27/22  #Warriors #WarriorsGround  #DubNation 🏆@StephenCurry30 @warriors @LetsGoWarriors @DubNation_247 @NBA #NBA76  #WSC2974andcounting #GoldBlooded🏀💪🏼🏆🏆🏆🏆🏆🤙🏼
{'place_id': '54719aecdeecbbe8'},['1596963007283662848'],2022-11-27T20:23:45.000Z,1596963007283662848,1205894557,en,@warriors @NBCSAuthentic @957thegame @betwayusa #WardellStephenCurry Lock in 100% we are Golden State Warriors let’s get this win Lockin! #11-10 #2022/2023 #11/27/22  #Warriors #WarriorsGround  #DubNation 🏆@StephenCurry30 @warriors @LetsGoWarriors @DubNation_247 @NBA #NBA76  #WSC2974andcounting #GoldBlooded🏀💪🏼🏆🏆🏆🏆🏆🤙🏼
,['1596962989756026880'],2022-11-27T20:23:41.000Z,1596962989756026880,1205894557,en,"RT @warriors: Sunday Matinee

🏀 GSW at MIN
🕔 12:30pm PT
📺 @NBCSAuthentic
📻 @957thegame
📱 https://t.co/ZkjPJj1C56
📝 https://t.co/oRYWSxLHDW…"
{'place_id': '54719aecdeecbbe8'},['1596962970969739265'],2022-11-27T20:23:37.000Z,1596962970969739265,1205894557,en,@warriors #WardellStephenCurry Lock in 100% we are Golden State Warriors let’s get this win Lockin! #11-10 #2022/2023 #11/27/22  #Warriors #WarriorsGround  #DubNation 🏆@StephenCurry30 @warriors @LetsGoWarriors @DubNation_247 @NBA #NBA76  #WSC2974andcounting #GoldBlooded🏀💪🏼🏆🏆🏆🏆🏆🤙🏼
,['1596962953047474177'],2022-11-27T20:23:32.000Z,1596962953047474177,1205894557,en,"RT @warriors: Just about that time 🕰

Stream the game live » https://t.co/OMrtDtXZqd https://t.co/jD24wHXbjH"
