id,author_id,lang,text,edit_history_tweet_ids,created_at,withheld
1597066153360502784,2993788962,en,RT @khurramzeeshan: We showed restraint because of our beloved @ImranKhanPTI 's policy of not criticising institutions but you @OfficialDGI…,['1597066153360502784'],2022-11-28T03:13:37.000Z,
1597064044342824961,2993788962,en,RT @ShireenMazari1: Senator Swati suffered custodial torture after being stripped naked; a video of his wife &amp; him was sent to his family a…,['1597064044342824961'],2022-11-28T03:05:14.000Z,
1596979766103789570,2993788962,ur,"RT @imtahirkazmii: دے بھی سکتاہوں نصیر اینٹ کا پتھر سے جواب
وہ تو رکھا ہے مرے ظرف نے خاموش مجھے",['1596979766103789570'],2022-11-27T21:30:21.000Z,
1596979103508598785,2993788962,qht,RT @javairia_kamran: #JusticeForArshadSharif,['1596979103508598785'],2022-11-27T21:27:43.000Z,
1596979056293335040,2993788962,ur,"RT @UroojArifkhan: کچھ بھی نہ کہے گرچہ طلبگار بہت ہے
اس شخص کا کیا کیجئے خوددار بہت ہے

Stay safe @MuradSaeedPTI 🥺❤️ https://t.co/kPFIOivYLM",['1596979056293335040'],2022-11-27T21:27:32.000Z,
1596978982695866368,2993788962,zxx,RT @MuradSaeedPTI: https://t.co/csxmQ0fK4q,['1596978982695866368'],2022-11-27T21:27:14.000Z,
1596978753615597568,2993788962,en,RT @MaleehaHashmey: 100%  Correct !! 👍 https://t.co/9oMw63IKpK,['1596978753615597568'],2022-11-27T21:26:19.000Z,
1596973663278206976,2993788962,qme,RT @OfficialShehr: #NewProfilePic https://t.co/YxQGA5GgAd,['1596973663278206976'],2022-11-27T21:06:06.000Z,
1596973540791980032,2993788962,ur,RT @AliShah82746194: بس کچھ دیر اور https://t.co/ANNzX8X8cm,['1596973540791980032'],2022-11-27T21:05:37.000Z,
1596973467811065858,2993788962,ur,"RT @call_me_iaysh: ہمارا لیڈر گولیاں کھا کر بھی ادھر ہے اور یہ لوگ 6 چپیڑے کھا کر باہر بھاگ جاتے۔۔🔥😂
@sanamkh22 https://t.co/Tsjf6YLUha",['1596973467811065858'],2022-11-27T21:05:19.000Z,
