lang,text,author_id,created_at,id,edit_history_tweet_ids
en,"RT @tnyfrontrow: Great, juicily quotable piece; Miranda July: ""I thought moviemaking would only really become an artform if anyone could ac…",22560367,2022-11-28T02:01:37.000Z,1597048035141615616,['1597048035141615616']
en,"RT @_TimBarker: So, if you've read Andrew's work or want to help support the struggle for tenant justice in LA and everywhere, please consi…",22560367,2022-11-28T01:59:22.000Z,1597047467778125824,['1597047467778125824']
en,"RT @_TimBarker: Andrew has gone this with resolve and characteristic wit - the first thing he told me when he got out of jail was ""now that…",22560367,2022-11-28T01:59:19.000Z,1597047454083743744,['1597047454083743744']
en,"RT @_TimBarker: perhaps the most personal crowdfunding ask I'll ever post - Andrew Elrod, my dear friend who you know for his vital contrib…",22560367,2022-11-28T01:59:16.000Z,1597047442318716929,['1597047442318716929']
en,RT @ByYourLogic: I feel like if he actually designed the car he wouldn’t need to add that he also registered the URL,22560367,2022-11-28T01:42:41.000Z,1597043269011001344,['1597043269011001344']
en,RT @jaycaspiankang: Good to see the ‘10x the endowment tax for private universities and redistribute to community and large state colleges…,22560367,2022-11-27T20:20:57.000Z,1596962299658776576,['1596962299658776576']
en,"Let me know if you can't decipher the handwriting (I am learning to over time). De Niro has said ""the way you look has a lot to do with the way you act. That's why I start with the character's looks."" Hard not to take note of those peaked lapels, that high collar, the watch... https://t.co/QVdnLXyYoi",22560367,2022-11-27T19:22:08.000Z,1596947501525106688,['1596947501525106688']
en,"I spent a few great days w/ De Niro's papers at @ransomcenter. One thing I noticed was how preoccupied he is with costume -- look at his notes on the cover page of HEAT! I couldn't stop thinking about that, watching JACKIE BROWN on the big screen @AFISilver last night... https://t.co/ylmFwAnpws",22560367,2022-11-27T19:14:31.000Z,1596945583129796608,['1596945583129796608']
en,RT @imjasondiamond: My wife sent me this Zillow listing and said “Just scroll.” I’m glad I did because the big reveal makes me think this h…,22560367,2022-11-27T18:07:19.000Z,1596928673273106433,['1596928673273106433']
en,"RT @holz_bau: fun little thread that's basically a summary of a presentation i did the other day...

high performance windows, seattle (l)…",22560367,2022-11-27T12:19:15.000Z,1596841079135174656,['1596841079135174656']
en,"RT @teddypowday: So weird that we ended up with fast, bolt, pipe, bird, ftx et al in the past few years. No idea how that happened https://…",22560367,2022-11-27T03:35:54.000Z,1596709372130136065,['1596709372130136065']
en,RT @DannyVegito: these came out in the same year https://t.co/KxMYX0HPE9,22560367,2022-11-26T23:08:00.000Z,1596641954112376837,['1596641954112376837']
en,RT @samhaselby: A nice letter from @SmDrssr on how he finds essays and writers for @aeonmag https://t.co/W3m7YfuHo4 https://t.co/yU8feEoToy,22560367,2022-11-26T21:09:06.000Z,1596612032400601088,['1596612032400601088']
en,RT @_brianpotter: Why did interest in so many famous architects (as measured by google ngrams) peak in the late 90s/early 2000s? https://t.…,22560367,2022-11-26T19:23:31.000Z,1596585460956266496,['1596585460956266496']
en,"RT @HoffProf: Twenty plus years ago, I interviewed with a judge who used the first person plural in ordinary conversation, as in, ""We have…",22560367,2022-11-26T19:22:48.000Z,1596585279309103105,['1596585279309103105']
en,"RT @ManuclearBomb: Interviewer, liberal: were you inspired by what’s going on in Ukraine

Tony Gilroy, based: it’s the Russian Revolution.…",22560367,2022-11-26T19:21:06.000Z,1596584852480049155,['1596584852480049155']
en,"RT @tszzl: low interest rate elon: we will conquer mars and dethrone god

high interest rate elon: i am going to individually pick which gu…",22560367,2022-11-26T19:18:33.000Z,1596584209434513409,['1596584209434513409']
en,"RT @jmart: NEW: I spent election night w @GavinNewsom in the governor’s mansion, a building filled with prez history.  

But unlike Reagan…",22560367,2022-11-26T19:16:25.000Z,1596583674740629504,['1596583674740629504']
en,"RT @Econ_Marshall: I knew that one of the motivations for ""long-termism"" was to direct attention away from problems rich people are causing…",22560367,2022-11-26T17:48:10.000Z,1596561466001620993,['1596561466001620993']
en,@price_laborecon I did the same thing and felt the same way. Gilroy is amazing!,22560367,2022-11-26T17:41:35.000Z,1596559809666461697,['1596559809666461697']
