edit_history_tweet_ids,created_at,id,author_id,lang,text,geo
['1597071481871028224'],2022-11-28T03:34:48.000Z,1597071481871028224,1081765278,en,RT @ChiefBinedu: My little cousin is a teenage immigrant studying on a student visa and @SouthwestAir workers chose to not only take advant…,
['1597071371246321665'],2022-11-28T03:34:21.000Z,1597071371246321665,1081765278,en,@KofiFromGH McKinney. Off Eldorado. WORST one,{'place_id': '7eeed20da9c42064'}
['1597071163544735744'],2022-11-28T03:33:32.000Z,1597071163544735744,1081765278,en,"RT @cbouzy: Some people will love it, some will hate it, and others will not care either way. 🐳 https://t.co/ud27VmlipG",
['1597071158888628224'],2022-11-28T03:33:31.000Z,1597071158888628224,1081765278,en,RT @waco_warren: I love Black Christmas music.,
['1597067161268539394'],2022-11-28T03:17:37.000Z,1597067161268539394,1081765278,en,RT @PowerRangerTalk: Im gonna miss JDF a lot. https://t.co/z6HyHpuPB2,
['1597066986504454144'],2022-11-28T03:16:56.000Z,1597066986504454144,1081765278,en,RT @_amyjojohnson: My buddy… ❤️,
['1597066411201138689'],2022-11-28T03:14:39.000Z,1597066411201138689,1081765278,en,RT @G_DonJuan: The black ppl in the back lmao,
['1597065620633575424'],2022-11-28T03:11:30.000Z,1597065620633575424,1081765278,en,RT @Avocado_Mami: Happy Toyotathon to all who celebrate 🙏🏼,
['1597063549859209216'],2022-11-28T03:03:16.000Z,1597063549859209216,1081765278,en,RT @RoyReadsManga: They animated the Bleach meme 😭 https://t.co/70GlxWPhV1,
['1597048894705127424'],2022-11-28T02:05:02.000Z,1597048894705127424,1081765278,en,"RT @ThePodtastic4: Happy Holidays, A-holes! Marvel Studios’ Special Presentation: The @Guardians of the Galaxy Holiday Special is now strea…",
['1597048884161044486'],2022-11-28T02:05:00.000Z,1597048884161044486,1081765278,en,"RT @ThePodtastic4: How do we get @glenpowell on an episode of the Podtastic Four?? Feel free to fly in, Hangman 🫡",
['1597048778242273281'],2022-11-28T02:04:35.000Z,1597048778242273281,1081765278,en,RT @ThePodtastic4: Day 1 of asking @JamesGunn to be a guest on #ThePodtasticFour,
['1596964683432402945'],2022-11-27T20:30:25.000Z,1596964683432402945,1081765278,en,"RT @ThePodtastic4: More #BlackPantherWakandaForever concept art of #Namor, #Namora, &amp; #Attuma! https://t.co/YZBCTGL44B",
['1596964672691134464'],2022-11-27T20:30:22.000Z,1596964672691134464,1081765278,en,"RT @ThePodtastic4: Check out this #Namor concept art from #BlackPantherWakandaForever!

Illustrated by Anthony Francisco https://t.co/gSLwo…",
['1596964019071381504'],2022-11-27T20:27:46.000Z,1596964019071381504,1081765278,en,RT @danokirbano: im crying hes screaming at the players and then the translator is screaming at the players they getting cooked twice 😭😭😭😭😭😭,
