id,author_id,edit_history_tweet_ids,text,lang,created_at
1597071879369797632,1639727750,['1597071879369797632'],😈,art,2022-11-28T03:36:22.000Z
1597053311026618370,1639727750,['1597053311026618370'],she got mo’ bread then she got body,en,2022-11-28T02:22:35.000Z
1597017476906176512,1639727750,['1597017476906176512'],why the fuck is nobody answering the phone,en,2022-11-28T00:00:12.000Z
1597011024674140166,1639727750,['1597011024674140166'],my husband probably not American 😂,en,2022-11-27T23:34:33.000Z
1597006223416918016,1639727750,['1597006223416918016'],America grits I’m gone — turkey bacon 😂,en,2022-11-27T23:15:29.000Z
1597002838722240514,1639727750,['1597002838722240514'],the World is bigger then America young niggas,en,2022-11-27T23:02:02.000Z
1596993504491683840,1639727750,['1596993504491683840'],@justdondrick fasho ima be outsideeeeee,en,2022-11-27T22:24:56.000Z
1596992494545559553,1639727750,['1596992494545559553'],"one thing bout me — if i say ima do something, ima do it",en,2022-11-27T22:20:56.000Z
1596986597790330880,1639727750,['1596986597790330880'],fuck the sun so bright today cant see shit on this road,en,2022-11-27T21:57:30.000Z
1596981823497994240,1639727750,['1596981823497994240'],"RT @THEEPROBLEMCEE: All sex aside wat do y'all dudes be
wanting.... Frfr",en,2022-11-27T21:38:31.000Z
1596981283338407937,1639727750,['1596981283338407937'],"if a bih will willingly fwu while you got a bitch what make yall think we cant handle the truth 

lets be fr lol",en,2022-11-27T21:36:23.000Z
1596980609875705856,1639727750,['1596980609875705856'],"@OwithTheSermon @LarryJuneTFM most men that say women cant handle the truth only say that cause they try to tell the truth AFTER they already caught up 

nah fam you gotta come w it out the gate or you grits

I promise you 90% of women will still fwu regardless of wtf you got going on😂",en,2022-11-27T21:33:42.000Z
1596979894826983427,1639727750,['1596979894826983427'],my shit stamped can’t nobody tell me shit now😂😂😂😂😂😂,en,2022-11-27T21:30:52.000Z
1596979146831564800,1639727750,['1596979146831564800'],bro Larry just liked my tweet don’t talk to me 😂😂😂😂😂,en,2022-11-27T21:27:53.000Z
1596962620141350912,1639727750,['1596962620141350912'],"RT @C_Staxxz: MY NEWEST CONCEPT IS UP ON TIKTOK AND IG 
email to purchase or for more info 
📧 info@chanelstaxxz.com  
https://t.co/3WfUgHKW…",en,2022-11-27T20:22:13.000Z
1596952540918460416,1639727750,['1596952540918460416'],"@AlixHarmoni everywhere, going remote out the country and moving around to see where i wanna go next lol",en,2022-11-27T19:42:10.000Z
1596951589633556482,1639727750,['1596951589633556482'],@2real30842261 @ArisenPawn @Heyitskhadijah @RiversJaeden @tiannelisex none of these are opinions they’re statements and questions go back to school.,en,2022-11-27T19:38:23.000Z
1596950662587518976,1639727750,['1596950662587518976'],its a pretty day,en,2022-11-27T19:34:42.000Z
1596946047506731009,1639727750,['1596946047506731009'],@2real30842261 @ArisenPawn @Heyitskhadijah @RiversJaeden @tiannelisex you thought you ate with this 😂😂😂😂 go take a nap babe,en,2022-11-27T19:16:22.000Z
1596945915566526465,1639727750,['1596945915566526465'],@17DreamGang who y’all ? 😂,en,2022-11-27T19:15:50.000Z
1596940325737504768,1639727750,['1596940325737504768'],@OwithTheSermon @LarryJuneTFM yeah bruh a lot of women are immature asf gotta just dead dat atp 😂😂😂,en,2022-11-27T18:53:38.000Z
1596937107192573952,1639727750,['1596937107192573952'],"y’all ever dealt w somebody that lie for no reason — like you know they lying — they know they lying — they know YOU know they lying

but will still lie 😂",en,2022-11-27T18:40:50.000Z
1596936358731616257,1639727750,['1596936358731616257'],how can I lose when I’m already chose — like.,en,2022-11-27T18:37:52.000Z
1596933286562918400,1639727750,['1596933286562918400'],@Marz_Enigma wtf😂😂😂😂😂😂😂,und,2022-11-27T18:25:39.000Z
1596932883599745025,1639727750,['1596932883599745025'],@OwithTheSermon @LarryJuneTFM you dont gotta be smooth literally just be honest 😂😂😂 idk why men was conditioned to think women can’t handle the truth — and if she can’t then maybe you shouldn’t be fwh anyways lol,en,2022-11-27T18:24:03.000Z
1596932688002568192,1639727750,['1596932688002568192'],RT @LarryJuneTFM: Stop lying to these females.. it’s ok to have women my nig it’s normal.,en,2022-11-27T18:23:17.000Z
1596928750725533697,1639727750,['1596928750725533697'],"RT @ninagrewal97: when people place me on a pedestal they’ve formed in their minds, that’s how I know they’re not looking at me like a fall…",en,2022-11-27T18:07:38.000Z
