edit_history_tweet_ids,lang,created_at,author_id,id,text,withheld
['1596970378269949953'],en,2022-11-27T20:53:03.000Z,1564691477862785024,1596970378269949953,"RT @jimrosecircus1: Boat for sale, only 4 bucks. https://t.co/Xrt0wCBrEH",
['1596970340240224256'],en,2022-11-27T20:52:54.000Z,1564691477862785024,1596970340240224256,"RT @AccentInvesting: To build wealth, you must first change your mindset and your attitude toward money.",
['1596970111931363329'],zxx,2022-11-27T20:51:59.000Z,1564691477862785024,1596970111931363329,RT @Hilario18631186: https://t.co/v7fVCY7zE1,
['1596970060320747520'],en,2022-11-27T20:51:47.000Z,1564691477862785024,1596970060320747520,RT @geraldcelente: The western media no longer reports on the U.S.-backed overthrow of Ukrainian President Viktor Yanukovych in 2014,
['1596969780820738048'],en,2022-11-27T20:50:40.000Z,1564691477862785024,1596969780820738048,"RT @CanadianKitty1: 🇹🇷❗🇹🇷 Erdogan said he does not rule out the normalization of relations with Syria in the near future

“In the near futu…",
['1596969614919241728'],en,2022-11-27T20:50:01.000Z,1564691477862785024,1596969614919241728,RT @CanadianKitty1: ‼️No negotiations with Putin. https://t.co/pdwzc6waaX,
['1596969427240878098'],en,2022-11-27T20:49:16.000Z,1564691477862785024,1596969427240878098,"RT @CanadianKitty1: 🇷🇺Marines of the Russian Navy in the zone of the operation in Ukraine.

POWER💪💪💪
. https://t.co/jAT9jNGexy",
['1596968923798249475'],en,2022-11-27T20:47:16.000Z,1564691477862785024,1596968923798249475,RT @JohnCena: Learn something new by doing something new.,
['1596961728105152515'],en,2022-11-27T20:18:40.000Z,1564691477862785024,1596961728105152515,RT @HowThingsWork_: These tables produce stunning effects using simple reflection techniques 👏🏼🪞 https://t.co/bGmOJXjqPh,
['1596961596638916608'],en,2022-11-27T20:18:09.000Z,1564691477862785024,1596961596638916608,"RT @SamTwits: This is so misleading. @elonmusk invested nearly all of the Series A round. At that point, Tesla was just a name &amp; 3 guys wit…",
['1596961536555511808'],en,2022-11-27T20:17:55.000Z,1564691477862785024,1596961536555511808,RT @TsarofMoscow: ‘Ukraine’ still winning? 🤣🤣🤣,
['1596961442309496833'],en,2022-11-27T20:17:32.000Z,1564691477862785024,1596961442309496833,"RT @kimheller3: Fellow South Africans, friends, Fighters ✊🏽 &amp; Foes

I am honored to be part of the panel tonight on @itstopicalsabc speakin…",
['1596961369781248001'],fr,2022-11-27T20:17:15.000Z,1564691477862785024,1596961369781248001,RT @squatsons: Lancet https://t.co/zUHEU9unwY,
['1596961314982621184'],cy,2022-11-27T20:17:02.000Z,1564691477862785024,1596961314982621184,RT @mdfzeh: Orchestra training Belgorod territorial defense https://t.co/GEr9z34MeN,
['1596961233449537536'],zxx,2022-11-27T20:16:42.000Z,1564691477862785024,1596961233449537536,RT @esotericbot: https://t.co/SsqqW1CgIZ,
['1596961146229395456'],en,2022-11-27T20:16:22.000Z,1564691477862785024,1596961146229395456,RT @Hilario18631186: 🤣🤣🤣 this woman takes control of the situation on a highway!  VIPs!! 😍 https://t.co/xVFvaqYQ7b,
['1596960954276642816'],en,2022-11-27T20:15:36.000Z,1564691477862785024,1596960954276642816,RT @MightiJamie: Many of us have people living with diabetes in our families. They have never used diabetes as an excuse to be racist or ab…,
['1596960884378992640'],en,2022-11-27T20:15:19.000Z,1564691477862785024,1596960884378992640,"RT @mdfzeh: Not all stolen dishwashers are used to make new hypersonic missiles, some get used for their intended purpose 😁

Tankers with a…",
['1596960300510883840'],en,2022-11-27T20:13:00.000Z,1564691477862785024,1596960300510883840,"RT @CanadianKitty1: 🇬🇧After the death of Elizabeth II, it turned out that she had bone marrow cancer. There is no cure for this disease.

T…",
['1596960086647525376'],en,2022-11-27T20:12:09.000Z,1564691477862785024,1596960086647525376,RT @_BestVideos: Hell No 😱 https://t.co/CQff2XTuPM,
['1596959997073977349'],en,2022-11-27T20:11:48.000Z,1564691477862785024,1596959997073977349,"RT @mdfzeh: Mobilized marines from Murmansk at training session, beautiful landscape. 

How they surviving? I was told Russian servicemen g…",
['1596959655515009024'],en,2022-11-27T20:10:26.000Z,1564691477862785024,1596959655515009024,"RT @real1maria: Germany has become an economic satellite of US' new Cold War with Russia, China, and the rest of Eurasia. 
NATO countries a…",
['1596959442012352513'],en,2022-11-27T20:09:35.000Z,1564691477862785024,1596959442012352513,RT @tWeatherSA: 🔴 BREAKING: FUNNEL CLOUD SPOTTED IN THE EAST RAND ON SUNDAY AFTERNOON | 📸 SUPPLIED https://t.co/3lJbLu2y5b,
['1596959322705367040'],en,2022-11-27T20:09:07.000Z,1564691477862785024,1596959322705367040,"RT @MonicaCrowley: The CCP’s Zero COVID policy was never about the virus - it was only about power &amp; control. 

It’s jumped the shark with…",
['1596959135891091456'],en,2022-11-27T20:08:22.000Z,1564691477862785024,1596959135891091456,"RT @mmodiba10: Here's my smalanyana take on @RT_com talking about how

The west is using “green energy” to prevent African nations from exp…",
['1596958840922120192'],en,2022-11-27T20:07:12.000Z,1564691477862785024,1596958840922120192,RT @CheriB2022: 🤬🤬🤬🤬EVIL 🤬🤬🤬,
['1596958701243334656'],en,2022-11-27T20:06:39.000Z,1564691477862785024,1596958701243334656,"Disgusting,this is the same ritual,in hollywood.yikes . https://t.co/7sQuvpKDbz",
['1596957873908887552'],en,2022-11-27T20:03:21.000Z,1564691477862785024,1596957873908887552,"RT @PressTV: Ukraine will be liberated from ‘neo-Nazi’ rulers, Russia’s FM says https://t.co/6yGKHUmg0h",
['1596957659621896192'],en,2022-11-27T20:02:30.000Z,1564691477862785024,1596957659621896192,RT @HowThingsWork_: How marbles are made using old glass pieces.🔮 https://t.co/IA7Lj3jA0Y,
['1596957435557969920'],en,2022-11-27T20:01:37.000Z,1564691477862785024,1596957435557969920,RT @mdfzeh: God bless the field mechanics https://t.co/U6OzEdApXY,
['1596957308105261056'],en,2022-11-27T20:01:06.000Z,1564691477862785024,1596957308105261056,RT @LogKa11: Russian forces strike Ukrainian soldiers in a pickup truck using various weapons including Rapira MT-12 anti tank gun https://…,
['1596957266917593089'],en,2022-11-27T20:00:57.000Z,1564691477862785024,1596957266917593089,"RT @GeromanAT: #Holodomor was a myth created by CIA - it was pure cherry picking of historical events to bring ""Ukraine"" against USSR and l…",
['1596956938352283648'],en,2022-11-27T19:59:38.000Z,1564691477862785024,1596956938352283648,RT @CanadianKitty1: 🇩🇪🇺🇦Germany transferred to Ukraine 10 American-made Oshkosh M1070 tank carriers and 53 TM-170 armored vehicles from the…,
['1596956531479941121'],en,2022-11-27T19:58:01.000Z,1564691477862785024,1596956531479941121,RT @MentalFlowHLL: Lesson is in there: https://t.co/LwLEYPWjzs,
['1596956322507128833'],en,2022-11-27T19:57:11.000Z,1564691477862785024,1596956322507128833,"RT @CanadianKitty1: 🤔💰Cycle of millionaires and billionaires in nature. Countries that are losing and gaining them in 2022
. https://t.co/e…",
['1596956165879271427'],zxx,2022-11-27T19:56:34.000Z,1564691477862785024,1596956165879271427,RT @esotericbot: https://t.co/UJNhpzVie4,
['1596956000095199232'],en,2022-11-27T19:55:55.000Z,1564691477862785024,1596956000095199232,"RT @realsyriaa: Syrian Ministry of Information🇸🇾:

A Syrian Doctor invents a device to build the front of the lower jaw and chin in a circu…",
['1596955781697445889'],en,2022-11-27T19:55:03.000Z,1564691477862785024,1596955781697445889,RT @thecheffchi: Davido is back!!! 👑❤️‍🔥♥️💐 https://t.co/Ik3gVvl9r7,
['1596955734196903936'],en,2022-11-27T19:54:51.000Z,1564691477862785024,1596955734196903936,"RT @NoMoreNATO: Oh dear, someone's been watching too much BBC 🤡🌍😂😂😂",
['1596953407452913669'],en,2022-11-27T19:45:36.000Z,1564691477862785024,1596953407452913669,"RT @l_lizah: In some African communities, when a horse is sick to the point of death, it takes a woman who has known only one man in her li…",
['1596952725539147777'],en,2022-11-27T19:42:54.000Z,1564691477862785024,1596952725539147777,"RT @mdfzeh: Not sure if this is a cope or legit. Prigozhin claims that the intent is not to take Bakhmut, but rather keep the current meat…",
['1596952446219145216'],en,2022-11-27T19:41:47.000Z,1564691477862785024,1596952446219145216,RT @Chadyrov11: On friday another group volunteers left to the SMO after high quality combat training in the university of special forces (…,
['1596952342737620993'],en,2022-11-27T19:41:23.000Z,1564691477862785024,1596952342737620993,RT @LogKa11: DPR quadcopter drone drops grenades on Ukrainian soldiers and ammunition https://t.co/TKLGM6y1xL,
['1596952199220764672'],en,2022-11-27T19:40:48.000Z,1564691477862785024,1596952199220764672,"RT @CanadianKitty1: 🇷🇺During the battles for Lisichansk, an explosion occurred in the building of the House of Culture. Ukrainian propagand…",
['1596951924980715520'],en,2022-11-27T19:39:43.000Z,1564691477862785024,1596951924980715520,"RT @ZerkeeB: Toothpaste with whiskey.
Seriously?😂😂 What was going on back then? https://t.co/YqNDWaLfw8",
['1596951822757154818'],en,2022-11-27T19:39:19.000Z,1564691477862785024,1596951822757154818,"RT @RT_com: Putin weighs in on root cause of Ukraine conflict

'If there had not been a coup d'état in Ukraine in 2014, none of this would…","{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
['1596950087707824128'],zxx,2022-11-27T19:32:25.000Z,1564691477862785024,1596950087707824128,RT @ZerkeeB: https://t.co/pmAuDkmdaU,
['1596949987174547456'],en,2022-11-27T19:32:01.000Z,1564691477862785024,1596949987174547456,"It's time to put the Nazis and their funders to rest once and for all, Nobody wants to live with psychos and blood thirsty vamps . https://t.co/yG4pefVV0q",
['1596949227317661698'],en,2022-11-27T19:29:00.000Z,1564691477862785024,1596949227317661698,"RT @thatdayin1992: They deleted this tweet. Hopefully, @FIFAcom will take action and ban the US from the tournament. Not because I care abo…",
['1596949016079581184'],en,2022-11-27T19:28:09.000Z,1564691477862785024,1596949016079581184,"RT @CanadianKitty1: 🇷🇺At a meeting with mothers of soldiers on the front line...

Putin may be Putin, but customs don't change for anybody…",
['1596948614433021952'],en,2022-11-27T19:26:34.000Z,1564691477862785024,1596948614433021952,RT @ZerkeeB: This was an actual Advert https://t.co/p7fV2kzwo7,
['1596948545814528001'],en,2022-11-27T19:26:17.000Z,1564691477862785024,1596948545814528001,"RT @esotericbot: ""Things do not happen. Things are made to happen."" ~ John F. Kennedy",
['1596948179681161217'],en,2022-11-27T19:24:50.000Z,1564691477862785024,1596948179681161217,"RT @fasc1nate: Rick Winters’ 172 ft. world record high dive in 1983. 40 years later, he still holds the record.  https://t.co/IGAgNbxtM4",
['1596948099137949697'],en,2022-11-27T19:24:31.000Z,1564691477862785024,1596948099137949697,Africa needs to find itself again to define or redefine our own religion. https://t.co/tgrKy6jXhF,
['1596947484386897921'],en,2022-11-27T19:22:04.000Z,1564691477862785024,1596947484386897921,Love is blind. https://t.co/BNS0lY1Hru,
['1596943672880533504'],en,2022-11-27T19:06:56.000Z,1564691477862785024,1596943672880533504,"RT @FiorellaIsabelM: BREAKING The US has lifted its oil embargo on Venezuela &amp; granted Chevron a license to pump oil in Venezuela, breaking…",
['1596943533860352001'],en,2022-11-27T19:06:22.000Z,1564691477862785024,1596943533860352001,RT @Retiremyass: So many electricians in the Ukraine but no electricity 🤔 https://t.co/bWokmMwAcu,
['1596943485453893633'],en,2022-11-27T19:06:11.000Z,1564691477862785024,1596943485453893633,RT @AfricaFactsZone: Morocco are the only African team who haven't conceded a goal at the 2022 FIFA World Cup in Qatar.,
['1596943373499129858'],zxx,2022-11-27T19:05:44.000Z,1564691477862785024,1596943373499129858,RT @esotericbot: https://t.co/ioOJdGSsLT,
['1596943309607297024'],en,2022-11-27T19:05:29.000Z,1564691477862785024,1596943309607297024,"RT @CanadianKitty1: ‼️🇬🇧🇺🇦 Britain delivered batch of Brimstone-2 high-precision missiles to Ukraine — Kingdom Ministry of Defense

▪️Brims…",
['1596943201364942853'],en,2022-11-27T19:05:03.000Z,1564691477862785024,1596943201364942853,"RT @WatcherGuru: JUST IN: 🇷🇺 Russian President Putin calls to create a digital payment system for international settlements, independent fr…",
['1596943050034450432'],zxx,2022-11-27T19:04:27.000Z,1564691477862785024,1596943050034450432,RT @laralogan: https://t.co/kzBMn7GQOO,
['1596942690650054656'],en,2022-11-27T19:03:01.000Z,1564691477862785024,1596942690650054656,"RT @soccerzela: Pitso Mosimane: 

“Morocco have been aggressive in their development, and I have no doubt they will dominate African footba…",
['1596942464870670337'],en,2022-11-27T19:02:08.000Z,1564691477862785024,1596942464870670337,RT @Trollstoy88: Women of 🇷🇺 Russian Armed Forces 🇷🇺 https://t.co/pnaFkmXnAz,
['1596942219348692993'],en,2022-11-27T19:01:09.000Z,1564691477862785024,1596942219348692993,RT @ArthurM40330824: Mercenary is complaining that in #Donbass most of civilians are actually pro #Russian. How is that a surprise? Maybe t…,
['1596942083017052160'],en,2022-11-27T19:00:36.000Z,1564691477862785024,1596942083017052160,"RT @highlightsnews1: Press TV Correspondent in Donetsk, @johnnyjmils, says Ukraine has banned all independent media and most political part…",
['1596942001903394818'],en,2022-11-27T19:00:17.000Z,1564691477862785024,1596942001903394818,"RT @BoyJacobs2: So Zuma stole ikomo ko North West after that uvula Restaurant.

The man doesn't have conscious https://t.co/NJhuCelzWp",
['1596941575849795584'],en,2022-11-27T18:58:36.000Z,1564691477862785024,1596941575849795584,RT @Nqobzin20: World Bank for you https://t.co/vmvSAjzk6Q,
['1596941508581564417'],en,2022-11-27T18:58:20.000Z,1564691477862785024,1596941508581564417,"RT @AZgeopolitics: 🇸🇾🇹🇷The Syrian army has sent reinforcements to the north of Aleppo to repel Turkish troops, a Syrian military source tol…",
['1596941437077049344'],zxx,2022-11-27T18:58:02.000Z,1564691477862785024,1596941437077049344,RT @laralogan: https://t.co/zot3pwNchY,
['1596941389807620097'],en,2022-11-27T18:57:51.000Z,1564691477862785024,1596941389807620097,"RT @tambai_07: A good ANC only exist in people's minds, reality says the ANC has long passed it's sell by date and will never renew itself!…",
['1596940225502380032'],en,2022-11-27T18:53:14.000Z,1564691477862785024,1596940225502380032,RT @LionelMedia: Ron DeSantis is not what or who you think he is.,
['1596940188512845824'],en,2022-11-27T18:53:05.000Z,1564691477862785024,1596940188512845824,RT @0ccultbot: Psychic abilities do exist. The US Government even has a division of remote viewers.,
['1596940041120452608'],en,2022-11-27T18:52:30.000Z,1564691477862785024,1596940041120452608,RT @RatTrapFights: LEMME GET THAT BAT https://t.co/6IdZnm6FcI,
['1596939884148969474'],en,2022-11-27T18:51:52.000Z,1564691477862785024,1596939884148969474,RT @CheburekiMan: Europe realizing that the United States smiles and shakes her hand while the other has a knife in her back.,
['1596939846815125504'],en,2022-11-27T18:51:43.000Z,1564691477862785024,1596939846815125504,"RT @Bernade58733135: 💥💥💥Fierce fighting continues in the center of Marinka, west of Donetsk

The Russian army beats the Nazis and advances…",
['1596939441523654659'],en,2022-11-27T18:50:07.000Z,1564691477862785024,1596939441523654659,"Let's not forget that Russia has a weapon capable of destroying,both Nato and USA in less than 30minutes ....or even end humanity from the face of Earth. https://t.co/bMn6hdlUCH",
['1596938818611187712'],en,2022-11-27T18:47:38.000Z,1564691477862785024,1596938818611187712,"RT @CanadianKitty1: 🇷🇺‼️One of several reasons why Russia is liberating Donbass.

Lugansk, 2015.
. https://t.co/cq2ffUi76H",
['1596938706278981632'],en,2022-11-27T18:47:11.000Z,1564691477862785024,1596938706278981632,RT @esotericbot: Very few are aware that stock market crashes are perfectly controlled demolitions of the Global Economic and Financial Sys…,
['1596938655654088706'],en,2022-11-27T18:46:59.000Z,1564691477862785024,1596938655654088706,RT @Trollstoy88: Positions of AFU near Bakhmut (Artemovsk). Not looking great. https://t.co/HkmhYtgoYw,
['1596938613279059968'],en,2022-11-27T18:46:49.000Z,1564691477862785024,1596938613279059968,"RT @runews: Next Ukraine will ban FOX TV, if they haven’t already https://t.co/CD8thjKldB",
['1596938516617129985'],en,2022-11-27T18:46:26.000Z,1564691477862785024,1596938516617129985,"RT @ZerkeeB: Jesus was just a character they threw at you to distract you from praying to the Creator as you used to do🤷🏾‍♂️

Now you pray…",
