text,edit_history_tweet_ids,author_id,created_at,id,lang
"@fla_sports_fan @thebrettjames1 Most recently hes been above avg, I would say like top 15. But his body of work tells me it could be a one of and its risky to lock that in",['1597044870564442114'],245838339,2022-11-28T01:49:03.000Z,1597044870564442114,en
"@thebrettjames1 Nah. We would have to pay him top 10 money likely, not worth",['1597043445587058688'],245838339,2022-11-28T01:43:23.000Z,1597043445587058688,en
He got that 🐶 https://t.co/N5smV51emH,['1597032121184702464'],245838339,2022-11-28T00:58:23.000Z,1597032121184702464,en
RT @NFL: This game-winning drive by @TrevorLawrencee was impeccable. #BALvsJAX https://t.co/DSwZGreqsb,['1596985860368797696'],245838339,2022-11-27T21:54:34.000Z,1596985860368797696,en
TREVOR LAWRENCE IS THAT GUY,['1596983500825296896'],245838339,2022-11-27T21:45:11.000Z,1596983500825296896,en
Implosion again,['1596980442233593856'],245838339,2022-11-27T21:33:02.000Z,1596980442233593856,en
Im completely done with Mike Caldwell.,['1596979108495228929'],245838339,2022-11-27T21:27:44.000Z,1596979108495228929,en
This defense does this every week. Every. Fucking. Week.,['1596977540702572544'],245838339,2022-11-27T21:21:30.000Z,1596977540702572544,en
Mike Caldwell dropping Josh Allen is literal genius. So good even the Jaguars couldn’t compute it,['1596976917051502594'],245838339,2022-11-27T21:19:02.000Z,1596976917051502594,en
Wheew this is bad,['1596971391894827008'],245838339,2022-11-27T20:57:04.000Z,1596971391894827008,en
Extremely bland predictable play calling on offense,['1596970909130436609'],245838339,2022-11-27T20:55:09.000Z,1596970909130436609,en
@jordandelugo All year,['1596968378488721408'],245838339,2022-11-27T20:45:06.000Z,1596968378488721408,en
Mistakes mistakes mistakes,['1596967584582103041'],245838339,2022-11-27T20:41:57.000Z,1596967584582103041,en
Travon Walker playing very well I find,['1596961691463745536'],245838339,2022-11-27T20:18:32.000Z,1596961691463745536,en
Our interior is rough to watch,['1596960949294227456'],245838339,2022-11-27T20:15:35.000Z,1596960949294227456,en
Josh Allen winning clean and Lamar casually running inside is why our pass rush stinks,['1596960707802976256'],245838339,2022-11-27T20:14:37.000Z,1596960707802976256,en
@menintealpod It CAN work but he leans a lot,['1596959069600120835'],245838339,2022-11-27T20:08:06.000Z,1596959069600120835,en
What in the world is Mike Caldwell doing,['1596949419915907075'],245838339,2022-11-27T19:29:46.000Z,1596949419915907075,en
Trevor Lawrence is now an Elite QB on a bad team 🤣,['1596947621603872769'],245838339,2022-11-27T19:22:37.000Z,1596947621603872769,en
"Fortner is really not that good, loses a lot for a center. He has a high ceiling though",['1596947449985536000'],245838339,2022-11-27T19:21:56.000Z,1596947449985536000,en
This isnt fun,['1596943562180300800'],245838339,2022-11-27T19:06:29.000Z,1596943562180300800,en
"@thebrettjames1 Line got no push, you would hope your 6’6 QB can get a yard but LOS is getting worked",['1596939928390492160'],245838339,2022-11-27T18:52:03.000Z,1596939928390492160,en
"RT @DubyaGFX: Improving the @Jaguars unis without a full re-design (Pt. 1 Home Unis) 

Bring back gold and black trims. Add pant stripes. B…",['1594189416070672385'],245838339,2022-11-20T04:42:30.000Z,1594189416070672385,en
@khyyxr @cade_theking @illuminated333 @MortRegum @2pacOutsider @TheNBACentral @AhnFireDigital 2 things can be true,['1594037543003193345'],245838339,2022-11-19T18:39:00.000Z,1594037543003193345,en
