edit_history_tweet_ids,lang,created_at,author_id,id,text,geo
['1597063962972942336'],en,2022-11-28T03:04:55.000Z,91650974,1597063962972942336,RT @danorlovsky7: Freaking 🧅 https://t.co/fKXljah9Xa,
['1597060726644150272'],en,2022-11-28T02:52:03.000Z,91650974,1597060726644150272,Yup lol https://t.co/wa5hMRGyTM,
['1597059579992416256'],en,2022-11-28T02:47:30.000Z,91650974,1597059579992416256,Man went 1/4 and he only got the 1 team right because that’s his alma mater https://t.co/MyM44PuBtZ,
['1597058455977988098'],en,2022-11-28T02:43:02.000Z,91650974,1597058455977988098,"You need your ass whooped for this, Jack https://t.co/kkLnMNhh0t",
['1597057490104963072'],und,2022-11-28T02:39:12.000Z,91650974,1597057490104963072,@vngwrld 😂😂😂😂,
['1597056645602738178'],en,2022-11-28T02:35:50.000Z,91650974,1597056645602738178,@thom1020 I pray that he does lol,
['1597047670245556224'],en,2022-11-28T02:00:10.000Z,91650974,1597047670245556224,"RT @NFLonCBS: First player in @Jaguars history to have a game with 

300 Pass Yards
3 Pass TD
0 INT
75%+ comp pct

Trevor Lawrence vs Raven…",
['1597046519294664705'],en,2022-11-28T01:55:36.000Z,91650974,1597046519294664705,@i_am_reggie He gonna put on a show since the SECCG game will be the day before,
['1597046395424636928'],en,2022-11-28T01:55:07.000Z,91650974,1597046395424636928,@WiscoDirtyBird @padre1013 I’m not so sure we beat Pitt lol,
['1597045791994310656'],en,2022-11-28T01:52:43.000Z,91650974,1597045791994310656,RT @PatMcAfeeShow: No offense at all Tennessee.. it’s not because it’s you BUT.. I LOVE THAT THIS HAPPENED  https://t.co/r8mcByNHBl,
['1597045523831480320'],en,2022-11-28T01:51:39.000Z,91650974,1597045523831480320,@padre1013 Yup lol smh,
['1597045206163271681'],en,2022-11-28T01:50:23.000Z,91650974,1597045206163271681,@whattabxtch I am lol,
['1597043575547920384'],en,2022-11-28T01:43:54.000Z,91650974,1597043575547920384,@PatilloSr I just never knew he was this inept,
['1597043453715959810'],en,2022-11-28T01:43:25.000Z,91650974,1597043453715959810,Must be nice to have a QB that can throw… https://t.co/7xE4Lwe0uM,
['1597042733671395328'],en,2022-11-28T01:40:33.000Z,91650974,1597042733671395328,@vngwrld I’m old and out of the loop… preciate it for letting me know lmao,
['1597040967185764352'],en,2022-11-28T01:33:32.000Z,91650974,1597040967185764352,"RT @BTRowland: i'm not someone who goes to ""out-coached"" very often but this second half has been quite a mismatch in that department IMO",
['1597040041435332608'],en,2022-11-28T01:29:52.000Z,91650974,1597040041435332608,RT @BostonConnr: “STOP FUCKING SAY LETS RIDE” https://t.co/4SSlcISJaG,
['1597039976390086656'],en,2022-11-28T01:29:36.000Z,91650974,1597039976390086656,RT @willis_glen: Hawks had some success fixing JC at the nail but Heat pulled starting pulling in a bit more from the weak side to impact t…,
['1597038835732733952'],en,2022-11-28T01:25:04.000Z,91650974,1597038835732733952,@whattabxtch Yeah I still need to get me a legit camera soon too,
['1597038301688385536'],art,2022-11-28T01:22:57.000Z,91650974,1597038301688385536,😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/FIzqnKzbxM,
['1597037782890790912'],und,2022-11-28T01:20:53.000Z,91650974,1597037782890790912,@vngwrld icb?,
['1597037697709002752'],en,2022-11-28T01:20:33.000Z,91650974,1597037697709002752,😂😂😂😂😂 my brain cells are cooking watching him play https://t.co/VEGh9MJzUb,
['1597036997658701824'],en,2022-11-28T01:17:46.000Z,91650974,1597036997658701824,RT @mindofgoatdj: Being from the South &gt;&gt;&gt;&gt;,
['1597036533265371136'],en,2022-11-28T01:15:55.000Z,91650974,1597036533265371136,"@TD_TheBess Lol I mean he didn’t come in lighting it up, himself either",
['1597036258190295043'],en,2022-11-28T01:14:50.000Z,91650974,1597036258190295043,"On an offense that features/featured London/Patterson/Pitts.

Pitts on track to have a career low in receiving yardage as well. 

All in a PASSING league at that. https://t.co/mH2TBmoUrO",
['1597035763572826112'],en,2022-11-28T01:12:52.000Z,91650974,1597035763572826112,When Taco Bell was using real meat https://t.co/LXd7B7S3mT,
['1597035137644261378'],en,2022-11-28T01:10:22.000Z,91650974,1597035137644261378,Carr acting like they just won the SB lol https://t.co/sMh2OIEfMm,
['1597030797474549760'],en,2022-11-28T00:53:08.000Z,91650974,1597030797474549760,"@whattabxtch Gas me up, friend ☺️🫣",
['1597029046386184192'],art,2022-11-28T00:46:10.000Z,91650974,1597029046386184192,😂😂😂😂😂😂😂 https://t.co/xkjGptdPCq,{'place_id': '7142eb97ae21e839'}
['1597026756937908224'],en,2022-11-28T00:37:04.000Z,91650974,1597026756937908224,Lol the Raiders win,{'place_id': '7142eb97ae21e839'}
