created_at,text,edit_history_tweet_ids,id,author_id,lang
2022-11-27T20:26:07.000Z,"آندھیوں کے رخ موڑنے والا 
سب زنجیریں توڑنے والا 
ٹوٹے رشتے جوڑنے والا 
بوڑھوں کمزوروں کا سہارا 
پوری قوم کا ایک ہی نعرہ 
شیر ہمارا شیر ہمارا ✌✌
دیکھو دیکھو کون آیا 
شیر آیا شیر آیا ۔
@MaryamNSharif https://t.co/wPYo8wcBTS",['1596963601889169408'],1596963601889169408,1157909196777676800,ur
2022-11-27T20:23:39.000Z,"RT @M_K_Z_D: اعظم سواتی کی گرفتاری سے سمجھ آگیا ہو گا. حافظ صاحب ایکشن لینے میں دیر نہیں کرے گئے...!!!!
😊😊😊",['1596962979605803008'],1596962979605803008,1157909196777676800,ur
2022-11-27T20:23:32.000Z,RT @umer_pmln: ہمارا گورنر عمران اسماعیل اسکے کپڑوں سے چار گولیاں نکلی، اور وہ بچ گیا،مانی مینٹل 😅😅😅 https://t.co/FoipQUwVEG,['1596962949918519296'],1596962949918519296,1157909196777676800,ur
2022-11-27T20:23:24.000Z,"RT @_AMIR7: #مریم_نواز_فورس_آزاد_کشمیر
1️⃣5⃣0⃣6⃣
@MinhasK79 🅰️
@_AMIR7 
@PMLN_AK
@F_kashmire 
@Dani_Malik7
@RajaAqeelA 
@Saba5670
@hrmk90
@…",['1596962919001956352'],1596962919001956352,1157909196777676800,und
2022-11-27T20:23:11.000Z,"RT @RSh628: وارڈ 14 سے مسلم لیگ ن کے شہزاد ہاشمی کامیاب
#بلدیاتی_الیکشن_آذادکشمیر",['1596962865432653824'],1596962865432653824,1157909196777676800,ur
2022-11-27T20:23:05.000Z,"RT @RSh628: مظفرآباد کی میئرشپ کے لیے مسلم لیگ ن نے میدان مارلیا۔
مبارک ہو راجہ فاروق حیدر خان صاحب 
مسلم لیگ ن زندہ باد💞⁦✌️⁩
#بلدیاتی_الیک…",['1596962839935455232'],1596962839935455232,1157909196777676800,ur
2022-11-27T20:23:00.000Z,RT @_AMIR7: آزاد کشمیر کے موسٹ سینئر وزیر خواجہ فاروق کو اپنے حلقے میں بدترین شکست متحدہ اپوزیشن کو  36 وارڈز سے 24 وارڈز پر شاندار کامیابی…,['1596962819534381056'],1596962819534381056,1157909196777676800,ur
2022-11-27T20:22:55.000Z,"RT @_AMIR7: #مریم_نواز_فورس_آزاد_کشمیر
 1️⃣5⃣0⃣7⃣
@MinhasK79 🅰️
@_AMIR7 
@PMLN_AK
@F_kashmire 
@RSh628
@Asifa2508
@farooqWdar
@Selanikizmir…",['1596962798562467840'],1596962798562467840,1157909196777676800,und
2022-11-27T20:22:45.000Z,"RT @Dani_Malik7: مظفر آباد والو آپ نے آج ثابت کردیا کہ نواز شریف ہی عوامی لیڈر ہے
@MaryamNSharif @sgqadir @mushtaqminhas @tariqfarooq60 @zu…",['1596962755617075200'],1596962755617075200,1157909196777676800,ur
2022-11-27T20:22:40.000Z,"RT @M_K_Z_D: 💚💐💚فَبِاَيِّ اٰلَاۗءِ رَبِّكُمَا تُكَذِّبٰنِ💐💚💐    
                    💜💛💙🧡💜❤️

💫 تو تم اپنے پروردگار کی🕳️ کون کون سی نعمت کو…",['1596962735421820933'],1596962735421820933,1157909196777676800,ur
2022-11-27T20:22:36.000Z,"RT @M_K_Z_D: 👊ہم کو مٹا سکے یہ زمانے میں دم نہیں👊 

😎ہم سے زمانہ خود ہے زمانے سے ہم نہیں😎
✨🌹❣️💐✨
#فالو_بک 💯
@syedagulwis @SadafR12 @Skpmln…",['1596962714953613314'],1596962714953613314,1157909196777676800,ur
2022-11-27T20:22:31.000Z,"RT @M_K_Z_D: یوٹرن لینا پڑے گا..!!!
😂😂😂",['1596962697492324352'],1596962697492324352,1157909196777676800,ur
2022-11-27T20:22:20.000Z,"RT @MirzaNewPMLN: اسلام علیکم و رحمۃ اللّٰہ

اگر تمہیں زرا سا بھی اندازہ ہو جاہے کہ اللّٰہ تمہارے الجھے معاملات کس طرح سنوارتا ہے تو تمہارا…",['1596962648239009792'],1596962648239009792,1157909196777676800,ur
2022-11-27T20:22:15.000Z,"RT @sanzar1122: عمران خان انسان نہیں بلکہ جانور ہے

متفق والے ریٹویٹ اور فالو ضرور کریں۔ https://t.co/hMNZzIsjHd",['1596962628945219584'],1596962628945219584,1157909196777676800,ur
2022-11-27T20:21:16.000Z,RT @CSMR786: ملک ریاض جیسےبندے کو نیب طلبی کا نوٹس جانا معمولی بات نہیں ہے اس نوٹس سے آگےآنے والے حالات کیا ہوں گے سبکو نظر آ رہے ہیں نیازی…,['1596962380998901760'],1596962380998901760,1157909196777676800,ur
2022-11-27T20:20:41.000Z,RT @MBS889: اب پتہ نہیں پاکستانی عوام عمران خان کے ساتھ مذاق کر رہی ھے #بھگوڑانیازی جیسے ٹرینڈ چلا کر یا پھر انڈین فلم ڈائریکٹر سنجے لیلا ب…,['1596962235548864512'],1596962235548864512,1157909196777676800,ur
2022-11-27T20:20:34.000Z,"RT @Skpmln: Remember my point, just like the army chief was appointed, inshallah, on the basis of merit and by people's vote, Mian Muhammad…",['1596962204351627264'],1596962204351627264,1157909196777676800,en
2022-11-27T20:20:30.000Z,RT @Skpmln: Those who wanted to MINUS Nawaz Sharif. Look. Today you are nowhere are Nawaz Sharif again has all the power to decide the poli…,['1596962187360096256'],1596962187360096256,1157909196777676800,en
2022-11-27T20:20:05.000Z,"RT @ZulfiqarAliSWA: نہ جھکنے والا نہ بکنے والا میرا قائد نوازشریف 

#سرخرو_نوازشریف https://t.co/NOzxO3i8lu",['1596962082934886403'],1596962082934886403,1157909196777676800,ur
2022-11-27T20:20:01.000Z,"RT @ZulfiqarAliSWA: The Devoted Man Fighting for his country 

#سرخرو_نوازشریف https://t.co/MBTJaUZcIc",['1596962065314246656'],1596962065314246656,1157909196777676800,en
2022-11-27T20:19:56.000Z,"RT @khawarmalik240: The heartbeat of Nawaz Sharif, the leader of the Pakistani nation, Nawaz Sharif
This nation thanks you at every step.
#…",['1596962045127450624'],1596962045127450624,1157909196777676800,en
2022-11-27T20:19:52.000Z,"RT @khawarmalik240: تاحیات قائد 
#سرخرو_نوازشریف https://t.co/Uha7Lo5vLs",['1596962027540729856'],1596962027540729856,1157909196777676800,fa
2022-11-27T20:19:47.000Z,RT @MBS889: عمران خان کا انقلاب اب جہاد کی صورت اختیار کر چکا ھے۔۔۔۔اور اب یہ جہاد بالترتیب کے پی کے اور پنجاب کے وزیراعلیٰ۔۔جناب محمود خان…,['1596962009568141312'],1596962009568141312,1157909196777676800,ur
2022-11-27T20:19:31.000Z,"RT @SMTSahiwal: قائد محترم @NawazSharifMNS نے اپنے بیانیہ ""ووٹ کو عزت دو"" کے لیے بہت جدوجہد کی ہے اور وہ مشرف اور عمران نیازی کی حکومت میں…",['1596961942358601729'],1596961942358601729,1157909196777676800,ur
2022-11-27T20:19:26.000Z,RT @SMTSahiwal: اللہ پاک نے قائد محترم @NawazSharifMNS میاں محمد نواز شریف کو ہر آزمائش میں کامیاب کیا اور اب تک فتنہ خان کی تمام سازشیں بے…,['1596961921978486784'],1596961921978486784,1157909196777676800,ur
2022-11-27T20:19:15.000Z,"RT @ZulfiqarAliSWA: کچھ تعلق ٹوٹنے کیلئے نہیں بنتے 

#سرخرو_نوازشریف https://t.co/yAN2pR3qp4",['1596961872766709760'],1596961872766709760,1157909196777676800,ur
2022-11-27T20:19:11.000Z,"RT @ZulfiqarAliSWA: قوم کی آواز 
صرف نواز 

#سرخرو_نوازشریف https://t.co/Uub7TFTGsC",['1596961855523934209'],1596961855523934209,1157909196777676800,fa
2022-11-27T20:19:06.000Z,"RT @Skpmln: By the grace of Allah 
2013 to 2018
#شکریہ_نوازشریف
#SMTvGlobal
#سرخرو_نوازشریف https://t.co/pk9AsQ7ljQ",['1596961834334322688'],1596961834334322688,1157909196777676800,en
2022-11-27T20:19:01.000Z,RT @Skpmln: The movement to respect the vote was a decisive movement of this country which played an important role for the rule of the con…,['1596961817183412224'],1596961817183412224,1157909196777676800,en
2022-11-27T20:18:56.000Z,RT @KashiC7122: اعظم سواتی کی گرفتاری کی ویڈیو جاری کر دی گئی تاکہ پھر کوئی الزام نہ لگایا جاسکے https://t.co/Vb6aAMUEnj,['1596961796233261056'],1596961796233261056,1157909196777676800,ur
2022-11-27T20:18:51.000Z,"RT @_AminaMalik: سچا لیڈر نواز شریف 
#سرخرو_نوازشریف https://t.co/PkbJpUMmFu",['1596961774766419969'],1596961774766419969,1157909196777676800,ur
2022-11-27T20:18:38.000Z,RT @_AminaMalik: عجیب جماعت ہے ایک طرف لیڈر کا پلستر اتر گیا ہے لیکن دوسری طرف ورکر کا سنی پلاسٹ نہیں اتر رہا۔ https://t.co/hRj2e0mx0I,['1596961719070625792'],1596961719070625792,1157909196777676800,ur
2022-11-27T20:18:17.000Z,"RT @KashiC7122: The Pakistan nation is blessed with a leadership of Nawaz Sharif... 
#سرخرو_نوازشریف https://t.co/bSHkaujRkb",['1596961632332439553'],1596961632332439553,1157909196777676800,en
2022-11-27T20:17:22.000Z,"RT @SMTSahiwal: وہ آ رہا ہے یہ لگ رہا ہے گلاب رستوں میں کھل رہے ہیں تمام موسم نکھر چکے ہیں
قائد محترم @NawazSharifMNS میاں محمد نواز شریف ص…",['1596961401289203712'],1596961401289203712,1157909196777676800,ur
2022-11-27T20:17:09.000Z,"RT @SMTSahiwal: ایسا ہے میرا قائد
#سرخرو_نوازشریف ان شاء اللہ تعالیٰ قائد محترم میاں محمد نواز شریف صاحب @NawazSharifMNS بہت جلد محترمہ مری…",['1596961343424581632'],1596961343424581632,1157909196777676800,ur
2022-11-27T20:17:00.000Z,"RT @Skpmln: گوگی تیرے سالی   پنجاب سارا کھا گئی 
بہترین گانہ لطف اٹھائی
#سرخرو_نوازشریف
@MaryamNSharif https://t.co/3F3X73fHNm",['1596961307399704577'],1596961307399704577,1157909196777676800,ur
2022-11-27T20:16:53.000Z,RT @dmplgrll: یوتھیے اپنی ہی پارٹی کے جلسے سے کرسیاں لے گے. چور لیڈر چور ورکر https://t.co/C6Xvh96iQx,['1596961276689002498'],1596961276689002498,1157909196777676800,ur
2022-11-27T20:16:48.000Z,"RT @dmplgrll: زمان پارک والے گھر میں 90 لاکھ کی بلٹ پروف کھڑکیاں لگانے والا 
کل پنڈی میں آکر  کہتا ہے کہ میں تو موت سے نہیں ڈرتا
😂🤣🤣",['1596961256875102208'],1596961256875102208,1157909196777676800,ur
2022-11-27T20:16:26.000Z,"RT @NSh120: In Pakistan history Only Nawaz Sharif has got the honor that his statement is becoming popular even in the lower class.
""Respec…",['1596961166630481924'],1596961166630481924,1157909196777676800,en
2022-11-27T20:16:09.000Z,RT @KashiC7122: شیخ چلی۔۔۔میں تے اشارہ دتا سی  پاٹےخان نس جاۓ گا۔😅 وڈا سرپرائز 🤣 https://t.co/htJfXuzf6m,['1596961094136107008'],1596961094136107008,1157909196777676800,ur
2022-11-27T20:15:36.000Z,"RT @Fiza225: مشن پنجاب شروع ۔۔۔
اپوزیشن لیڈر حمزہ شہباز شریف نے پنجاب اسمبلی مسلم لیگ ن اور اتحادی ارکان کا اجلاس کل طلب کر لیا ۔۔
اجلاس می…",['1596960954352537600'],1596960954352537600,1157909196777676800,ur
2022-11-27T20:15:29.000Z,"RT @Fiza225: تم تھے۔۔۔
نواز شریف ہے۔۔
نواز شریف رہے گا۔۔۔
 #سرخرو_نوازشریف https://t.co/cz4lCl2Cya",['1596960927651594240'],1596960927651594240,1157909196777676800,ur
2022-11-27T20:15:22.000Z,"RT @khawarmalik240: آزاد کشمیر بلدیاتی انتخابات 
دارالحکومت مظفر آباد 
کی مئیر شپ مسلم لیگ ن نے جیتی ۔۔",['1596960897297043456'],1596960897297043456,1157909196777676800,ur
