edit_history_tweet_ids,created_at,id,author_id,lang,text
['1597070897118318592'],2022-11-28T03:32:28.000Z,1597070897118318592,937230148201574400,en,"the gag is, i marked everything down 50% so you can still use 20% “onelove” off checkout 🤧 happy cyber monday. thank you for constantly supporting my small business 💖 https://t.co/SDT3ruPeg6"
['1597070627252633601'],2022-11-28T03:31:24.000Z,1597070627252633601,937230148201574400,en,"cyber monday sale 🚨 
50% off all ebooks, services and websites https://t.co/SDT3ruPeg6 https://t.co/nJSqgpyo5t"
['1597062844599906304'],2022-11-28T03:00:28.000Z,1597062844599906304,937230148201574400,en,@QUEENaturals thank you so much. 🤍 i truly can’t wait
['1597062647924805633'],2022-11-28T02:59:41.000Z,1597062647924805633,937230148201574400,en,RT @curlyhairvegan: shopping for and eating the colors of the rainbow to heal the chakras. https://t.co/y6J8nOQhK6
['1597062632867270656'],2022-11-28T02:59:38.000Z,1597062632867270656,937230148201574400,en,RT @curlyhairvegan: shopping vegan/plant based doesn’t have to be expensive as health care https://t.co/IPZxOr4YYy
['1597062506165731328'],2022-11-28T02:59:08.000Z,1597062506165731328,937230148201574400,en,RT @EraHardaway: these buddha bowls by @curlyhairvegan &gt;&gt;&gt;
['1597062473273614337'],2022-11-28T02:59:00.000Z,1597062473273614337,937230148201574400,en,RT @EraHardaway: buddha bowls from @curlyhairvegan &gt;&gt;&gt;
['1597062461924184064'],2022-11-28T02:58:57.000Z,1597062461924184064,937230148201574400,en,"RT @curlyhairvegan: $5 ebooks! one day only!! 
get my favorite vegan recipes and daily meal plans in the 21 vegan challenge! https://t.co/S…"
['1597062367078408192'],2022-11-28T02:58:34.000Z,1597062367078408192,937230148201574400,en,"RT @rachaelxss: guys please check out one of my loves website, it's full of amazing information from natural beauty to veganism! https://t.…"
['1597062358957846530'],2022-11-28T02:58:33.000Z,1597062358957846530,937230148201574400,en,RT @rachaelxss: + a 30 day vegan challenge. a 21 day vegan challenge for purchase &amp; prepped buddha bowls! she has such a beautiful soul 🌼 @…
['1597062347772022784'],2022-11-28T02:58:30.000Z,1597062347772022784,937230148201574400,en,a throwback https://t.co/isVJt1fNRU
['1597062096130564096'],2022-11-28T02:57:30.000Z,1597062096130564096,937230148201574400,en,"RT @curlyhairvegan: + 20 of my favorite
beginner vegan recipes
on sale for $5.55


- buddha bowls
- loaded avocado quesdillas
- vegan chili…"
['1597062063536234497'],2022-11-28T02:57:22.000Z,1597062063536234497,937230148201574400,en,RT @curlyhairvegan: chv vegan buddha bowls &gt;&gt; 🦋✨ https://t.co/BGQRlPJ5TD
['1597062052342030340'],2022-11-28T02:57:19.000Z,1597062052342030340,937230148201574400,en,"RT @curlyhairvegan: i’ll be in VA next week! 
i’ll be selling CHV Buddha Bowls Oct 1! Get your monies ready and hmu if you’re interested 💓…"
['1597062030699425792'],2022-11-28T02:57:14.000Z,1597062030699425792,937230148201574400,en,the recipe is also available in my 21 day vegan challenge. https://t.co/SDT3ruPeg6
['1597061938424741889'],2022-11-28T02:56:52.000Z,1597061938424741889,937230148201574400,en,RT @curlyhairvegan: my buddha bowl recipe &gt;&gt; https://t.co/nrrpfniGYz
['1597061918300467200'],2022-11-28T02:56:47.000Z,1597061918300467200,937230148201574400,en,RT @curlyhairvegan: my mom wanted my buddha bowls for christmas lol. 🪴🌱 https://t.co/4fDQxkICqm
['1597061908884230144'],2022-11-28T02:56:45.000Z,1597061908884230144,937230148201574400,en,RT @curlyhairvegan: VEGAN BUDDHA BOWLS ARE NOW AVAILABLE TO BE PURCHASED ON THE SITE UNTIL FRIDAY. ✨ Claim yours today!! $40 for 6. must pi…
['1597061869784956928'],2022-11-28T02:56:36.000Z,1597061869784956928,937230148201574400,en,"https://t.co/SDT3ruPeg6 
hampton roads, va 📍 https://t.co/WgGr3S1BZV"
['1597061799467024389'],2022-11-28T02:56:19.000Z,1597061799467024389,937230148201574400,en,"let me meal prep for you. #757
https://t.co/SDT3rv6hi6 https://t.co/WnaBsbTEcJ"
['1597061704051200000'],2022-11-28T02:55:56.000Z,1597061704051200000,937230148201574400,en,"#757 
i’m taking orders for buddha bowls. 
i’m working on a new menu ✨ https://t.co/5pmWKdjuzd"
['1597061534882344960'],2022-11-28T02:55:16.000Z,1597061534882344960,937230148201574400,en,"book a reading w me. 
shop ebooks.
read the blog. 
https://t.co/SDT3ruPeg6 https://t.co/Mj3rO7aFJV"
['1597061330883616769'],2022-11-28T02:54:27.000Z,1597061330883616769,937230148201574400,en,"simple smoothie combos ebook 
https://t.co/SDT3rv6hi6 https://t.co/oGAUBKE1Ou"
['1597061107562459137'],2022-11-28T02:53:34.000Z,1597061107562459137,937230148201574400,en,"get my vegan pot roast recipe. 
https://t.co/SDT3ruPeg6 https://t.co/R2GfZ7rlR8"
