edit_history_tweet_ids,text,id,geo,created_at,author_id,lang
['1597023118958399488'],"Nine oil pastel by Sheila Tinkham nov 27,2022 https://t.co/ZNS7fFsPWy",1597023118958399488,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:22:37.000Z,2771164420,und
['1597022951286923264'],"8,oil pastel by Sheila Tinkham on nov 27,2022 https://t.co/25BkKT0z8N",1597022951286923264,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:21:57.000Z,2771164420,ht
['1597022752023928832'],"Alpha,omega,moi oil pastel by Sheila Tinkham nov 27,2022, 7 https://t.co/hTa1Ap4rSy",1597022752023928832,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:21:09.000Z,2771164420,ht
['1597022285902192640'],"6 alive oil pastel by Sheila Tinkham nov 27,2022 https://t.co/Tn1jFwgaQ6",1597022285902192640,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:19:18.000Z,2771164420,ht
['1597021963633008640'],"5 5 oil pastel nov 27,2022 by Sheila Tinkham https://t.co/DiqUWgdlY6",1597021963633008640,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:18:02.000Z,2771164420,und
['1597021483229913089'],"Face the world oil pastel by Sheila Tinkham nov 27,2022,5 https://t.co/VcJzmBKLxM",1597021483229913089,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:16:07.000Z,2771164420,en
['1597020756000792577'],"Three oil pastel by Sheila Tinkham nov 27,2022 https://t.co/5mbFZa2l6A",1597020756000792577,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:13:14.000Z,2771164420,en
['1597020578682003456'],"Two oil pastel by Sheila Tinkham nov 27,2022 https://t.co/qpf6keOAL7",1597020578682003456,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:12:31.000Z,2771164420,ht
['1597020137684717569'],One pastel oil by Sheila Tinkham https://t.co/3IizuE6Ksy,1597020137684717569,{'place_id': '3af2a75dbeb10500'},2022-11-28T00:10:46.000Z,2771164420,ht
['1597003313714958337'],@trinabatchelor1 Congratulations!,1597003313714958337,{'place_id': '3af2a75dbeb10500'},2022-11-27T23:03:55.000Z,2771164420,en
['1596962748130205696'],RT @walkdownman: @SheilaMTinkham ❤️,1596962748130205696,,2022-11-27T20:22:43.000Z,2771164420,und
['1596962712768110593'],"Colonial hills park today Nov 27,2022 https://t.co/wPNaxsSccj",1596962712768110593,{'place_id': '3af2a75dbeb10500'},2022-11-27T20:22:35.000Z,2771164420,en
['1596728848149843974'],"Flowers from Richard, my husband https://t.co/Qf2FdgBbVJ",1596728848149843974,{'place_id': '3af2a75dbeb10500'},2022-11-27T04:53:17.000Z,2771164420,en
['1596674304078331904'],RT @SheilaMTinkham: Happy Thanksgiving world one day late...my pilgrim turkey....native Americans helped pilgrims survive winter..Thanksgiv…,1596674304078331904,,2022-11-27T01:16:33.000Z,2771164420,en
['1596638858082504706'],Pioneers park https://t.co/21l5fVqO0z,1596638858082504706,{'place_id': 'ac9b9070f6d17a9a'},2022-11-26T22:55:42.000Z,2771164420,en
['1596638795499044864'],Sun https://t.co/mdTDiOc4zz,1596638795499044864,{'place_id': 'ac9b9070f6d17a9a'},2022-11-26T22:55:27.000Z,2771164420,und
['1596638748271587330'],Sky https://t.co/xW6s4awr2m,1596638748271587330,{'place_id': 'ac9b9070f6d17a9a'},2022-11-26T22:55:16.000Z,2771164420,und
['1596574484307136513'],Sky https://t.co/zieWgrAHjU,1596574484307136513,{'place_id': '3af2a75dbeb10500'},2022-11-26T18:39:54.000Z,2771164420,und
['1596574316920942593'],@SimonaMascaro @neblaruz @Nataliasoleluna @olli30b @old_marlet @TatiOlivier3 @albertopetro2 @RosannaAvella @ragazzadiperla @CLaRosa7 @robyeyli @user9870 @stefaniafaffi15 @sonlello @corinna_targi @zanzibardy @Vale22046 @Van_Loon_24 Grazia Simona https://t.co/PHqHwUI66q,1596574316920942593,{'place_id': '3af2a75dbeb10500'},2022-11-26T18:39:14.000Z,2771164420,it
['1596572371292368896'],Holmes lake3 https://t.co/yhr85frgcd,1596572371292368896,{'place_id': '3af2a75dbeb10500'},2022-11-26T18:31:30.000Z,2771164420,en
['1596572299846569984'],Holmes lake2 https://t.co/vo00T62wor,1596572299846569984,{'place_id': '3af2a75dbeb10500'},2022-11-26T18:31:13.000Z,2771164420,en
['1596572251851104256'],Holmes lake1 https://t.co/W0pmEhKb7D,1596572251851104256,{'place_id': '3af2a75dbeb10500'},2022-11-26T18:31:02.000Z,2771164420,en
['1596523979463741440'],RT @0vejer0: @SheilaMTinkham Un abrazo 🤗🤗🤗,1596523979463741440,,2022-11-26T15:19:13.000Z,2771164420,es
['1596341784488968195'],"@walkdownman I am the amalgamation of my choices,genes,luck, prayer and other people...",1596341784488968195,{'place_id': '3af2a75dbeb10500'},2022-11-26T03:15:14.000Z,2771164420,en
