text,created_at,lang,id,edit_history_tweet_ids,author_id
@5AINVIL Why you shaking your head?,2022-11-28T02:35:34.000Z,en,1597056575898005504,['1597056575898005504'],107169642
I love seeing a man show off his girl. Men usually be so damn sneaky it’s refreshing to see them do right 🥹,2022-11-28T02:35:06.000Z,en,1597056458281340928,['1597056458281340928'],107169642
@duuhk0ta @__illuminaTAY @redrumkass5 How?,2022-11-27T22:42:05.000Z,und,1596997817301889025,['1596997817301889025'],107169642
@__StevieD @ogbrylon LMFAO D you stupid but you not wrong 😂😂😂,2022-11-27T21:43:20.000Z,en,1596983033567268866,['1596983033567268866'],107169642
"@ogbrylon Jit was born two days ago, let his bones set 😂",2022-11-27T20:54:20.000Z,en,1596970703475335168,['1596970703475335168'],107169642
@CallMeBigCee So serious!,2022-11-27T20:24:44.000Z,en,1596963255419031552,['1596963255419031552'],107169642
The streets are a terrible place to be 🫤,2022-11-27T20:20:19.000Z,en,1596962142346805249,['1596962142346805249'],107169642
Ready for my husband to come and get me… like Fr,2022-11-27T20:19:01.000Z,en,1596961816512724992,['1596961816512724992'],107169642
My sister needs too much from me she needs to leave me alone. 🫤,2022-11-27T19:12:44.000Z,en,1596945133475598337,['1596945133475598337'],107169642
Yeah I’m not going out. I don’t have anything to wear and my legs hurt.,2022-11-27T17:44:18.000Z,en,1596922878456647683,['1596922878456647683'],107169642
I went way heavy on the calve raises and now I’m limping around like I’m 80 years old 🫤,2022-11-27T16:56:24.000Z,en,1596910823246819330,['1596910823246819330'],107169642
I look homeless but maybe i can run a couple errands and not be seen 😵‍💫,2022-11-27T16:40:56.000Z,en,1596906930739761152,['1596906930739761152'],107169642
@whoislik Lmao I’m talking shit 😂,2022-11-27T16:20:48.000Z,en,1596901866797137920,['1596901866797137920'],107169642
.5 cause i was sort of talking to someone but only for a little while so not even 1 Fr https://t.co/Gj0RykeeKS,2022-11-27T16:14:52.000Z,en,1596900372769288195,['1596900372769288195'],107169642
@whoislik You’re a man so yes.,2022-11-27T16:10:38.000Z,en,1596899307223142401,['1596899307223142401'],107169642
@SyxxDragon No worries 💗,2022-11-27T15:37:06.000Z,en,1596890868656803841,['1596890868656803841'],107169642
@marcjones91 Yes! That’s what I’m saying. Everything i type in is not giving me what i need lmao,2022-11-27T15:36:56.000Z,en,1596890827220918272,['1596890827220918272'],107169642
@DreStiles That’s not it lmao,2022-11-27T15:36:29.000Z,en,1596890711768838144,['1596890711768838144'],107169642
@marcjones91 I did! I typed in several different lyrics and it thinks I’m looking for porn!,2022-11-27T15:31:38.000Z,en,1596889492748894208,['1596889492748894208'],107169642
He be like “I’m so excited the way this girl is riding” and it’s old and i don’t think it’s on a regular music platform i had to listen on YT before.,2022-11-27T15:21:52.000Z,en,1596887033066422272,['1596887033066422272'],107169642
I think it’s called so excited but i forgot who it’s byyyy,2022-11-27T15:21:09.000Z,en,1596886854762385413,['1596886854762385413'],107169642
I can’t find this song for nothing in the worlddddd,2022-11-27T15:20:23.000Z,en,1596886660666593281,['1596886660666593281'],107169642
@whoislik Yikes,2022-11-27T15:10:28.000Z,en,1596884164892295176,['1596884164892295176'],107169642
@PINKnPATRON Oh wow you know i didn’t even think of it that way Fr but it makes sense. It’s a bad problem that a lot of people never even think about.,2022-11-27T15:09:33.000Z,en,1596883934272331778,['1596883934272331778'],107169642
@SyxxDragon Yeah it’s very dangerous! I hope that your relatives are getting the help they need and feeling better! 💗,2022-11-27T15:08:35.000Z,en,1596883692148097027,['1596883692148097027'],107169642
I don’t think people know that real deal alcoholics can die if they quit cold turkey,2022-11-27T13:53:26.000Z,en,1596864780576620544,['1596864780576620544'],107169642
I’ll never forget when i worked in behavioral health there was a guy going through alcohol withdrawal and the police officer and EMT were like he should just stop drinking he’ll be okay… like bro he could die without proper treatment.,2022-11-27T13:47:56.000Z,en,1596863396015591424,['1596863396015591424'],107169642
People are so weird! Like lives have and can be saved with it. https://t.co/ivHAOdFno1,2022-11-27T13:46:00.000Z,en,1596862907505344512,['1596862907505344512'],107169642
Following people or letting people trail you on a long distance trip&lt;&lt;&lt;&lt;,2022-11-27T13:24:34.000Z,en,1596857513898807301,['1596857513898807301'],107169642
Bruh my aunt killing me 😭,2022-11-27T13:17:13.000Z,en,1596855666886717441,['1596855666886717441'],107169642
🫤🫤🫤🫤,2022-11-27T11:25:51.000Z,art,1596827640400609282,['1596827640400609282'],107169642
Cause my blind ass wish i could go without them sometimes 😂 y’all wanna do it for fun i don’t get it. https://t.co/ergpQkPAjT,2022-11-27T03:02:49.000Z,en,1596701048097624064,['1596701048097624064'],107169642
I have nothing to wear anyways 😵‍💫😵‍💫😵‍💫😵‍💫,2022-11-27T01:50:12.000Z,en,1596682773347041283,['1596682773347041283'],107169642
Thinking of going out tomorrow but also i wanna just lay down and do nothing 😭,2022-11-27T01:47:38.000Z,en,1596682126224916480,['1596682126224916480'],107169642
This man always worried about where I’m at but i ain’t got my nail money yet… 🫠,2022-11-26T23:50:49.000Z,en,1596652727198953473,['1596652727198953473'],107169642
@JAILYNLASHON They’re doing pretty good. You know we wish y’all were here too! 💗,2022-11-26T21:39:35.000Z,en,1596619701194719234,['1596619701194719234'],107169642
RIP cousin Mike. Last time i saw you we had some crown and was getting together for grannies funeral.,2022-11-26T19:15:34.000Z,en,1596583458914340864,['1596583458914340864'],107169642
There’s more to life than what a lot of y’all be feigning for but that’s a topic for another day.,2022-11-26T18:18:52.000Z,en,1596569191481765889,['1596569191481765889'],107169642
@DreStiles 😂😂😂 like what a combo,2022-11-26T17:18:46.000Z,en,1596554067018407937,['1596554067018407937'],107169642
My brother eating Mac and cheese and sausage for breakfast lmao,2022-11-26T15:22:38.000Z,en,1596524838516297728,['1596524838516297728'],107169642
She said she was just trying to drop someone off 😂 the security said no ma’am I’m calling the cops lmao like why did you do that?,2022-11-26T13:57:37.000Z,en,1596503445670072321,['1596503445670072321'],107169642
Bro my older cousin told us about how she went to jail for going in the airport with her gun and home made knife and i DIEDDDD.,2022-11-26T13:55:44.000Z,en,1596502968777715716,['1596502968777715716'],107169642
@PUN_GOTALOTOFIT Lmao i swear man! Be in there with a pant suit on 😂,2022-11-26T13:53:56.000Z,en,1596502519798444033,['1596502519798444033'],107169642
BRUH IM SCREAMING https://t.co/4Eojz7mYGx,2022-11-26T02:21:05.000Z,en,1596328154737807362,['1596328154737807362'],107169642
I literally had on a bodycon and a blazer in the moon bout 10 years ago lmao https://t.co/qdghCEmGz6,2022-11-26T01:41:30.000Z,en,1596318194159222785,['1596318194159222785'],107169642
Half the house gators and half the house Seminoles 😭,2022-11-26T01:36:23.000Z,en,1596316905501265921,['1596316905501265921'],107169642
RT @Jadyboops: The way a America socialized it’s straight men makes them so terrifying and undesirable https://t.co/0AqEzUKUuA,2022-11-25T14:27:07.000Z,en,1596148479746867202,['1596148479746867202'],107169642
@DaOg_InEQ Nopeeeee lmaoooo,2022-11-25T14:18:01.000Z,ht,1596146191586172928,['1596146191586172928'],107169642
@DaOg_InEQ Excuse me?,2022-11-25T14:12:47.000Z,en,1596144874931224578,['1596144874931224578'],107169642
"@KillaNoEr Yes bae, send them over 😭💗",2022-11-25T14:10:36.000Z,en,1596144322407436288,['1596144322407436288'],107169642
😂😂😂 https://t.co/NNpgTRasmO,2022-11-25T12:22:47.000Z,art,1596117191233081345,['1596117191233081345'],107169642
