text,edit_history_tweet_ids,author_id,created_at,id,lang
RT @georgehahn: Greenwich Village.,['1597057609944571905'],149283816,2022-11-28T02:39:40.000Z,1597057609944571905,en
"RT @shannonrwatts: Without a real majority, we can't pass background checks, an assault weapon ban, or a federal red flag law. And the NRA…",['1597056838717280257'],149283816,2022-11-28T02:36:36.000Z,1597056838717280257,en
"RT @Victorshi2020: BREAKING: all polls have closed today in Georgia &amp; more than 87,000 people cast their ballots — bringing the total numbe…",['1597056382892535808'],149283816,2022-11-28T02:34:48.000Z,1597056382892535808,en
"RT @skylikeajedi: VP Harris’s Daily Guidance for Monday, November 28th. 🇺🇸

- back to D.C tomorrow. ✈️ https://t.co/Rss0ndiZIg",['1597056069255036928'],149283816,2022-11-28T02:33:33.000Z,1597056069255036928,en
"RT @DanaHoule: I wonder if someone in debt to Chinese investors, who’s told Taiwan it should be part of China, &amp; who desperately needs cars…",['1597055486439747584'],149283816,2022-11-28T02:31:14.000Z,1597055486439747584,en
"RT @POTUS: More Americans applied to start new small businesses last year than ever before.
 
We’re building an economy from the bottom up…",['1597054603585286144'],149283816,2022-11-28T02:27:43.000Z,1597054603585286144,en
RT @NBCS49ers: Jimmy G couldn't escape his postgame presser without being asked about his intercepted pass that was called back 🤣 https://t…,['1597052115456696321'],149283816,2022-11-28T02:17:50.000Z,1597052115456696321,en
RT @MotherJones: Oof https://t.co/7YpTVKFmqv,['1597051511237840897'],149283816,2022-11-28T02:15:26.000Z,1597051511237840897,und
RT @sfpelosi: Happy Bae Banking on this fine Sunday! Calls going strong for @ReverendWarnock #GApol https://t.co/NZzFsKSP1X,['1597050914279657472'],149283816,2022-11-28T02:13:04.000Z,1597050914279657472,en
"RT @sfchronicle: California's attorney general wants to target racial discrimination in health care, including through an investigation of…",['1597050703045763072'],149283816,2022-11-28T02:12:14.000Z,1597050703045763072,en
RT @maxschachter: .@POTUS @JoeBiden My family was deeply touch by your personal letter. We appreciate you taking the time to think about us…,['1597047238911348736'],149283816,2022-11-28T01:58:28.000Z,1597047238911348736,en
RT @ACKCurrent: They got their selfie 😂 https://t.co/CP5ubn21Xa,['1597046141958623232'],149283816,2022-11-28T01:54:06.000Z,1597046141958623232,en
RT @BillPascrell: 690 days ago insurrectionists ransacked the US Capitol and hours later 68% of House republicans voted to finish the riote…,['1597035107583336449'],149283816,2022-11-28T01:10:15.000Z,1597035107583336449,en
"RT @WhiteHouse: .@POTUS took on Big Pharma and won.

The Inflation Reduction Act:
- Caps annual out-of-pocket prescription drug costs at $2…",['1597034585304420353'],149283816,2022-11-28T01:08:11.000Z,1597034585304420353,en
"RT @JonBatiste: Jon Batiste to headline Biden’s first State Dinner 
https://t.co/BifHiG54hu https://t.co/q9mgrHy9Wa",['1597034495533731841'],149283816,2022-11-28T01:07:49.000Z,1597034495533731841,en
"RT @DemGovs: Wisconsin hadn’t elected a Democratic governor in a midterm with a Democratic president since 1962.

Gov. @Tony4WI changed tha…",['1597032429230780416'],149283816,2022-11-28T00:59:37.000Z,1597032429230780416,en
RT @LaleeIbssa: Senator Raphael Warnock walks to the polls to cast his vote in Georgia’s Senate runoff #gapol https://t.co/Jk4ShaccF9,['1597026133312425985'],149283816,2022-11-28T00:34:36.000Z,1597026133312425985,en
