lang,id,text,edit_history_tweet_ids,author_id,created_at,geo
en,1596963828549361664,@vikrantgupta73 @ImRaina Can you don’t show your ugly existence anywhere on social media Vikrant! What name…. VikRANT.. that is all you do😀😀,['1596963828549361664'],47050295,2022-11-27T20:27:01.000Z,
en,1596962353413001216,@patiabhi @Noor_Marriii You are the terrorist 🤨,['1596962353413001216'],47050295,2022-11-27T20:21:09.000Z,
en,1596962065431658498,@AakashKhamkar8 @KomalRa99000242 @Noor_Marriii Keep dreaming dreamer! Get one thing straight! Poor is something your country can’t hide from… sh*tting on roads when you can’t find toilets. So get that part right before giving another country a poor tag! 🤨,['1596962065431658498'],47050295,2022-11-27T20:20:01.000Z,
en,1595775228646342657,@SaniaaAshiq And you are the worst human being existed on this planet!!,['1595775228646342657'],47050295,2022-11-24T13:43:57.000Z,
en,1595396486698704896,"@Sportskeeda T20 World Cup 2022, directly flight to Mumbai! 🫣🫣🫣",['1595396486698704896'],47050295,2022-11-23T12:38:58.000Z,
tl,1595327683163930625,@TahirMughalPml2 Lanat ha teray mo per,['1595327683163930625'],47050295,2022-11-23T08:05:34.000Z,
tl,1595327680828043265,@RashidNasrulah Oy Nawaz sherif kay kutay tu be ha tweeter per? Abhi roz galian rassh nahi ahti!!,['1595327680828043265'],47050295,2022-11-23T08:05:33.000Z,
hi,1595308769277145088,@imdad_soomro Ya hotay han Harami teray jasey jin ki waja sy Allah ka azaab ahya hova Pakistan May! Taang teray I Dar be jaiy gi intazaar ker kutay kay bacchay,['1595308769277145088'],47050295,2022-11-23T06:50:24.000Z,
en,1595303996314775552,"@muftimenk Get over yourselfs the lot of you! There 10,000 other things more important that non of you would do properly like doing wadu before praying so stop this nonsense ridiculing Mufti Menk",['1595303996314775552'],47050295,2022-11-23T06:31:26.000Z,
ht,1594589995133636608,@TheRealPCB Kaptan be han drinks carry kernay kay liya,['1594589995133636608'],47050295,2022-11-21T07:14:15.000Z,
en,1594437826061697024,@IrfanPathan Over rated! I haven’t bowled to him yet!,['1594437826061697024'],47050295,2022-11-20T21:09:35.000Z,
en,1594437587157979136,@Sport360 @imVkohli @surya_14kumar @Jaspritbumrah93 @hardikpandya7 @lahoreqalandars @CPL @thehundred @BBL @thePSLt20 @SixersBBL They are not worth anything even if they are allowed!,['1594437587157979136'],47050295,2022-11-20T21:08:38.000Z,
en,1594437072986988544,@iShaheenAfridi Sub Kuch ho raha ha es kay saat! PCB need to take extreme care with this asset of Pakistan cricket. Play him in only few games to give him best chance to expand his career and better his return for Pakistan.,['1594437072986988544'],47050295,2022-11-20T21:06:36.000Z,
en,1594436533951811584,@FIFAWorldCup What has he done to his personality! He looks leader of LGBTI society,['1594436533951811584'],47050295,2022-11-20T21:04:27.000Z,
en,1594428154621280256,"@RehamKhan1 Keep on dreaming, no point regretting now, you had a chance to become wife of the great personality in islam/Pakistan but in return received humiliation and possible hell fire for your part in ill speaking about him. Now suffer to the max!",['1594428154621280256'],47050295,2022-11-20T20:31:09.000Z,
en,1593295089635274753,"@FrontlineKamran Absolutely, you are forgetting that one day you are going to die and Allah wrath is around the corner for you as well Insha’Allah for speaking ill about truth.",['1593295089635274753'],47050295,2022-11-17T17:28:46.000Z,
qme,1593128827416608769,@wasimakramlive @iamShaniera https://t.co/b2jJWkPsnK,['1593128827416608769'],47050295,2022-11-17T06:28:06.000Z,
es,1592589074065690625,@khan1_amber Humara lota!,['1592589074065690625'],47050295,2022-11-15T18:43:18.000Z,
en,1592588928946966528,@76Shadabkhan What an embarrassment you lot are!! Allah gave you a chance to reprieve after disastrous WC campaign but you couldn’t provide that effort after Allahs mercy on you guys. Off course there is always next time but the opportunity lost once again. Shame,['1592588928946966528'],47050295,2022-11-15T18:42:44.000Z,
in,1592449169578680323,@FrontlineKamran  Ek bara Harami ha tu!!🫵🫵🫵🫵,['1592449169578680323'],47050295,2022-11-15T09:27:22.000Z,
en,1592382559283216384,@FrontlineKamran You are cheap like a piece of metal! Shame on you for even brining your fellow Anchors dead pictures on screen. Don’t forget your end could be worse than this.,['1592382559283216384'],47050295,2022-11-15T05:02:41.000Z,
ur,1591652445100593155,"RT @siasatpk: عمران ریاض خان کی ارشد شریف کی والدہ سے ملاقات

#ArshadSharif  @ImranRiazKhan https://t.co/4dSGUp719e",['1591652445100593155'],47050295,2022-11-13T04:41:29.000Z,
en,1591598819787309057,@iihtishamm Drizzling right now to increase to rain this evening☹️,['1591598819787309057'],47050295,2022-11-13T01:08:23.000Z,{'place_id': '01864a8a64df9dc4'}
qme,1591428049790468096,#NewProfilePic https://t.co/CKw4GbDQKZ,['1591428049790468096'],47050295,2022-11-12T13:49:49.000Z,
in,1591351369847668736,"@SharwanIndian @YKhan143g @realshoaibmalik @JAfridi10 @KarachiKingsARY Abhy, Kuch kernay ko nahi ha tu glass lay or half fill ker or doub kay mar ja🤣🤣🤣",['1591351369847668736'],47050295,2022-11-12T08:45:07.000Z,
und,1591350932549210112,@YousafzaiAKhan @SharwanIndian @realshoaibmalik @JAfridi10 @KarachiKingsARY 👏👏👏,['1591350932549210112'],47050295,2022-11-12T08:43:22.000Z,
en,1591350778421444610,@SharwanIndian @realshoaibmalik @JAfridi10 @KarachiKingsARY Chouhan mean cheap! And that is what you are🤫,['1591350778421444610'],47050295,2022-11-12T08:42:46.000Z,
en,1591350613958283264,"@realshoaibmalik @JAfridi10 @KarachiKingsARY What about your home ending🤔🤔, unbelievable 😳😳",['1591350613958283264'],47050295,2022-11-12T08:42:06.000Z,
et,1591246517297639424,"@ImranRiazKhan Inna Lillahi wa inna ilayhi raji'un, the sneak is dead?",['1591246517297639424'],47050295,2022-11-12T01:48:28.000Z,
en,1591245649236070400,@AhsanBu16879337 @shoaib100mph Everyone sins at some point in their lives. The key is how soon he/she repents from these in indiscretions to come back in-line with their Religion.,['1591245649236070400'],47050295,2022-11-12T01:45:01.000Z,
en,1590959211672109059,"@NatashaOfficiaI Hot🤔, yes off course my eyes burning as I can’t fit all of this in my vision🫣🫣",['1590959211672109059'],47050295,2022-11-11T06:46:49.000Z,
ca,1590958905278234624,@NatashaOfficiaI Elephant similarities😩😩😩,['1590958905278234624'],47050295,2022-11-11T06:45:36.000Z,
en,1590950766055161858,@ISPRFanaccount You are the cause of this rift in Pakistan.,['1590950766055161858'],47050295,2022-11-11T06:13:15.000Z,
en,1590801909002428417,@Danishkhanktk2 Brilliant! The one getting smashed is Hardik Padeya,['1590801909002428417'],47050295,2022-11-10T20:21:45.000Z,
en,1590779666654441474,@ESPNcricinfo He blames bowlers when he failed again for the 5th time! He kept persisting with same 11 sort from DK change! Wonder why he is dumb captain than Kholi,['1590779666654441474'],47050295,2022-11-10T18:53:22.000Z,
in,1590778763880861696,@Rahulkumar938 @Sajid_Mohmand42 @IrfanPathan Tumara dum to nikal gia phir be🤫🤫🤫,['1590778763880861696'],47050295,2022-11-10T18:49:47.000Z,
en,1590778566262018048,@IrfanPathan There ain’t next time! Disgracefully smashed and put your egos and arrogance to dust🤨🤨🤨,['1590778566262018048'],47050295,2022-11-10T18:49:00.000Z,
en,1590778375769313281,@vikrantgupta73 @yuzi_chahal Your captai is a disgrace! Have not performed at all and made wrong decision. Ashwin does not come in at any cost but friendship considered over country by Rohit,['1590778375769313281'],47050295,2022-11-10T18:48:14.000Z,
en,1590778044410920963,@shauntait161 All these Indians wipe their backside crying wolf after another humiliation for being so arrogant,['1590778044410920963'],47050295,2022-11-10T18:46:55.000Z,
en,1590777891905998848,@SataMaulik @shauntait161 Keep crying you toilet less smelly disgraceful people,['1590777891905998848'],47050295,2022-11-10T18:46:19.000Z,
en,1590773745920389121,@mufaddal_vohra He can kiss good bye from the World Cup!😉😉😉,['1590773745920389121'],47050295,2022-11-10T18:29:50.000Z,
tl,1590682379559272448,@anupjadav @HaseebAh532024 @shoaib100mph @IrfanPathan Bye bye … ta ta Indian cricketers…,['1590682379559272448'],47050295,2022-11-10T12:26:47.000Z,
et,1590652941199085569,@IftiAhmed221 I bhai teri tu pathi hoi thee jub match tight tha,['1590652941199085569'],47050295,2022-11-10T10:29:48.000Z,
qme,1590652634851348481,@ImranKhanPTI https://t.co/PspkncJMin,['1590652634851348481'],47050295,2022-11-10T10:28:35.000Z,
in,1590238355702558722,@MHafeez22 Oya lota wapis pounch giya ha gher,['1590238355702558722'],47050295,2022-11-09T07:02:23.000Z,
tl,1590237549137920000,@SahhRishabh @ZAbbasOfficial Cheat Indian ka cheap tweet🫵🫵🫵,['1590237549137920000'],47050295,2022-11-09T06:59:11.000Z,
en,1590225841245818882,@azanahmad257 He’s writing flight number and gate number after Thursday embarrassing loss to England🤣🤣🤣🤣,['1590225841245818882'],47050295,2022-11-09T06:12:40.000Z,
en,1590084194205847552,@beastieboy07 He is fooling everyone. He knows he hasn’t performed and another failed looms so he fakes injury to sit out the game. Typical Indian tactics.,['1590084194205847552'],47050295,2022-11-08T20:49:48.000Z,
en,1590082817798860800,@SanjanaGanesan It will be another beautiful day tomorrow when England qualify for the final! Enjoy your flight back to Mumbai,['1590082817798860800'],47050295,2022-11-08T20:44:20.000Z,
en,1590082584289345536,@ColindAckermann @ESPNcricinfo @TheRealPCB @ICC This umpire has no merit to officiate in the SF. The most disgrace umpire in history of cricket. The selection is obviously endorsed by BCCI,['1590082584289345536'],47050295,2022-11-08T20:43:25.000Z,
en,1590081625123323904,"@lovepriit @cricketaakash 👏👏👏, Smelly basta*rd! Living abroad doesn’t change your status of stinking rat!",['1590081625123323904'],47050295,2022-11-08T20:39:36.000Z,
en,1590081325104795648,@cricketaakash Ready to fire the Indians top order back to dressing room🤣🤣🤣,['1590081325104795648'],47050295,2022-11-08T20:38:24.000Z,
en,1590081020480851969,@IrfanPathan @anussaeed1 @VirginAustralia I hope your whinge stops too after this tweet! You can relax after Thursday when you will board Air India back to Mumbai! 😒,['1590081020480851969'],47050295,2022-11-08T20:37:12.000Z,
en,1590080331805519873,"@IrfanPathan @VirginAustralia Who cares, lodge a complain and take a ticket like everyone.. this is not India and who gives a rats about your bag or your delayed flight.",['1590080331805519873'],47050295,2022-11-08T20:34:28.000Z,
tl,1590079584342794240,@Siddhartsays @EventHorizon49 @IrfanPathan @VirginAustralia What name@is Sid! Donkey! Kotay ki olaad apni Oaqat May rah!!,['1590079584342794240'],47050295,2022-11-08T20:31:29.000Z,
en,1589716043827904513,@MHafeez22 What humiliation! They didn’t make you stay for the finals! Shows your importance… NOT! 😩😩,['1589716043827904513'],47050295,2022-11-07T20:26:55.000Z,
en,1589713871170064384,"@ColindAckermann This means, one have his plan but Allah has a plan that outweighs anything on this planet and better then anyone can imagine.",['1589713871170064384'],47050295,2022-11-07T20:18:16.000Z,
en,1589524257704673283,@realshoaibmalik @BinancePk No one wants it stick up your b*m😀😀😀,['1589524257704673283'],47050295,2022-11-07T07:44:49.000Z,
tl,1589517366375124992,@venkateshprasad Bhagwa India ko be haria gi Thursday 😩😩😩,['1589517366375124992'],47050295,2022-11-07T07:17:26.000Z,
in,1589516935867568128,"@MohitRR19 @shamsi90 😩😩😩, Gandoo cheat ko kerta ha! Haram khor apni eyes or hearing check kerwa",['1589516935867568128'],47050295,2022-11-07T07:15:43.000Z,
en,1589516433469607943,@rubel34official Now you don’t start crying about this bench warmer,['1589516433469607943'],47050295,2022-11-07T07:13:44.000Z,
in,1589516148571504641,@MHafeez22 @iShaheenAfridi Oy lotay tu wahan be pounch giya ha? Sub say bara munafiq ha tu. Back bitting sneak!,['1589516148571504641'],47050295,2022-11-07T07:12:36.000Z,
in,1589515631921344512,@IftiAhmed221 @iShaheenAfridi @shani_official @iamharis63 Or run🫵 Kia kiya ha! Chawal he mari ha,['1589515631921344512'],47050295,2022-11-07T07:10:33.000Z,
en,1589515284687486976,"@KamiAkmal23 Congratulations ghuta, na apni koi kosish na qabaliat bus praying other teams to take you through! Lanat!",['1589515284687486976'],47050295,2022-11-07T07:09:10.000Z,
