created_at,text,lang,author_id,edit_history_tweet_ids,id,geo
2022-11-28T03:12:36.000Z,NEXT 24: It's going to be dreary once again tomorrow as a trailing cold front and upper level-low swing on through. Not much sun is on tap with breezy and slightly cooler temps. #pawx #weather https://t.co/COvCiS3LPw @wgal https://t.co/izNvV4TjTD,en,614817844,['1597065895305957376'],1597065895305957376,
2022-11-27T23:38:15.000Z,"T.J.'S #FORECAST: A storm system has been impacting the Valley throughout the day with showers and a few storms. It moves out tonight but we have more rain in store! When does our next storm system move in? Here's the latest!  #pawx #weather 
https://t.co/zKHD3u4p5S @WGAL https://t.co/M8yOTCT7uZ",en,614817844,['1597011952764702727'],1597011952764702727,
2022-11-27T20:21:57.000Z,GLOOMY SUNDAY: A potent storm system is impact the area with strong storms across the western reaches of the Commonwealth! A rumble of thunder or two is even possible across the Valley as the cold front moves eastward. Join us tonight! #pawx #weather https://t.co/XL4k3F3f2H @wgal https://t.co/mgUekSoVGz,en,614817844,['1596962555305627651'],1596962555305627651,
2022-11-27T04:00:06.000Z,RAIN MOVES IN: An area of low pressure progresses into the region tomorrow and it brings widespread rain. Some could be heavy. Don't forget the umbrella if you're heading out early on! #pawx #weather https://t.co/COvCiSkORw @WGAL https://t.co/xCFvFm9xym,en,614817844,['1596715461114155008'],1596715461114155008,
2022-11-26T23:39:16.000Z,"T.J.'S #FORECAST: After a gorgeous Saturday, changes are on tap tomorrow. A storm system moves in, bringing widespread rain and maybe some thunder. How long does the rain stick around and could we see more in the 10-Day? Tune in! #pawx #weather 
https://t.co/KyD9ZAnQIc @wgal https://t.co/RLNJREMwYg",en,614817844,['1596649823372976130'],1596649823372976130,
2022-11-26T21:10:33.000Z,QUIET EVENING: It's been a mild and pleasant Saturday thus far with temps warmer than where they were yesterday. Still may want a light jacket this evening as temps dip back into the 30s-40s. We'll time our next rain chance tonight! #pawx #weather https://t.co/COvCiSkORw @wgal https://t.co/CypOytsOXV,en,614817844,['1596612396893601792'],1596612396893601792,
2022-11-26T04:00:54.000Z,"If you're planning on getting out to put up the #christmasdecorations tomorrow, it's going to be great! We'll see plenty of sunshine with highs in the 50s! #holidayseason #HolidayGoTime #holidays #Christmas #christmas2022 #pawx #weather https://t.co/COvCiSkORw @wgal https://t.co/6VYB6ZcE8L",en,614817844,['1596353274180882432'],1596353274180882432,
2022-11-25T23:02:00.000Z,"T.J.'S #FORECAST: If you're out and about for #footballfriday, don't forget a jacket! High pressure builds tomorrow leading to more sun and mild temps. We're expecting another storm system to move in by Sunday! Tune in for details! #pawx #weather 
https://t.co/HaCMhtYqXc @wgal https://t.co/9eJdVBGoau",en,614817844,['1596278055001112577'],1596278055001112577,
2022-11-25T20:25:38.000Z,"CLOUDS DIMINISHING: We're still seeing some clouds out there but winds have taken over from the NW and now we're clearing some. That trend will continue through the evening! Tune in to see when more rain arrives at 4, 5, 6, 10, and 11! #pawx #weather https://t.co/COvCiS3LPw @WGAL https://t.co/kMeGEVLVSB",en,614817844,['1596238703047106560'],1596238703047106560,
2022-11-25T03:22:47.000Z,Here's our #BlackFriday #shopping #forecast! We'll have showers around early on with the rain exiting by early afternoon! Don't forget the umbrella if you're heading out. #pawx #weather https://t.co/COvCiS3dZY @WGAL https://t.co/kjZ4SFdmFa,en,614817844,['1595981296282501123'],1595981296282501123,
2022-11-24T23:33:09.000Z,@hrtfdguy @WGAL Awww!!! Thanks man! I really appreciate that!! :) Happy Thanksgiving!,en,614817844,['1595923508454096896'],1595923508454096896,
2022-11-24T23:02:28.000Z,RT @Ravens: Happy Thanksgiving to the Flock! https://t.co/dnkCBBJK1E,en,614817844,['1595915785062518785'],1595915785062518785,
2022-11-24T22:50:53.000Z,"T.J.'S #FORECAST: After a beautiful #Thanksgiving, we have a rain on the table for #BlackFriday. It's not going to be a washout but rain is likely if you're shopping early on. Don't forget the umbrella! Here's an hour-by-hour look! #pawx #weather 
https://t.co/eanuyUmwsk @wgal https://t.co/uL75CMkEu1",en,614817844,['1595912870977744897'],1595912870977744897,
2022-11-24T22:07:51.000Z,QUIET REST OF #THANKSGIVING: Conditions this evening look great with temps staying mild. Overnight is when we start to see changes as our next storm system moves in. We're tracking rain for #BlackFriday! We're live now until 6:30! #pawx #weather https://t.co/COvCiS3LPw @WGAL https://t.co/PwD7ZPupLs,en,614817844,['1595902039670018048'],1595902039670018048,
2022-11-24T18:49:26.000Z,Happy #Thanksgiving to you and yours!!! #thanksgivingday #thanksgivingdinner #thanksgiving2022 https://t.co/PokLgRvXKl,en,614817844,['1595852106560602113'],1595852106560602113,{'place_id': '0063eef2720c4104'}
2022-11-24T04:38:12.000Z,@millersvilleu Of course! Sorry I’m just seeing this!,en,614817844,['1595637887063789568'],1595637887063789568,{'place_id': 'dd9c503d6c35364b'}
2022-11-23T20:33:19.000Z,"A Air Quality Alert Warning has been issued for Lancaster, York, Dauphin, Cumberland, Lebanon until Nov 25 12:00AM. If you're sensitive to the air outdoors, limit or reduce outdoor activities if possible. Stay tuned to WGAL and https://t.co/XL4k3FkPUf for the latest. @WGAL https://t.co/MptczML6Vj",en,614817844,['1595515861212622848'],1595515861212622848,
2022-11-22T18:24:32.000Z,@millersvilleu @WGAL Hi there!!!! Yes of course! That would be amazing!!!,en,614817844,['1595121066703474689'],1595121066703474689,
