created_at,text,lang,author_id,edit_history_tweet_ids,id
2022-11-27T20:23:57.000Z,RT @MansurQr: @betterpakistan آپکا بھی ایک بندہ استعفٰی دے کر گیا ہے جسکا نام احمد جواد ہے ۔,ur,1101485903518859264,['1596963058181894145'],1596963058181894145
2022-11-27T20:21:40.000Z,RT @PakistanCheck: Former Interior Minister of Pakistan and an ally of former Prime Minister Imran Khan tweets a clip claiming to be a bird…,en,1101485903518859264,['1596962483864231937'],1596962483864231937
2022-11-27T20:21:26.000Z,RT @iqrarulhassan: ہم پاکستانی اور بھارتی بس سسٹم کا موازنہ کرتے تھے تو آپ ہمیں غدار کہتے تھے، ہماری گرفتاری کے ٹرینڈ چلائے جاتے تھے۔ آج آپ…,ur,1101485903518859264,['1596962425089425408'],1596962425089425408
2022-11-27T20:21:06.000Z,RT @CSMR786: واشل مراد سعید اب تک جو میڈیا میڈیا کھیل رہا ہے یہ اب مزید نہیں چلے گا کیونکہ اگلے پوری تیاری کر چکے ہیں ارشد شریف مرحوم کو پش…,ur,1101485903518859264,['1596962339903115265'],1596962339903115265
2022-11-27T20:20:11.000Z,RT @LegiMian: میجر دانش والا🙆🏻‍♂️🏃🏃🏃,fa,1101485903518859264,['1596962110608506880'],1596962110608506880
2022-11-27T20:19:52.000Z,RT @AminaZareen1: تحریک انصاف کسی کو کیا انصاف دلائے گی وہ تو خود جنسی زیادتی کا شکار پارٹی ہے۔,ur,1101485903518859264,['1596962030900027392'],1596962030900027392
2022-11-27T20:19:46.000Z,RT @graynics: The wait for Test Cricket is almost over... https://t.co/LaHbcgR1MO,en,1101485903518859264,['1596962002965917699'],1596962002965917699
2022-11-27T20:19:23.000Z,"RT @MansurQr: چوہدری پرویز الٰہی میاں صاحب کے ساتھ چلے مارشل لاء لگ گیا۔ میاں صاحب فارغ ہو گئے ۔
مشرف صاحب کے ساتھ تندہی سے چلے ۔ مشرف صاحب…",ur,1101485903518859264,['1596961905884925954'],1596961905884925954
2022-11-27T20:18:58.000Z,"RT @RehamKhan1: انتشار خان کہتے ہیں کہ یہاں غریب کے لیے اور قانون اور امیر کے لیے اور قانون ہے ویسے بات تو سچ ہے

یہاں عوام کے لیے لنگر خان…",ur,1101485903518859264,['1596961801115414528'],1596961801115414528
2022-11-27T20:18:51.000Z,RT @kabeerraja786: دھرنے پر جعلی حملہ کروایا سواتی ذریعے ڈراما رچایا اپنے لیڑے خود اتار کر ننگے ہوئے خود ہی ویڈیو بنائی اور خود ہی زیادتی ک…,ur,1101485903518859264,['1596961772971651073'],1596961772971651073
2022-11-27T20:18:28.000Z,RT @kabeerraja786: اور ناظرین اس وقت پاکستان میں 28 نومبر ہوچکی ہے دیہاڑا سوموار اور سرغی کا ٹائم ہونے والا ہے  جبکہ 16 نومبر کو ایک شخص نے…,ur,1101485903518859264,['1596961675298889731'],1596961675298889731
2022-11-27T19:19:41.000Z,RT @SajSadiqCricket: Absolutely brilliant performance from Morocco. Thoroughly deserved to win against Belgium. What a World Cup this has b…,en,1101485903518859264,['1596946882969817088'],1596946882969817088
2022-11-27T19:19:22.000Z,RT @MalikMahboobSul: نون لیگ کا سوشل میڈیا نہ تو پیڈ ورکر رکھتا ھے اور نہ إس کو میڈیا کمپنی رن کرتی ھے لیکن پھر بھی جو بہن بھائی اس فتنے کی…,ur,1101485903518859264,['1596946802309468160'],1596946802309468160
2022-11-27T19:17:59.000Z,RT @KhawajaMAsif: عمران خان اب نیا چورن بیچ رہا ھےکہ پنجاب اورKP میں اسمبلیاں تحلیل کرکے نۓ الیکشن میں5 سال کیلئے حکومتیں مل جائینگی اور قو…,ur,1101485903518859264,['1596946456099061761'],1596946456099061761
2022-11-27T19:16:56.000Z,RT @PRani_7: بابا جی کہہ رھے ھیں اس گشتی کی باتیں غور سے سنو اس کی شلوار سے تین گولیوں کے ساتھ ساتھ نو انچ لمبے کارتوس بھی نکلے ھیں,ur,1101485903518859264,['1596946191404580864'],1596946191404580864
2022-11-27T19:16:45.000Z,RT @IRhaKn: دوسرے کا دو من کا پلاسٹر اتر گیا لیکن اس بھائی کا سنی پلاسٹ اترنے کا نام نہیں لے رہا۔🤔 https://t.co/9eNNBhGXlH,ur,1101485903518859264,['1596946147230486529'],1596946147230486529
2022-11-27T19:15:44.000Z,RT @NawazshrifMNS: یہ تینوں میرے سیاست ختم کرنے نکلے تھے! https://t.co/DnUENKab7v,ur,1101485903518859264,['1596945889415041030'],1596945889415041030
2022-11-27T19:15:30.000Z,"RT @IrumRaufCh123: بخت کے تخت سے یکلخت اتارا ہوا شخص 
تو نے دیکھا ہے کبھی اس ذلت سےہارا ہوا شخص😏😒😳 https://t.co/G5GnmcnoNX",ur,1101485903518859264,['1596945832020152320'],1596945832020152320
2022-11-27T19:15:09.000Z,RT @itsmeSehrish: Me sitting in my room knowing Team England is in my city #PAKvENG https://t.co/d9MjU9nIT6,en,1101485903518859264,['1596945743381925888'],1596945743381925888
2022-11-27T19:15:01.000Z,"RT @grassrootscric: Mohammad Ali - The realization of a dream. ✨

#PAKvENG https://t.co/gP69CFvlkp",en,1101485903518859264,['1596945710544748544'],1596945710544748544
2022-11-27T19:12:24.000Z,RT @realrazidada: چین گزشتہ بائیس سال سے سنجرانی برادران کی مدد سے ، پاکستان کا سونا اور تانبہ سینڈک سے لوٹ کر لے جا رہاہے،کیامجال کہ وہاں…,ur,1101485903518859264,['1596945050801668096'],1596945050801668096
2022-11-27T19:12:07.000Z,RT @realrazidada: سنا ہے سوات سے نکلنے والا یاقوت دنیا میں مہنگا ترین بکتا ہے۔ یہ یہاں سے نکل کر افغانستان سمگل ہوتا ہے اور وہاں سے بھارت ج…,ur,1101485903518859264,['1596944979402051588'],1596944979402051588
2022-11-27T19:11:32.000Z,RT @Musskey: Dear Croatia please stop copying us 😏 https://t.co/plv7ABGKX8,en,1101485903518859264,['1596944834283335680'],1596944834283335680
2022-11-27T19:09:17.000Z,RT @SZSikandar: مرشد جاتے جاتے اپنا قیمتی گفٹ بھی لیے جاو۔ سر یہ رہا نیا پاکستان اور حقیقی آزادی اور انقلاب کا آخری متبرک ملبہ https://t.co…,ur,1101485903518859264,['1596944265221140480'],1596944265221140480
2022-11-27T19:09:10.000Z,RT @naddiyyaathar: میں، دھوپ اور میری پلیٹ💞 https://t.co/AtDFJ2cQrL,ur,1101485903518859264,['1596944234871156736'],1596944234871156736
2022-11-27T19:09:00.000Z,RT @iramkhan210: Hello from PAKISTAN 😁👋🏼🇵🇰,en,1101485903518859264,['1596944193582424064'],1596944193582424064
2022-11-27T19:08:40.000Z,"RT @PRani_7: جنہوں نے جیل میں مریم کے واشروم میں کیمرے لگانے کی کوشش کی تھی 
اللہ تعالیٰ نے انکی شلواریں اتروا کر انکی ویڈیوز فلمیں بھی بنو…",ur,1101485903518859264,['1596944112476778498'],1596944112476778498
2022-11-27T19:08:22.000Z,RT @AmirHQureshi: 14 مئی 1969 روزنامہ جنگ میں اتفاق فاوُنڈری کے نئے پروڈکٹ ویٹ تھریشر کا اشتہار- اس وقت اتفاق فاوُنڈری اسٹیل کیساتھ ڈیزل ان…,ur,1101485903518859264,['1596944037503983616'],1596944037503983616
2022-11-27T18:37:04.000Z,RT @LegiMian: بے فیض ہوتے ہی نیازی کی ساری پاپولیرٹی گٹر میں بہا دی گئ✌️ https://t.co/VioEIoMN8E,ur,1101485903518859264,['1596936159909019648'],1596936159909019648
