lang,text,edit_history_tweet_ids,created_at,author_id,id,geo
en,one person followed me // automatically checked by https://t.co/yjTYCCHSoG,['1597029640115081216'],2022-11-28T00:48:32.000Z,105910684,1597029640115081216,
en,When we get to the Redzone just kick the field goal on 1st and goal bro…might as well lol 😂 cuz we’re allergic to getting touchdowns #ravensflock,['1596962322257281025'],2022-11-27T20:21:02.000Z,105910684,1596962322257281025,{'place_id': '343ecdd7da8dfae0'}
en,Only team that uses a damn fullback like he’s a damn WR smh 🤦🏾‍♂️ shit retarded #Ravensflock,['1596951023070826497'],2022-11-27T19:36:08.000Z,105910684,1596951023070826497,{'place_id': '343ecdd7da8dfae0'}
en,Smart man lol https://t.co/6Up6vWOBgT,['1596754812011323392'],2022-11-27T06:36:28.000Z,105910684,1596754812011323392,{'place_id': 'e0060cda70f5f341'}
en,RT @Loccdawggg: Putting these on a cruise ship&gt;&gt;&gt;&gt;&gt;,['1596674586279841792'],2022-11-27T01:17:40.000Z,105910684,1596674586279841792,
en,RT @__iTweet__: @honorableplants @bakedinottawa Buddy slid off like  https://t.co/FjvrDJcHgN,['1596357253808160768'],2022-11-26T04:16:42.000Z,105910684,1596357253808160768,
en,RT @_KingArii: Y’all working today? That’s wild. https://t.co/UfeAtPjZDi,['1596219312368402435'],2022-11-25T19:08:35.000Z,105910684,1596219312368402435,
en,Refs be destroying the game https://t.co/Jpe5OlOW4w,['1596190026219802624'],2022-11-25T17:12:12.000Z,105910684,1596190026219802624,{'place_id': '343ecdd7da8dfae0'}
en,@VonRepsValley Bruh facts lol be lying for no reason,['1596176532111777793'],2022-11-25T16:18:35.000Z,105910684,1596176532111777793,{'place_id': '343ecdd7da8dfae0'}
en,2 people followed me and 3 people unfollowed me // automatically checked by https://t.co/yjTYCCZtNg,['1596163929897590787'],2022-11-25T15:28:30.000Z,105910684,1596163929897590787,
en,…… why do people exaggerate and just go overboard with telling stories,['1596023185203695616'],2022-11-25T06:09:14.000Z,105910684,1596023185203695616,{'place_id': '343ecdd7da8dfae0'}
und,RT @Forevercurlybri: ❤️. https://t.co/HvhNbukadh,['1596005671128162304'],2022-11-25T04:59:39.000Z,105910684,1596005671128162304,
en,Justin Jefferson is so 🔥,['1595989859084435456'],2022-11-25T03:56:49.000Z,105910684,1595989859084435456,{'place_id': '343ecdd7da8dfae0'}
en,RT @WrestleClips: Triple H’s return in 2002 at Madison Square Garden is still one of the best returns in wrestling ever. https://t.co/oGOvi…,['1595974518299729920'],2022-11-25T02:55:51.000Z,105910684,1595974518299729920,
en,RT @minakimes: “Turkey will be ready around 7” https://t.co/YAl4h6ogiE,['1595974443087826944'],2022-11-25T02:55:33.000Z,105910684,1595974443087826944,
en,Oh hell no lol https://t.co/DguMN2S9r3,['1595972785784094721'],2022-11-25T02:48:58.000Z,105910684,1595972785784094721,{'place_id': '343ecdd7da8dfae0'}
en,RT @ShannonSharpe: Giants ain’t ever winning anything with Jones as the QB. He’s a JAG aka just another guy.,['1595935314161373185'],2022-11-25T00:20:04.000Z,105910684,1595935314161373185,
en,Happy thanksgiving 🦃 https://t.co/EDGs4RFqb3 https://t.co/QaPaFRKITc,['1595914283254259714'],2022-11-24T22:56:30.000Z,105910684,1595914283254259714,{'place_id': '343ecdd7da8dfae0'}
en,@JLAVONINFINITE Lmao 🤣 he had to be,['1595897414677831685'],2022-11-24T21:49:28.000Z,105910684,1595897414677831685,{'place_id': '343ecdd7da8dfae0'}
en,That was too strong lol https://t.co/HlAtTvnfoy https://t.co/iuF2GFN7FB,['1595889414567239680'],2022-11-24T21:17:41.000Z,105910684,1595889414567239680,{'place_id': '343ecdd7da8dfae0'}
en,"RT @Ballislife: KYRIE: ""I don’t particularly celebrate Thanksgiving but anybody getting together with their families, blessings to all you…",['1595886019534262272'],2022-11-24T21:04:11.000Z,105910684,1595886019534262272,
en,RT @Zazamyodor: now do y’all see why men like women with natural faces,['1595820231846498305'],2022-11-24T16:42:46.000Z,105910684,1595820231846498305,
und,@arron_crascall 😂😂😂😂,['1595656866889175040'],2022-11-24T05:53:37.000Z,105910684,1595656866889175040,
en,RT @HoodieRamey: When Lamar Jackson is running all Ravens fans are nervous but this dude is laughing 😂https://t.co/1H1vQjuGK4,['1595615569029595136'],2022-11-24T03:09:31.000Z,105910684,1595615569029595136,
en,RT @DiscussingFilm: A new look at Penn Badgley in ‘YOU’ Season 4. https://t.co/IDdVHvyKpB,['1595614963191668737'],2022-11-24T03:07:06.000Z,105910684,1595614963191668737,
en,@moneymankev73 Facts lol 😂,['1595538591572459520'],2022-11-23T22:03:38.000Z,105910684,1595538591572459520,
en,She’s beautiful https://t.co/hNaNmHqUCM,['1595415335519326211'],2022-11-23T13:53:52.000Z,105910684,1595415335519326211,{'place_id': '3df4f427b5a60fea'}
en,"RT @lonerrgirlll: This new generation different, my dawg practicing committing a crime in broad daylight 🤔😭 https://t.co/F7D3ND8nlb",['1595414719510331392'],2022-11-23T13:51:25.000Z,105910684,1595414719510331392,
art,😂😂😂 https://t.co/smTk7814nk,['1595413810482929665'],2022-11-23T13:47:48.000Z,105910684,1595413810482929665,{'place_id': '3df4f427b5a60fea'}
en,one person followed me and one person unfollowed me // automatically checked by https://t.co/yjTYCCZtNg,['1595251917076271104'],2022-11-23T03:04:30.000Z,105910684,1595251917076271104,
en,RT @YannaGod: @domainsdomain @KaiCenat @bluefacebleedem @ChriseanMalone Kai when this was all over: https://t.co/fPyE1uM9Id,['1595214333654585345'],2022-11-23T00:35:09.000Z,105910684,1595214333654585345,
en,"RT @NFL_DovKleiman: Video: Nick Sirianni told #Colts fans “That sh*t was for Frank Reich!” after the #Eagles beat Indy.

https://t.co/npfRk…",['1595212590686539777'],2022-11-23T00:28:13.000Z,105910684,1595212590686539777,
en,"RT @PFF: The highest-graded safety in the NFL this season 

Kyle Hamilton 👀 https://t.co/vrGRDpfcHY",['1595205388558901248'],2022-11-22T23:59:36.000Z,105910684,1595205388558901248,
en,Stop playing https://t.co/QS69qOCCYa https://t.co/WguQz781ds,['1594924284081741825'],2022-11-22T05:22:36.000Z,105910684,1594924284081741825,{'place_id': '3df4f427b5a60fea'}
en,"RT @PFF: Marlon Humphrey in Week 11:

🔒 38 coverage snaps
🔒 0 catches allowed
🔒 1 INT
🔒 0.0 passer rating allowed https://t.co/2bgbgzOAec",['1594836483571175425'],2022-11-21T23:33:42.000Z,105910684,1594836483571175425,
en,@VonRepsValley I don’t think they gone make it either but I like his energy lol,['1594546499815358464'],2022-11-21T04:21:25.000Z,105910684,1594546499815358464,{'place_id': '3df4f427b5a60fea'}
en,Who is this…. https://t.co/QWLxONzi3L,['1594503826383462402'],2022-11-21T01:31:51.000Z,105910684,1594503826383462402,{'place_id': '3df4f427b5a60fea'}
en,RT @BornAKang: Bro just need to stay off her my goodness https://t.co/cMF2dJ4LTs,['1594498774768013313'],2022-11-21T01:11:46.000Z,105910684,1594498774768013313,
en,RT @HoodieRamey: Atmosphere at M&amp;T Bank is CRAZY https://t.co/LZKibGug6L,['1594496943786708992'],2022-11-21T01:04:30.000Z,105910684,1594496943786708992,
en,I love it!!!! https://t.co/324VTPCh52,['1594496889566957568'],2022-11-21T01:04:17.000Z,105910684,1594496889566957568,{'place_id': '3df4f427b5a60fea'}
en,"RT @gdowning14: “We still got a ways to go, buts it’s starting to look like we’re getting closer and closer to Ravens football.”

@marlon_h…",['1594496796457410560'],2022-11-21T01:03:55.000Z,105910684,1594496796457410560,
en,We all would’ve been running lol…I ain’t fighting off no hippo https://t.co/ZuxpmbQq51,['1594467174759792641'],2022-11-20T23:06:12.000Z,105910684,1594467174759792641,{'place_id': '3df4f427b5a60fea'}
en,Ramsey trippin on this play https://t.co/fViLEPrQil,['1594426567073087491'],2022-11-20T20:24:51.000Z,105910684,1594426567073087491,{'place_id': '3df4f427b5a60fea'}
en,@ryanmink What? Lol bruh ran untouched,['1594423117874876417'],2022-11-20T20:11:08.000Z,105910684,1594423117874876417,
en,"RT @speedfromtx_: How kids get faded these days, vs the haircuts we use to have to get…. https://t.co/LQ1YGFIBjZ",['1594410050361114627'],2022-11-20T19:19:13.000Z,105910684,1594410050361114627,
ht,RT @JustPhilly__: TL cleanse https://t.co/r8VtgQMQp1,['1594409698719158275'],2022-11-20T19:17:49.000Z,105910684,1594409698719158275,
en,Get them outta there lol they don’t wanna fight https://t.co/QGb4ecxLWp,['1594395116738936835'],2022-11-20T18:19:52.000Z,105910684,1594395116738936835,{'place_id': '3df4f427b5a60fea'}
en,RT @BornAKang: I wonder if everything is painted green .. https://t.co/xWMFB50hzx,['1594394650797694977'],2022-11-20T18:18:01.000Z,105910684,1594394650797694977,
qst,Lol 😂 https://t.co/rMANqaxT3F,['1594386432843517953'],2022-11-20T17:45:22.000Z,105910684,1594386432843517953,{'place_id': '3df4f427b5a60fea'}
en,RT @foxxybemine: still can’t believe michael’s perfectionist ass let this slide https://t.co/qUWBjelmec,['1594383092227231751'],2022-11-20T17:32:06.000Z,105910684,1594383092227231751,
en,I know they got roaches https://t.co/fhW5YFy7v1,['1594382627221422080'],2022-11-20T17:30:15.000Z,105910684,1594382627221422080,{'place_id': '3df4f427b5a60fea'}
ht,Lmao 🤣 https://t.co/pTNOhsZ5zu,['1594382477040226305'],2022-11-20T17:29:39.000Z,105910684,1594382477040226305,{'place_id': '3df4f427b5a60fea'}
en,RT @Ravens: Here we goooo 😈 https://t.co/jxMBXHNmak,['1594378535396835331'],2022-11-20T17:13:59.000Z,105910684,1594378535396835331,
en,@flaminhotjeeto Lol 😂 fr! This ain’t right!,['1594126811524464640'],2022-11-20T00:33:43.000Z,105910684,1594126811524464640,{'place_id': '3df4f427b5a60fea'}
qst,*go,['1594125415165181952'],2022-11-20T00:28:11.000Z,105910684,1594125415165181952,{'place_id': '3df4f427b5a60fea'}
en,This damn daylight savings shit gotta do man….6:25pm looking like 9:25pm,['1594124894375026690'],2022-11-20T00:26:06.000Z,105910684,1594124894375026690,{'place_id': '3df4f427b5a60fea'}
en,RT @Deion_Slanders: I can't visually/mentally process that someone is putting Thriller in 4K https://t.co/XW7HPTAYCJ,['1594093518179684352'],2022-11-19T22:21:26.000Z,105910684,1594093518179684352,
en,RT @MathisReports: This is dope. Tyreek is a cool guy. 💪🏼 https://t.co/P92gvf8GE1,['1593821314917220354'],2022-11-19T04:19:47.000Z,105910684,1593821314917220354,
en,RT @xkingdomi: that hawk ain’t never seen no mess like this before https://t.co/d0Z845EQDB,['1593820434922934274'],2022-11-19T04:16:18.000Z,105910684,1593820434922934274,
en,"RT @sgellison: They tried to feed Jalen Ramsey the answer for most talented QB. “Mahomes! Mahomes!”

Ramsey: “Mahomes like that, but I ain’…",['1593716531154006016'],2022-11-18T21:23:25.000Z,105910684,1593716531154006016,
en,RT @BarkyBoogz: The walk telling us everything we need to know. 🔥🔥🔥🔥,['1593531055285456900'],2022-11-18T09:06:24.000Z,105910684,1593531055285456900,
