id,edit_history_tweet_ids,created_at,author_id,text,lang,geo
1597031838064615424,['1597031838064615424'],2022-11-28T00:57:16.000Z,260571026,WFH is for washed up elder millenials https://t.co/EGds7hjJUh,en,
1596968848196268032,['1596968848196268032'],2022-11-27T20:46:58.000Z,260571026,@JonahA59 @jongeeting 39 units it seems https://t.co/egOozQmmFY,en,{'place_id': 'e4a0d228eb6be76b'}
1596968142819164162,['1596968142819164162'],2022-11-27T20:44:10.000Z,260571026,"Good trend- shift from shopping to entertainment, center city is the entertainment hub of the region. Sixers arena replacing the gallery fits into this pattern https://t.co/Vxa1fbEhzd",en,{'place_id': 'e4a0d228eb6be76b'}
1596962468030730240,['1596962468030730240'],2022-11-27T20:21:37.000Z,260571026,"As far as downtowns go, we seem to be handling the hybrid work situation as well as anyone..",en,
1596962067319119873,['1596962067319119873'],2022-11-27T20:20:01.000Z,260571026,"Interesting report, we're at 77% of 2019 foot traffic and steadily improving. More greater center city residents than pre-pandemic with 6,000+ units under construction. https://t.co/PBd4hs8irQ",en,
1596958341716058112,['1596958341716058112'],2022-11-27T20:05:13.000Z,260571026,"@MarketUrbanism rough looking facade, they need a sidewalk shed!",en,
1596951831070273536,['1596951831070273536'],2022-11-27T19:39:21.000Z,260571026,This place sounds really cool https://t.co/bFfv5TdTz0,en,
1596902029250945024,['1596902029250945024'],2022-11-27T16:21:27.000Z,260571026,@zucchinispread @PhillyCrimeUpd Yeah East Passyunk is definitely isolated from the big problems for some reason. I moved here from society hill and think this area feels even safer. Wish the rest of the city was doing as well..,en,{'place_id': 'e4a0d228eb6be76b'}
1596898236878401536,['1596898236878401536'],2022-11-27T16:06:23.000Z,260571026,This kid will save temple football https://t.co/KYPZSxIKkh,en,
1596884812588978176,['1596884812588978176'],2022-11-27T15:13:02.000Z,260571026,@therealZackKatz @PhillyCrimeUpd This is why I stay home…,en,{'place_id': 'e4a0d228eb6be76b'}
1596884186769784833,['1596884186769784833'],2022-11-27T15:10:33.000Z,260571026,@PhillyCrimeUpd Wow we need more details on the broad and locust incident,en,{'place_id': 'e4a0d228eb6be76b'}
1596871846737379328,['1596871846737379328'],2022-11-27T14:21:31.000Z,260571026,@mcryan09 Ha that does make sense,en,{'place_id': 'e4a0d228eb6be76b'}
1596869898751602688,['1596869898751602688'],2022-11-27T14:13:46.000Z,260571026,@Ya_Ali03 Oh yeah some definitely do but it’s not like advertised on a big sign like nyc,en,{'place_id': 'e4a0d228eb6be76b'}
1596865287437324294,['1596865287437324294'],2022-11-27T13:55:27.000Z,260571026,@mattyglesias They apparently have big NIMBY problems in Ireland,en,{'place_id': 'e4a0d228eb6be76b'}
1596863691244589057,['1596863691244589057'],2022-11-27T13:49:06.000Z,260571026,"@JonahA59 Nice, I have Lithuania and Ukraine too. The Lithuania one (right outside Kaunas) I’d definitely like to check out one day. It all just seems pretty morbid after reading about what happened in these towns…",en,{'place_id': 'e4a0d228eb6be76b'}
