created_at,lang,edit_history_tweet_ids,id,text,author_id
2022-11-28T04:15:45.000Z,en,['1597081788991639553'],1597081788991639553,"Ukraine, partners launch $150 mln grain export plan to help vulnerable nations https://t.co/MaXom3xQC3",1561288285460123648
2022-11-28T04:10:33.000Z,de,['1597080481321078785'],1597080481321078785,ZEIT ONLINE | Lesen Sie https://t.co/GYrOdJQFU4 mit Werbung oder im PUR-Abo. Sie haben die Wahl. https://t.co/KbYbChJWZi,1561288285460123648
2022-11-28T04:09:16.000Z,en,['1597080158854213632'],1597080158854213632,Asian Markets A Sea Of Red https://t.co/2mF1pZIiki,1561288285460123648
2022-11-28T04:03:27.000Z,en,['1597078694727929857'],1597078694727929857,Top tech gifts and tips for the 2022 holiday season https://t.co/m24AgQSuDq,1561288285460123648
2022-11-28T04:02:17.000Z,en,['1597078399687610369'],1597078399687610369,Bolivia’s key farming hub ends strike as lawmakers back census https://t.co/3InDPOj68f,1561288285460123648
2022-11-28T03:56:45.000Z,en,['1597077008705626112'],1597077008705626112,Jets make right call with Mike White https://t.co/aM58nMZ3fG,1561288285460123648
2022-11-28T03:55:57.000Z,en,['1597076807119155200'],1597076807119155200,"China sells 39,995 tonnes of wheat at reserve auction – trade center https://t.co/q75HBLN8Hr",1561288285460123648
2022-11-28T03:50:53.000Z,en,['1597075532767805441'],1597075532767805441,"Amid Layoffs, IT Companies Lead In Market Capitalisation Addition https://t.co/xqeb1uptqA",1561288285460123648
2022-11-28T03:50:14.000Z,en,['1597075369101869056'],1597075369101869056,Former U.K. minister seeks redemption on reality TV show https://t.co/3o30eigLLT,1561288285460123648
2022-11-28T03:49:01.000Z,en,['1597075062183452673'],1597075062183452673,Indonesia extends loan relief for some pandemic-hit sectors https://t.co/1HlJQEMvo3,1561288285460123648
2022-11-28T03:44:26.000Z,en,['1597073909651804160'],1597073909651804160,American Yeon-Su Kim dead after sea kayaking in Mexico; husband missing https://t.co/lIe9YSg0ZO,1561288285460123648
2022-11-28T03:43:15.000Z,en,['1597073610015117312'],1597073610015117312,METALS-Base metals fall amid China COVID protests https://t.co/pBV86qAyZL,1561288285460123648
2022-11-28T03:38:59.000Z,en,['1597072534763339776'],1597072534763339776,"Housing Sales in Gurugram Jump Over 3-fold to 24,482 Units During January-September https://t.co/pSSKjGQCho",1561288285460123648
2022-11-28T03:38:09.000Z,en,['1597072327757287425'],1597072327757287425,"Plane caught in power lines after crash in U.S., crews work to rescue 2 occupants https://t.co/I0ifpuPiq3",1561288285460123648
2022-11-28T03:36:01.000Z,en,['1597071791129825280'],1597071791129825280,10 hot housing markets for home buyers in 2023 https://t.co/x0RKPhpKfI,1561288285460123648
2022-11-28T03:34:46.000Z,en,['1597071473662779392'],1597071473662779392,"World Cup recap, Day 8: Morocco beats Belgium, Germany still in | Qatar World Cup 2022 https://t.co/NYIcC1Mes1",1561288285460123648
