created_at,lang,edit_history_tweet_ids,id,text,author_id
2022-11-28T01:18:15.000Z,und,['1597037118597238785'],1597037118597238785,RT @Seahawks: 🙅‍♂️🙅‍♂️🙅‍♂️,1689236964
2022-11-28T01:18:10.000Z,en,['1597037099663777792'],1597037099663777792,RT @Seahawks: Final. https://t.co/36egyT1k21,1689236964
2022-11-28T01:18:06.000Z,en,['1597037080265510912'],1597037080265510912,RT @Seahawks: LIVE: Pete Carroll and the team speak to the media  https://t.co/nFOq841DRd,1689236964
2022-11-28T01:17:07.000Z,en,['1597036836035395587'],1597036836035395587,RT @RamsNFL: Only way to stop him. https://t.co/bQPllZUcCb,1689236964
2022-11-28T01:16:28.000Z,en,['1597036669089161216'],1597036669089161216,RT @49ers: Nick Bosa with the sack! @nbsmallerbear https://t.co/XWbSGetY20,1689236964
2022-11-28T01:16:11.000Z,en,['1597036600806223872'],1597036600806223872,"RT @49ers: NOT TODAY‼️ @nbsmallerbear

📺 : #NOvsSF on FOX
📱: Stream on NFL+ https://t.co/A5h1KDwsVi",1689236964
2022-11-28T01:16:07.000Z,en,['1597036581868929025'],1597036581868929025,RT @49ers: Shutout the Saints! https://t.co/q8SR4nNWNG,1689236964
2022-11-28T01:16:02.000Z,en,['1597036562281562112'],1597036562281562112,RT @49ers: That’s a W baby! https://t.co/OftUM9axtS,1689236964
2022-11-28T01:15:57.000Z,en,['1597036541024444417'],1597036541024444417,"RT @49ers: Niners win! Shout out to the Faithful, we love y’all. #FTTB https://t.co/zvJZ3J5GcN",1689236964
2022-11-28T01:15:52.000Z,en,['1597036519910682625'],1597036519910682625,"RT @NFL: The @49ers defense:

❌ 94 straight game minutes of shutout defense
❌ Four straight games with 2nd-half shutouts

Unreal. 😤 https:/…",1689236964
2022-11-28T01:15:49.000Z,en,['1597036505658105858'],1597036505658105858,RT @49ers: Hear from Kyle Shanahan following the Week 12 shutout against the Saints.  https://t.co/3bP1dS3P11,1689236964
2022-11-28T01:15:39.000Z,en,['1597036467322507265'],1597036467322507265,"RT @49ers: Hear from Jimmy Garoppolo, Fred Warner and other members of the 49ers following the Week 12 victory against the Saints.  https:/…",1689236964
2022-11-28T01:15:34.000Z,en,['1597036446288089088'],1597036446288089088,RT @49ers: Saint Nick delivers early 🎁 https://t.co/gRjuQYNcHn,1689236964
2022-11-28T01:15:18.000Z,en,['1597036376721018880'],1597036376721018880,"RT @AZCardinals: Down he goes 😤

@TheZALLEN44 x #BirdCityFootball https://t.co/pvOVURUX13",1689236964
2022-11-28T01:15:10.000Z,en,['1597036345393696768'],1597036345393696768,RT @AZCardinals: ZAYYY SIIMMMONNNSS IS A DOG😤,1689236964
2022-11-28T01:15:05.000Z,en,['1597036323613073408'],1597036323613073408,"RT @AZCardinals: they won't let us have good things.

After further review the ruling on the field is an incomplete pass.",1689236964
