id,author_id,created_at,text,edit_history_tweet_ids,lang
1597081231417839616,364309971,2022-11-28T04:13:32.000Z,@mehdirhasan Happened on your watch gaslighter,['1597081231417839616'],en
1597024367397187584,364309971,2022-11-28T00:27:35.000Z,"@FoxNews If you continue with never Trump, you may as well vote for this man again.",['1597024367397187584'],en
1597019959145922561,364309971,2022-11-28T00:10:04.000Z,@TPostMillennial @Sotacor I just lost some IQ points while watching that,['1597019959145922561'],en
1597018657980579840,364309971,2022-11-28T00:04:53.000Z,@Cmb30550583 @AVindman @SacierP Surely you understand that some people won't change. This email isn't related to Twitter. I just don't see why this is @elonmusk fault.,['1597018657980579840'],en
1597017183473000449,364309971,2022-11-27T23:59:02.000Z,@AVindman You had sex? 😆 🤣 😂,['1597017183473000449'],en
1597016903100551168,364309971,2022-11-27T23:57:55.000Z,@AVindman @realDonaldTrump @kanyewest @elonmusk @SenateGOP @HouseGOP This looks pretty long for a tweet. Seems you are the one sharing this. You are a known liar. Under oath. Did you report this to Twitter? Did you ask @elonmusk to fix it?,['1597016903100551168'],en
1597015459362398208,364309971,2022-11-27T23:52:11.000Z,@kylenabecker @Sotacor Brazil leading the world alongside the people of China. 🙏🙏🙏🙏,['1597015459362398208'],en
1597014254950809601,364309971,2022-11-27T23:47:24.000Z,"This is why Shapiro is pushing the never again Trymp agenda. Seems DeSantis may be going all in after all. I don't have anything against DeSantis but this seems back stabby to me. Perhaps this is the reason Trump called him DeSanctimonious 😆 🤣 😂 

GAME ON! #TRUMP24",['1597014254950809601'],en
1597013070114873345,364309971,2022-11-27T23:42:41.000Z,I fucki g knew it! https://t.co/B9kmIFN6wq,['1597013070114873345'],en
1597012326565412864,364309971,2022-11-27T23:39:44.000Z,@RicardoHardy10 @ConservCavalry We need this here,['1597012326565412864'],en
1597010917710962688,364309971,2022-11-27T23:34:08.000Z,"@karen_half 🤔

😆",['1597010917710962688'],und
1597010096856260608,364309971,2022-11-27T23:30:52.000Z,@karen_half Shotgun,['1597010096856260608'],en
1597004908628103168,364309971,2022-11-27T23:10:15.000Z,@RosannaM1970 @ConservCavalry He's a marshmallow head 😆,['1597004908628103168'],en
1596994846094688256,364309971,2022-11-27T22:30:16.000Z,"@laurenboebert Thud is great, but while the gop looks back, the left is always looking ahead. Fix voting in America.",['1596994846094688256'],en
1596985226458464256,364309971,2022-11-27T21:52:03.000Z,@lordbuckly The 2 men in the picture are close friends.,['1596985226458464256'],en
1596966436609863681,364309971,2022-11-27T20:37:23.000Z,"RT @Alyssa_Milano: 4 people you'd want to have dinner with? Dead or alive. Mine? Jesus, Roberto Clemente, john lennon, Elon Musk.",['1596966436609863681'],en
1596966245433503746,364309971,2022-11-27T20:36:37.000Z,RT @RealOmarNavarro: Trump would not have morally and ethically been able to pardon anyone from Jan 6 because he did not have all of the fa…,['1596966245433503746'],en
1596965730435887105,364309971,2022-11-27T20:34:34.000Z,@RepJerryNadler 💩 👖,['1596965730435887105'],und
1596963997844062210,364309971,2022-11-27T20:27:41.000Z,Yup https://t.co/kww0jHBhBF,['1596963997844062210'],qst
1596963291238084610,364309971,2022-11-27T20:24:53.000Z,@BoSnerdley Division is their goal folks. Focus on what's right.,['1596963291238084610'],en
1596963098149421056,364309971,2022-11-27T20:24:07.000Z,"This is true. The establishment gop rinos want this instead of Trump and America first. 

I do not see that DeSantis has said 1 way or the other but the rinos love him. If he wins the nomination I would vote for him but until then, I am for Trump. https://t.co/rAg3g4vIfY",['1596963098149421056'],en
1596961060720103425,364309971,2022-11-27T20:16:01.000Z,@CO420Loiterer @robbystarbuck @hodgetwins Why do you want to send your money to Ukraine while this country is dying?,['1596961060720103425'],en
1596959850117795840,364309971,2022-11-27T20:11:13.000Z,Yup https://t.co/ZWmtcLI71b,['1596959850117795840'],qst
1596958441809276928,364309971,2022-11-27T20:05:37.000Z,@ToscaAusten @ZekeGary2 They also unite behind their cause. Something the right could stand to learn. The division now in the conservative  party is stupid and non productive 🙄,['1596958441809276928'],en
1596957166652780544,364309971,2022-11-27T20:00:33.000Z,RT @SteveInmanUIC: Crazy week of videos.  Here's the Top 5 from this week. https://t.co/1Kxe577StC,['1596957166652780544'],en
1596956014511026177,364309971,2022-11-27T19:55:58.000Z,@Mandyc28 @RealBrysonGray Yet here you are skank.,['1596956014511026177'],en
1596954183877693441,364309971,2022-11-27T19:48:42.000Z,@RealBrysonGray You're anti Trump dude. You're pushing the Ryan Rino agenda. MSM. I said what I said.,['1596954183877693441'],en
1596953466672648192,364309971,2022-11-27T19:45:51.000Z,@RealBrysonGray I'm done with your bullshit. Believe what you want.  Seems you're here to divide. MSM style.,['1596953466672648192'],en
1596950515031871488,364309971,2022-11-27T19:34:07.000Z,"@jakeshieldsajj He can't pardon unless he is a sitting potus. 

Man. Cmon. You just lost another one. I never saw you as a never Trumper but I was wrong.",['1596950515031871488'],en
1596943051385376768,364309971,2022-11-27T19:04:27.000Z,"@JackPosobiec Patriots in fighting will end us all. Your fame comes from us. Stop.
Now.",['1596943051385376768'],en
1596937931482337280,364309971,2022-11-27T18:44:07.000Z,@BoSnerdley @MailOnline https://t.co/4mgrNYqVwb,['1596937931482337280'],qme
1596936382953705472,364309971,2022-11-27T18:37:57.000Z,@swan_vly Bravo,['1596936382953705472'],pt
1596935342480773121,364309971,2022-11-27T18:33:49.000Z,"@GottaChangeIt @elonmusk @neontaster Blue hair, blank stare.",['1596935342480773121'],en
1596933680743976961,364309971,2022-11-27T18:27:13.000Z,@davidcoverdale Dad joke rating: A+ 😆,['1596933680743976961'],en
1596931735119273984,364309971,2022-11-27T18:19:29.000Z,@nypost This man is a useless rino. He does not represent conservatives.,['1596931735119273984'],en
1596929561006333954,364309971,2022-11-27T18:10:51.000Z,@jones_ampdogggg @MiloD07 @ReverendWarnock @HerschelWalker Warnock hates whitey. Do you? Kind of a deal breaker for me. Also how can a man of God be pro abortion? Also Warnock had his chance. Instead he chose to follow Biden instead of leading for GA. These reasons are why I would never vote for him.,['1596929561006333954'],en
1596735714066137088,364309971,2022-11-27T05:20:34.000Z,RT @Braveheart_USA: Do we need change?  Do we keep or….,['1596735714066137088'],en
1596735518183927808,364309971,2022-11-27T05:19:48.000Z,RT @atensnut: It’s like Zelensky calls Joe…. then walks into the US Treasury pushing a wheelbarrow and loads up anytime he feels like it.…,['1596735518183927808'],en
1596734635299737602,364309971,2022-11-27T05:16:17.000Z,@SophiaKianni I am a 50 yr old professional in the US. Why should I listen to a child?,['1596734635299737602'],en
1596733058820222976,364309971,2022-11-27T05:10:01.000Z,RT @EricMMatheny: The GOP spends too much complaining about how unfair the game is instead of learning how to play it better than the oppos…,['1596733058820222976'],en
1596733035168550913,364309971,2022-11-27T05:09:56.000Z,@EricMMatheny 🎯 🎯 🎯 🎯 🎯,['1596733035168550913'],und
1596731974030602240,364309971,2022-11-27T05:05:43.000Z,@KimDotcom @jacksfriend25 Their leader is a thief. The majority of the USA know this because he is stealing from us with the help of our president. Get it right. You're accusing 500 million people for the crimes of a few in the government.,['1596731974030602240'],en
1596730567294586881,364309971,2022-11-27T05:00:07.000Z,@AnnLesbyPhD My favorite AnnLesby,['1596730567294586881'],en
1596729446765154304,364309971,2022-11-27T04:55:40.000Z,RT @Guiller25944118: @SenWarren https://t.co/QNZMKHzhIU,['1596729446765154304'],qme
1596728441948471296,364309971,2022-11-27T04:51:40.000Z,@TimRunsHisMouth @Patriot2Nurse Fitting,['1596728441948471296'],en
1596727958739091456,364309971,2022-11-27T04:49:45.000Z,@jakeshieldsajj There was no bail for j6 prisoners. Wtf r you talking about bro.,['1596727958739091456'],en
1596727658120851457,364309971,2022-11-27T04:48:34.000Z,@EliLake @RonColeman You're coming around. Bravo.,['1596727658120851457'],en
1596726620177715207,364309971,2022-11-27T04:44:26.000Z,"@Edro721 @MajorMizako @Timcast What a digit. For the dumocrats  in the back, all child abuse of any kind is bad and should be called out. 

If you have any form of this that you support then you're complicit.",['1596726620177715207'],en
1596725566010322944,364309971,2022-11-27T04:40:15.000Z,@james_rustling @jeffklein99 @BrandonLBradfor @Timcast I'm sorry You shall be named groomer's support team.,['1596725566010322944'],en
1596725112350576640,364309971,2022-11-27T04:38:27.000Z,"@jeffklein99 @BrandonLBradfor @Timcast If you're shaking your junk at a child, you're  a pedophile and a groomer. Deal.",['1596725112350576640'],en
1596724747517427712,364309971,2022-11-27T04:37:00.000Z,@Timcast @JardineKari The 2 were not related per evidence.,['1596724747517427712'],en
1596719492184166401,364309971,2022-11-27T04:16:07.000Z,RT @coffee_anytime: https://t.co/pN7r1aniHA,['1596719492184166401'],zxx
1596719178362552322,364309971,2022-11-27T04:14:52.000Z,@Momma_JJ @ReelzChannel @OfficialOPLive U r my people,['1596719178362552322'],en
1596713253748772864,364309971,2022-11-27T03:51:19.000Z,@zestyfights White girl getting gang whipped cuz she white. Mlk would be proud af.,['1596713253748772864'],en
1596704118084714496,364309971,2022-11-27T03:15:01.000Z,RT @uncensoredpromo: I’m to high for this  https://t.co/5Zc08XkgEx,['1596704118084714496'],en
1596703840472268802,364309971,2022-11-27T03:13:55.000Z,@uncensoredpromo 🐐,['1596703840472268802'],und
1596699494074048512,364309971,2022-11-27T02:56:39.000Z,@uncensoredpromo Hari duche,['1596699494074048512'],in
1596694415674060800,364309971,2022-11-27T02:36:28.000Z,@ALiferGaDawg Loving this 😆,['1596694415674060800'],en
1596693478305542144,364309971,2022-11-27T02:32:45.000Z,@elonmusk @realGeorgeHotz I truly like the way you think. Optimism rewarded with truth. Good shite man 😆,['1596693478305542144'],en
1596693036276518913,364309971,2022-11-27T02:30:59.000Z,"RT @EndWokeness: BREAKING: Trump eulogized a KKK leader and called him a mentor

Just kidding, that was Joe Biden at KKK Robert Byrd’s fune…",['1596693036276518913'],en
