created_at,text,lang,author_id,edit_history_tweet_ids,id,withheld
2022-11-27T23:59:27.000Z,RT @BangBussin: Jazmine Cashmere - Mone Divine https://t.co/TUrWZe35F2,ro,1013570805840666624,['1597017289945395200'],1597017289945395200,
2022-11-27T23:59:19.000Z,RT @Naaydabaddie: Really shouldn't be doing this right now but I had some casamigos &amp; I'm ready to be fucked 💦😩 https://t.co/1q0xewXC3n,en,1013570805840666624,['1597017256642240512'],1597017256642240512,
2022-11-27T23:59:11.000Z,"RT @itsbigmiina: Go Crazy thread: @yannahthefreak

Drop em  https://t.co/zX9YJKeSnK",en,1013570805840666624,['1597017223180476416'],1597017223180476416,
2022-11-27T23:59:07.000Z,RT @BumbleLinkup: https://t.co/1W7CPVUUu4,zxx,1013570805840666624,['1597017204557762560'],1597017204557762560,
2022-11-27T23:59:04.000Z,"RT @lethalthroat: Go crazy thread: @princesacairo

Drop em https://t.co/T36hGyNvOJ",en,1013570805840666624,['1597017192272318465'],1597017192272318465,
2022-11-27T23:59:02.000Z,"RT @KrackinasssKeyy: All Porn Thread: @whopperrme  

Retweet &amp; Drop Em!⬇️

 https://t.co/xEoONql40P",en,1013570805840666624,['1597017183573643264'],1597017183573643264,
2022-11-27T23:58:57.000Z,RT @Checklikess: https://t.co/8G31tRkctO,zxx,1013570805840666624,['1597017163843637248'],1597017163843637248,
2022-11-27T23:58:53.000Z,RT @BangBussin: His dick real good but it ain’t better than his friends 😮‍💨 https://t.co/47yNw5OAhS,en,1013570805840666624,['1597017146177236992'],1597017146177236992,
2022-11-27T23:58:50.000Z,RT @Max83917366: https://t.co/UCe1LbwKBZ,zxx,1013570805840666624,['1597017133585924096'],1597017133585924096,
2022-11-27T23:58:47.000Z,RT @OFsFreak2: https://t.co/CSiLkW61gW,zxx,1013570805840666624,['1597017120466173954'],1597017120466173954,
2022-11-27T23:58:42.000Z,RT @Checklikess: https://t.co/XNKsX0DdgP,zxx,1013570805840666624,['1597017101541158912'],1597017101541158912,
2022-11-27T23:58:40.000Z,RT @Tnder4Sex: Maserati - Prince Yahshua https://t.co/qanKYEqcQA,hi,1013570805840666624,['1597017090145124353'],1597017090145124353,
2022-11-27T23:58:24.000Z,"RT @SinForRansom: Share my girl with anybody , who next 😋😋💦😮‍💨 https://t.co/yXO0zuMS7a for more 😏💎 https://t.co/HgEgbIwLFM",en,1013570805840666624,['1597017023078608896'],1597017023078608896,
2022-11-27T23:58:20.000Z,RT @blacknutlover: Dangerous 🥵🍼💦💦 https://t.co/rkmPYLBPOc,fr,1013570805840666624,['1597017008348205057'],1597017008348205057,
2022-11-27T23:58:16.000Z,RT @INTERIORHUB3: I’ll never leave. https://t.co/NKDdIssNtC,en,1013570805840666624,['1597016993126752257'],1597016993126752257,
2022-11-27T20:23:09.000Z,RT @webkakez: Can you cum back to back ? https://t.co/5iSOVK8kW1,en,1013570805840666624,['1596962853982199808'],1596962853982199808,
2022-11-27T20:23:03.000Z,RT @INTERIORHUB3: https://t.co/F977JVTb40,zxx,1013570805840666624,['1596962830041112577'],1596962830041112577,
2022-11-27T20:22:58.000Z,RT @The_RUGRAT13: he sold them a fake tv 💀                                #fights #knockout #schoolfight #hood #hoodlyfights #hoodfights #s…,en,1013570805840666624,['1596962810256273408'],1596962810256273408,
2022-11-27T20:22:51.000Z,RT @BumbleLinkup: https://t.co/KXUFlB0T2z,zxx,1013570805840666624,['1596962780053385216'],1596962780053385216,
2022-11-27T20:22:48.000Z,RT @theyluvvleila: ur shy gf says hey ☺️ https://t.co/rh9MRMRQrM,en,1013570805840666624,['1596962767147536384'],1596962767147536384,
2022-11-27T20:22:44.000Z,RT @BangBussin: Mariah Kakes - Rock The Icon https://t.co/XlrQqD24aC,en,1013570805840666624,['1596962751951560705'],1596962751951560705,
2022-11-27T20:22:23.000Z,"RT @itspuregolden_: can I send you nudes like this?😋
https://t.co/NgzvhUtzVK https://t.co/HBRHJFFKfl",en,1013570805840666624,['1596962664445784064'],1596962664445784064,
2022-11-27T20:22:19.000Z,RT @BumbleLinkup: https://t.co/DAmofnAfZC,zxx,1013570805840666624,['1596962646682521601'],1596962646682521601,
2022-11-27T20:22:12.000Z,RT @Kardiier6: That time I threw up on the dick 🤮😭AND KEPT GOIN 😮‍💨 https://t.co/nzpt8dxstm,en,1013570805840666624,['1596962616781729793'],1596962616781729793,
2022-11-27T20:22:10.000Z,RT @Tnder4Sex: Princess treatment + Disrespectful sex &gt; https://t.co/D3N1k2iZYc,en,1013570805840666624,['1596962606673461248'],1596962606673461248,
2022-11-27T20:22:08.000Z,RT @Interiorvilla1: Perfect house. https://t.co/VveOW7XVu5,en,1013570805840666624,['1596962597521149953'],1596962597521149953,
2022-11-27T20:22:04.000Z,RT @CoolViews_: Monaco https://t.co/8a5tuWlTg3,es,1013570805840666624,['1596962582044499968'],1596962582044499968,
2022-11-27T20:21:14.000Z,RT @Mik_iva_: https://t.co/ER4mzmycmN,zxx,1013570805840666624,['1596962373080088577'],1596962373080088577,
