id,edit_history_tweet_ids,created_at,author_id,text,lang,geo
1596989973546561536,['1596989973546561536'],2022-11-27T22:10:54.000Z,67343155,Going to dig into some Cab Francs soon 😉🍷  - Oh and the one on the left is Cab Franc.. #chateauduhureau #arnotroberts #napavalley #loirevalleywine https://t.co/ERL06gOQHt,en,
1596971595087560704,['1596971595087560704'],2022-11-27T20:57:53.000Z,67343155,Cheers 🍷 https://t.co/kdsr9Zivtt,en,
1596971455203643393,['1596971455203643393'],2022-11-27T20:57:19.000Z,67343155,Just posted a photo https://t.co/moHqRdfK02,en,
1596962601740939264,['1596962601740939264'],2022-11-27T20:22:09.000Z,67343155,"Happy Sunday Funday from the Windy Oaks Estate Tasting Room @windy_oaks_estate_cv in the Carmel Valley Village! Back for a limited time, the Sparkling Albariño is here! Come visit and grab some while you can! ☀️🥂☀️🥂☀️ https://t.co/8QeF9Q2QAr",en,"{'coordinates': {'type': 'Point', 'coordinates': [-121.72908432, 36.47757385]}, 'place_id': '3497281ae68b5e95'}"
1596928852860997638,['1596928852860997638'],2022-11-27T18:08:02.000Z,67343155,Winning! https://t.co/6FkKEyPq61,en,
1596927700903419908,['1596927700903419908'],2022-11-27T18:03:28.000Z,67343155,pretty obvious that ;-) https://t.co/y3UNrWc9PS,en,
1596927065454153729,['1596927065454153729'],2022-11-27T18:00:56.000Z,67343155,Just posted a photo https://t.co/sMKHZ5aKCa,en,
1596913429779980288,['1596913429779980288'],2022-11-27T17:06:45.000Z,67343155,"Good morning ☀️ ☕️ - Happy Sunday! @ Carmel Valley, California https://t.co/LWvbGFTlhp",en,"{'coordinates': {'type': 'Point', 'coordinates': [-121.73773, 36.48274]}, 'place_id': '3497281ae68b5e95'}"
1596911974440652800,['1596911974440652800'],2022-11-27T17:00:58.000Z,67343155,"@grapelive Wine of the Day: 2019 Laura Lorenzo – Daterra Viticultores, Tabernario, Vino Tinto, VdT Val do Bibei, Spain. @SpainFoodWineUS @DATERRA_ @lauradaterra 93+ Points ""A lovely  Mencia based red from the talented Laura Lorenzo in the Ribeira Sacra!""
https://t.co/1dUXzDgXN5 https://t.co/7q0jZHhARh",en,
1596615759270408192,['1596615759270408192'],2022-11-26T21:23:55.000Z,67343155,"Pretty obvious why, as Chinese, Saudi and Russian bots, and fake accounts don’t buy sh@t… https://t.co/UKrpQxB18H",en,
1596610484509110273,['1596610484509110273'],2022-11-26T21:02:57.000Z,67343155,Runs the fourth largest economy on the planet. 🤘 https://t.co/rMLs2mWaY7,en,
1596609741119053826,['1596609741119053826'],2022-11-26T21:00:00.000Z,67343155,"Nope, everything will be fine once Britain votes out all the Tories https://t.co/7P7BfQ4lIR",en,
1596609398402846721,['1596609398402846721'],2022-11-26T20:58:38.000Z,67343155,Pass the sunscreen 🧴 https://t.co/wCYZGs03zV,en,
1596608611546906624,['1596608611546906624'],2022-11-26T20:55:31.000Z,67343155,Lawyers need to be disbarred for taking cases like this. https://t.co/unXiiG6Os2,en,
1596588235064414208,['1596588235064414208'],2022-11-26T19:34:33.000Z,67343155,Happy Saturday! We are debuting our first Estate Sparkling Rosé of Pinot Noir this weekend at Windy Oaks and I have it open here at the @windy_oaks_estate_cv Tasting Room in the Carmel Valley Village! https://t.co/bzUf1RYnAH,en,"{'coordinates': {'type': 'Point', 'coordinates': [-121.72908432, 36.47757385]}, 'place_id': '3497281ae68b5e95'}"
1596568632909242371,['1596568632909242371'],2022-11-26T18:16:39.000Z,67343155,Just posted a photo https://t.co/Xbpy3DNBDp,en,
1596554183171112960,['1596554183171112960'],2022-11-26T17:19:14.000Z,67343155,"@grapelive Wine of the Day: nv Alvear, Pedro Ximénez, Solera 1927, Sweet Sherry Wine, Montilla-Moriles, Spain @SherryWinesUS @SpainFoodWineUS 96 Points ""A gorgeous &amp; deep sweet PX sherry from Alvear, one of the wine world's most underrated experiences!""
https://t.co/95dfcK7iry https://t.co/WHwPO2bXof",en,
1596536265633337344,['1596536265633337344'],2022-11-26T16:08:02.000Z,67343155,Go Blue https://t.co/vu8YnMKAUo,en,
1596536057776214016,['1596536057776214016'],2022-11-26T16:07:13.000Z,67343155,I am on it! Just about to post about a fabulous PX by Alvear! https://t.co/4h3sYK4qvL,en,
1596534562837843970,['1596534562837843970'],2022-11-26T16:01:16.000Z,67343155,We do what we can 😉 https://t.co/G90gI8xIqq,en,
1596533534771904513,['1596533534771904513'],2022-11-26T15:57:11.000Z,67343155,Sarcasm? https://t.co/lsCkMbmbUq,es,
1596529972511842306,['1596529972511842306'],2022-11-26T15:43:02.000Z,67343155,Cheers 🥂 https://t.co/uhnpOEjtbm,en,
1596372431895408647,['1596372431895408647'],2022-11-26T05:17:01.000Z,67343155,❤️👍🏻 https://t.co/igSVwQFyjS,art,
