id,author_id,created_at,text,edit_history_tweet_ids,lang,withheld
1597076805134843905,4074998777,2022-11-28T03:55:57.000Z,RT @CHGHULAMHUSAlN: رول آف لاء کا نیا عالمی ریکارڈ بن رہا ہے، نشانے پر ایک 75 سالہ سینیٹرہے، ایک ہی الزام میں درجنوں ایف آئی آر درج، کیونکہ…,['1597076805134843905'],ur,
1597064467526733824,4074998777,2022-11-28T03:06:55.000Z,RT @realpakaffairs: جنرل عاصم منیر کو جنرل باجوہ کی پرانی GHQ اور ISI کی ٹیم کو تبدیل کرنا ہوگا اور اپنی نئی ٹیم سے کام کرانا ہوگا، تب جاکر…,['1597064467526733824'],ur,
1597063631690031104,4074998777,2022-11-28T03:03:36.000Z,"RT @SdqJaan: آپ ایسی حکومت چھوڑ کیوں نہیں دیتے؟
آپ روز شہباز شریف حکومت پر وار کرتے ہیں اور آپ اس اقتدار کے حصہ دار اور بینیفشری بھی ہیں.
ک…",['1597063631690031104'],ur,
1597062284198940672,4074998777,2022-11-28T02:58:15.000Z,@MansurQr Wohe munafqat or jhoot koot koot k Bhara hai ....awaam Chor or bhagaroo ko pehchaan chuki hai,['1597062284198940672'],hi,
1596994273815465984,4074998777,2022-11-27T22:28:00.000Z,RT @khurram143: ایک شخص، ایک دن، ایک صوبہ اور 35 کے قریب مقدمات، سندھ میں ریکارڈ بن رہا ہے، انسانی حقوق کا پرچار کرنے والی پیپلزپارٹی ایوار…,['1596994273815465984'],ur,
1596993067575554048,4074998777,2022-11-27T22:23:12.000Z,"@ishaq_raza @Shiffa_ZY Dr Ishaq this is routine in developed countries but we shamefully do such things rarely as death is routine  in our hospitals  but developed countries investigate why patient died in hospital
So bro , shamefully it's a big news for us 
We are low at moral values",['1596993067575554048'],en,
1596991519956664322,4074998777,2022-11-27T22:17:03.000Z,RT @MuradSaeedPTI: https://t.co/zUqMPXZDBT,['1596991519956664322'],zxx,
1596991401224736771,4074998777,2022-11-27T22:16:35.000Z,"RT @balochi5252: لو جنرل صاحب یہ اعتبار رہ گیا اپکا۔
عمران ریاض ناٹ کمنگ سلو۔ https://t.co/LqIq95hmN7",['1596991401224736771'],ur,
1596990726465761280,4074998777,2022-11-27T22:13:54.000Z,RT @iRaiSaqib: محسن داوڑ کا کہنا تھا کہ کاؤنٹر پر پہنچا تو بتایا گیا کہ نام ای سی ایل میں ہے، میں نے بتایا کہ کابینہ نے میرا نام ای سی ایل…,['1596990726465761280'],ur,
1596990526565232640,4074998777,2022-11-27T22:13:06.000Z,"RT @Xadeejournalist: FIA again arrests Senator Swati for ‘highly obnoxious’ tweets against military officials. This is #fascism
https://t.c…",['1596990526565232640'],en,
