edit_history_tweet_ids,text,id,created_at,author_id,lang,geo
['1597008120181850112'],"@SmithysTP @TransGirlEm To be fair ARTS are usually pretty good with us, they listen to feedback and as a result most timings round here are pretty spot on",1597008120181850112,2022-11-27T23:23:01.000Z,44103022,en,
['1597006207340142592'],@_Alpha_Delta Is that Newcastle? Certainly looks like it,1597006207340142592,2022-11-27T23:15:25.000Z,44103022,en,
['1596996350574759937'],@busnutolly @arrivanortheast Yeah as long as it’s mostly working then some tweaks here and there will get it perfect,1596996350574759937,2022-11-27T22:36:15.000Z,44103022,en,
['1596994974830432257'],"@busnutolly @arrivanortheast Ah right that’s better then… at least they’ve sorted it but even so, someone should have seen that coming surely!",1596994974830432257,2022-11-27T22:30:47.000Z,44103022,en,
['1596993756942675968'],"@busnutolly @arrivanortheast Wow you had time for a photo stop?! 👋
I’ve heard they’re a bit… err… optimistically timed",1596993756942675968,2022-11-27T22:25:57.000Z,44103022,en,
['1596993185284177920'],"@SnrPolitoHolt @arrivanortheast Yeah they were. All of Stockton’s have been done, I think they’re upto 4 at Redcar complete now",1596993185284177920,2022-11-27T22:23:40.000Z,44103022,en,
['1596992400391479296'],@SnrPolitoHolt @arrivanortheast Retrimmed inside and repainted outside! https://t.co/qwkknHVWsB,1596992400391479296,2022-11-27T22:20:33.000Z,44103022,en,
['1596991439220580352'],"Last leg now with @arrivanortheast taking me home on route 63… 2210 departure from Middlesbrough.
Nothing more frustrating than drivers pulling on stand late and leaving even later for no reason. 
Still it’s a refurbished Streetlite which actually looks smart inside! https://t.co/bk1jf2Szwn",1596991439220580352,2022-11-27T22:16:44.000Z,44103022,en,{'place_id': '2dc53e413a6cbcd8'}
['1596976665951113216'],"Top advice from Scottie here!
Start doing things for yourself and taking time out… do something you love ❤️ https://t.co/wfgpl8DsPU",1596976665951113216,2022-11-27T21:18:02.000Z,44103022,en,{'place_id': '67bc7263f7b9047b'}
['1596966664117309442'],Heading south with @gonortheast on the last X10 of the day. Pretty well loaded for this time on a Sunday night! Great value fare too… just £2.30 after 7pm all the way to Middlesbrough 😍 https://t.co/KsUrf7rbVj,1596966664117309442,2022-11-27T20:38:17.000Z,44103022,en,{'place_id': '67bc7263f7b9047b'}
['1596962049296171008'],Well I missed my planned Metro by about 3 minutes thanks to the late arrival 😢 caught the 1909 instead into town… Newcastle looking all festive! Gave me chance to get some tea before travelling onwards… https://t.co/OX9JmedJnF,1596962049296171008,2022-11-27T20:19:57.000Z,44103022,en,{'place_id': '100b272c02934631'}
['1596961641848897536'],"@ROBBIE4560 @NCLairport @Ryanair Have you seen the Airport prices 😬
I’ll stick to my £10 journey home even if it is a long one 😅",1596961641848897536,2022-11-27T20:18:20.000Z,44103022,en,
['1596949372050501632'],Back in the freezing cold UK @NCLairport thanks for a great flight back @Ryanair - sadly the hour late departure means a much longer journey home than planned for me. Going to be a late one getting home! https://t.co/HDCqlKf1P9,1596949372050501632,2022-11-27T19:29:34.000Z,44103022,en,{'place_id': '6dd4aeb802da9f28'}
['1596871829742063616'],Time to start the journey home with @Ryanair taking me back to Newcastle this afternoon on #FR7489 - glad to see this has the older seats in… sadly our slot sees us departing nearly an hour late today! https://t.co/QOV8BixDou,1596871829742063616,2022-11-27T14:21:27.000Z,44103022,en,{'place_id': 'c7884399e24c3aba'}
['1596863495605481472'],A good example of Ryanair #boardingnotboarding… extreme edition. Aircraft hasn’t even landed and we’re ‘ready to go’ 🙄 @paul_winginit https://t.co/lSq1ChBMwk,1596863495605481472,2022-11-27T13:48:20.000Z,44103022,en,{'place_id': 'c7884399e24c3aba'}
['1596863175710109701'],@d754771 24 here ☀️,1596863175710109701,2022-11-27T13:47:04.000Z,44103022,en,
['1596862999997784064'],"@busdriver_kenny 🤣🤣 I could just imagine someone turning up wanting a ticket to city and err… it’s already gone, half hour early 🤫",1596862999997784064,2022-11-27T13:46:22.000Z,44103022,en,
['1596858512130572298'],@busdriver_kenny Ah that’s alright then 😅,1596858512130572298,2022-11-27T13:28:32.000Z,44103022,en,
['1596854235509006336'],@busdriver_kenny Wow you’ve done well 😂 do you have to sit and wait the time out given you’ve got nobody booked?,1596854235509006336,2022-11-27T13:11:32.000Z,44103022,en,
['1596853655474704387'],Now back @Aeropuerto_FUE for my flight back home… all come to an end so quickly but it’s been a lovely weekend! The local bus cost €1.40 (flat fare) from Caleta - limited schedule on a Sunday but if you can make it work then it’s far cheaper than a taxi! https://t.co/4UBouo5AgY,1596853655474704387,2022-11-27T13:09:14.000Z,44103022,en,{'place_id': 'c7884399e24c3aba'}
['1596852831545225218'],"So lovely to wake up to sun &amp; warmth this morning ☀️ Went for a chill on the beach, had a wander around the Marina and then back to the hotel pool for the last hour 😍 https://t.co/XriJYg6DVt",1596852831545225218,2022-11-27T13:05:57.000Z,44103022,en,{'place_id': 'c7884399e24c3aba'}
['1596845591270543361'],@liv_rayment Good old ALX400s! All the same,1596845591270543361,2022-11-27T12:37:11.000Z,44103022,en,
['1596811710819897344'],@msando50 @Bibbyscoaches @setcarrailway @foscl @DalesBus @DiscoverCarlisl @VisitSkipton Half the vehicles they are using these days aren’t even PSVAR either 🙄,1596811710819897344,2022-11-27T10:22:33.000Z,44103022,en,
['1596777198857646081'],@busdriver_kenny Where was that at? 😡,1596777198857646081,2022-11-27T08:05:25.000Z,44103022,en,
['1596594401505030144'],"So lovely to have some chill time in the sun this afternoon, complimented with a beautiful Canarian sunset! #Fuerteventura #chilltime https://t.co/hdJ7KXuhWR",1596594401505030144,2022-11-26T19:59:03.000Z,44103022,en,{'place_id': '26f22fbfeb45b520'}
['1596554002514477057'],"Jet2 have such a strong brand - their red is very distinctive and is very visible everywhere they go… they know their brand and their product and do it very well indeed! 
Probably one of the strongest brands in the UK travel industry right now 👌❤️
Many of us could learn a lot! https://t.co/57yBEEG9m8",1596554002514477057,2022-11-26T17:18:31.000Z,44103022,en,{'place_id': '26f22fbfeb45b520'}
['1596553431971414022'],@ROBBIE4560 @jet2tweets Yeah wey I’m back at work Monday morning 😂,1596553431971414022,2022-11-26T17:16:15.000Z,44103022,en,
['1596511461488074754'],"Landed safely in Fuerteventura after a great flight down with @jet2tweets - full of holidaymakers wanting to grab some winter sun! 
Here for around 24 hours to grab some sun myself before heading home tomorrow afternoon ☀️ https://t.co/Lk0Svi3Jkp",1596511461488074754,2022-11-26T14:29:28.000Z,44103022,en,{'place_id': 'c7884399e24c3aba'}
['1596443270971883522'],Off with @jet2tweets to Fuerteventura this morning on #LS909 - sadly not a 757 today but A321 G-HLYA taking me towards the sun! ☀️ https://t.co/a4RsTNdxki,1596443270971883522,2022-11-26T09:58:30.000Z,44103022,en,{'place_id': '315b740b108481f6'}
['1596430682129039362'],Here’s a Manchester version of #boardingnotboarding for @paul_winginit - stood on the stairs 🤣 https://t.co/4jFAA6fQJB,1596430682129039362,2022-11-26T09:08:29.000Z,44103022,en,{'place_id': '315b740b108481f6'}
['1596427003200258049'],@murphtothesky @manairport Welcome to ye olde gate 203… 🙄 https://t.co/0SGqrO6bRK,1596427003200258049,2022-11-26T08:53:52.000Z,44103022,en,
['1596419890939891712'],"@murphtothesky @manairport I’ll be heading down there in a bit no doubt 😅 you could tell the old bit as soon as you come in from the station on landside, scaffolding everywhere",1596419890939891712,2022-11-26T08:25:36.000Z,44103022,en,
['1596419293285330947'],"The new Terminal 2 @manairport is very nice, I have to say. About time the North’s premier airport had something to be proud of! 
Only criticism is a lack of seating space airside… it’s full this morning so I dread to think what a summer morning is like! https://t.co/cLP7ex2S8Y",1596419293285330947,2022-11-26T08:23:14.000Z,44103022,en,{'place_id': '315b740b108481f6'}
['1596417573603708928'],@DMTaylor90 And I bet half of those don’t run 🤣,1596417573603708928,2022-11-26T08:16:24.000Z,44103022,en,
['1596417386063990784'],Vote here!,1596417386063990784,2022-11-26T08:15:39.000Z,44103022,en,{'place_id': '315b740b108481f6'}
['1596417282473066497'],"Are the travelators from the station @manairport working today? 
Vote below 👇 https://t.co/cYKKaoNvkw",1596417282473066497,2022-11-26T08:15:14.000Z,44103022,en,{'place_id': '315b740b108481f6'}
['1596399946642919424'],Up and out early again this morning with @HighPeakLive 199 taking me over to Manchester Airport - nice warm Citaro to start the day! https://t.co/3oVdhE3xeA,1596399946642919424,2022-11-26T07:06:21.000Z,44103022,en,{'place_id': '667ae7bc747238c4'}
['1596232948269080578'],Coca Cola advert just been on the telly… it’s officially #Christmas 🎅🏻🎄 https://t.co/793oFjwBwX,1596232948269080578,2022-11-25T20:02:46.000Z,44103022,en,{'place_id': '55274794874e883d'}
['1596217817845891072'],@paul_winginit @visegrad24 Who the hell would want to wear that in 40 deg heat 🙄,1596217817845891072,2022-11-25T19:02:38.000Z,44103022,en,
['1596216891219103745'],@d754771 @TravelodgeUK @northernassist On the wrong side sadly!,1596216891219103745,2022-11-25T18:58:57.000Z,44103022,en,
['1596215456104579073'],"@rwjc22 I think there must be some booked 3 cars as that one didn’t show on journeycheck as being short formed?!
Having 2 missing in front didn’t help…",1596215456104579073,2022-11-25T18:53:15.000Z,44103022,en,
['1596215309807280129'],"Home for tonight is @TravelodgeUK in Stockport… right opposite the bus station which is really handy! 
@northernassist brought me down from Manchester on one of their 323s 👍 https://t.co/73DPRfWT4M",1596215309807280129,2022-11-25T18:52:40.000Z,44103022,en,{'place_id': '55274794874e883d'}
['1596173021689135104'],"When you’re the first train down the TPE core for an hour and you’ve only got a 3 car 185 🙈
An hour gap in front of this thanks to the Newcastle &amp; Hull ones being cancelled today. Left well over a hundred behind in Leeds (probably several hundred!) 😬 https://t.co/PORvXFeRqF",1596173021689135104,2022-11-25T16:04:38.000Z,44103022,en,{'place_id': '43dacd36a372f0d8'}
['1596163598199312386'],"Heading south west with @TPExpressTrains this afternoon on the 1407 from Redcar which is, unfortunately, just a 3 car today. Going as far as Manchester Picc on this one… https://t.co/Siaxj4kXhz",1596163598199312386,2022-11-25T15:27:11.000Z,44103022,en,{'place_id': '4efd6fc8c50fae33'}
['1596157163931860993'],Early shift finished and run home to catch the @arrivanortheast 63 into town… one of Redcar’s repainted Streetlites taking me down the road 🚌 https://t.co/B8dxeXTgbV,1596157163931860993,2022-11-25T15:01:37.000Z,44103022,en,{'place_id': '4efd6fc8c50fae33'}
['1596049331404038144'],"So the usual school run on this duty isn’t running this morning - we have lots of PD days today meaning our operation is a bit up in the air!
Quick bus change back @Coatham depot sees me head straight back out on 523 from Ingleby Arncliffe instead! It’s nice and light now… https://t.co/Dt4cwEH8Dt",1596049331404038144,2022-11-25T07:53:08.000Z,44103022,en,{'place_id': '45ea13932d6c1764'}
['1596012460326408196'],0520 and we’re all ready to go on this mornings early shift… with a bit of a twist today! More on that later… but to start with I’m piloting this across the moors on the P&amp;R https://t.co/OlIgppbtnD,1596012460326408196,2022-11-25T05:26:37.000Z,44103022,en,{'place_id': '67bc7263f7b9047b'}
['1595862478373756929'],"@SPD_travels Didn’t see this one coming! 
Can’t help but feel if they’re just joining dots to get ahead of Turkish… here’s hoping it does well!",1595862478373756929,2022-11-24T19:30:39.000Z,44103022,en,
['1595862072654721024'],@aviosAdventurer Always remember getting on a triple via stairs and being in awe of just how big these things are!,1595862072654721024,2022-11-24T19:29:02.000Z,44103022,en,
['1595850794712109057'],@msando50 Would have been payback for making me late the other night 🤣,1595850794712109057,2022-11-24T18:44:13.000Z,44103022,en,
['1595811316182269955'],First bit of driving I’ve done all day today is to cover Y1 for one of my @Coatham colleagues. It’s like night time before I’ve even left tonight 😬 https://t.co/KKqrl356w1,1595811316182269955,2022-11-24T16:07:21.000Z,44103022,en,{'place_id': '0438297d5172894d'}
['1595668136820625408'],@paul_winginit Not managed to go on one yet - my last attempt got swapped for a F100! 😅,1595668136820625408,2022-11-24T06:38:24.000Z,44103022,en,
['1595392004493824001'],@phoebetaylorxo Just another day to me now… might as well work it as nothing special 😅 They’ve even given me a bank holiday next year…,1595392004493824001,2022-11-23T12:21:09.000Z,44103022,en,
['1595352555911094272'],@moragmillig4n How to get the day off to a banging start!,1595352555911094272,2022-11-23T09:44:24.000Z,44103022,en,
['1595319053660426241'],Another chilly start this morning and I’m out on one of my favourite routes today… yes I’m in Great Ayton to start Y5 🚌 https://t.co/aBhk2gMo7r,1595319053660426241,2022-11-23T07:31:16.000Z,44103022,en,{'place_id': '136eba28eed41876'}
['1595142911406264321'],"How fitting that on the eve of Teesside’s skyline changing forever as Redcar’s blast furnace goes… team @Coatham take a step into the future with Teesside’s first fully electric ⚡️ coach going into service! 
Watch out for it tomorrow! https://t.co/zrMBfH01Ar",1595142911406264321,2022-11-22T19:51:21.000Z,44103022,en,{'place_id': '46f2260bd86a6f0c'}
['1595140947033350144'],@AndythePandy_ I do like what KLM do and announce the gates for connections on their flights but it’s all done anonymously - if they need to tell pax about changes surely they could just tell them direct if they know where they’re sat 🤔,1595140947033350144,2022-11-22T19:43:32.000Z,44103022,en,
['1595080788722196482'],Finally get to do some driving this week… taking the green machine on Y1 this afternoon and then stopping back for a bit of overtime too! https://t.co/0SXAjAQ6U7,1595080788722196482,2022-11-22T15:44:29.000Z,44103022,en,{'place_id': '0438297d5172894d'}
