id,author_id,edit_history_tweet_ids,text,lang,created_at
1597071156623790080,492022692,['1597071156623790080'],@MoeMoton It's not difficult at all. Hit him with one of the tags,en,2022-11-28T03:33:30.000Z
1596962381779054592,492022692,['1596962381779054592'],@girthymac @BEASTwriter @Raiders I don't get it either.  We get next to nothing for an interior pass rush,en,2022-11-27T20:21:16.000Z
1595617533809557505,492022692,['1595617533809557505'],"@BEASTwriter @Raiders And to you.  Somebody could offer a huge deal raiders aren't willing to match.  They would lose him for nothing.  With the non-exclusive, teams wouldn't risk losing two 1st rd picks.  It might be best to use the exclusive tag, because it would be less money",en,2022-11-24T03:17:19.000Z
1595613508909105158,492022692,['1595613508909105158'],@BEASTwriter @Raiders They can franchise him for the next two years.  He's worth the $11 to $12 millionish he will cost,en,2022-11-24T03:01:20.000Z
1594424084326383616,492022692,['1594424084326383616'],@BEASTwriter @Raiders Oh boy.  Carr's gonna be running for his life,en,2022-11-20T20:14:59.000Z
1594380934911954944,492022692,['1594380934911954944'],"@TheRaidersWire Jones is a complete waste of money.  But, there is top end talent, just not enough on both lines",en,2022-11-20T17:23:31.000Z
1593594471836536832,492022692,['1593594471836536832'],@TheRaidersWire He's really the only defensive lineman playing above replacement level.  It's impossible to win consistently like this,en,2022-11-18T13:18:24.000Z
1593332530337521665,492022692,['1593332530337521665'],"@laurenboebert Thank god.  She was so clueless about how economics work, or worse, didn't care.",en,2022-11-17T19:57:32.000Z
1593294567624810501,492022692,['1593294567624810501'],@TheRaidersWire They can just franchise him,en,2022-11-17T17:26:41.000Z
1592598360644792320,492022692,['1592598360644792320'],@BEASTwriter @Raiders @SportingTrib Players need to be good to begin with.  Some can't be coached,en,2022-11-15T19:20:12.000Z
1592357977075306497,492022692,['1592357977075306497'],"@oliver_beans @TheRaidersWire This would give Carr another weapon, a starting o tackle, and possibly guard",en,2022-11-15T03:25:00.000Z
1592207933709901825,492022692,['1592207933709901825'],@agalaviz_TheBee How do they not call a penalty on the last pass of the game?  Refs are ass,en,2022-11-14T17:28:47.000Z
1592152885445677057,492022692,['1592152885445677057'],@oliver_beans @TheRaidersWire My mock draft.  What do you think? https://t.co/wVZgdxCTjl,en,2022-11-14T13:50:03.000Z
1591881483219787781,492022692,['1591881483219787781'],"@LVRaider321 @VicTafur The interior pressure is pathetic.  We can't win like this.  Week after week, there's no pressure",en,2022-11-13T19:51:35.000Z
1591880562532392960,492022692,['1591880562532392960'],@Raiders Why can't they see what Butler has?  I don't get it,en,2022-11-13T19:47:56.000Z
1591879715794874368,492022692,['1591879715794874368'],@Raiders Both rookie tackles are worse than those other bums?,en,2022-11-13T19:44:34.000Z
1591864927756902401,492022692,['1591864927756902401'],@ABC A Trainwreck,en,2022-11-13T18:45:48.000Z
1591140067225047045,492022692,['1591140067225047045'],@BEASTwriter @Raiders I hope they can play cause we need them,en,2022-11-11T18:45:28.000Z
1590866927060422656,492022692,['1590866927060422656'],@BEASTwriter @Raiders They need to see what he has cause the other guys ain't makin' it,en,2022-11-11T00:40:06.000Z
1590781307780730881,492022692,['1590781307780730881'],"@BEASTwriter @Raiders Respectfully, interior pressure is more critical if one of the top 2 DT's are there",en,2022-11-10T18:59:53.000Z
1590768633390563330,492022692,['1590768633390563330'],@BEASTwriter @Raiders Unbelievable,en,2022-11-10T18:09:31.000Z
1590722947098218497,492022692,['1590722947098218497'],"@Nate_Tice He's a complete idiot in zone coverage and can't stay with receivers in man.  He takes poor angles in pursuit.  This is clearly addition by subtraction.  Moehrig seems to be following that same path, as well.",en,2022-11-10T15:07:59.000Z
1590454920825966592,492022692,['1590454920825966592'],@BEASTwriter Afternoon.  Could you please explain why C. Jones is so bad with the pass rush?  He's rated worse than most back-ups in the league.  Seems like he can never win his one on one match-ups,en,2022-11-09T21:22:57.000Z
1590454106770243584,492022692,['1590454106770243584'],@RaidersBeat @PFF Raiders could literally put back-up players in there and actually improve,en,2022-11-09T21:19:42.000Z
1590453729592897536,492022692,['1590453729592897536'],@RaidersBeat @PFF His signing was a major miscalculation,en,2022-11-09T21:18:12.000Z
1590453464962052096,492022692,['1590453464962052096'],@RaidersBeat @PFF He is completely invisible on the field.  What the hell,en,2022-11-09T21:17:09.000Z
1590143651803725824,492022692,['1590143651803725824'],"@Render64 @RaidersBeat If the playcalling is predictable, defenders can cheat and the linemen have no chance with the run blocking.  It's hard to say without watching coach's tape",en,2022-11-09T00:46:04.000Z
1590131337566228483,492022692,['1590131337566228483'],@Render64 @RaidersBeat They didn't run block very well the last 2 games,en,2022-11-08T23:57:08.000Z
1590094609753202690,492022692,['1590094609753202690'],@_MLFootball @TomPelissero He stinks,en,2022-11-08T21:31:12.000Z
1590038935731699712,492022692,['1590038935731699712'],@TheRaidersWire He's still only graded for the season at 59.2,en,2022-11-08T17:49:58.000Z
1590037930227437569,492022692,['1590037930227437569'],@TheRaidersWire That's good news but we desperately need guys who can collapse the pocket.  QB's have all day,en,2022-11-08T17:45:58.000Z
1589798371715260417,492022692,['1589798371715260417'],@TheRaidersWire He looks like the worst investment in NFL history.    Half a sack isn't much production for a $60M guaranteed. We're getting pretty much a blocking dummy,en,2022-11-08T01:54:03.000Z
1589683154440552448,492022692,['1589683154440552448'],@RaidersBeat Easily.  Not enough talent on either line.  We are losing at the LOS,en,2022-11-07T18:16:13.000Z
1589641643543605248,492022692,['1589641643543605248'],@TheRaidersWire No way there's a good chance.  They could trade out of that spot to stockpile picks to rebuild both line.  Much higher chance of this,en,2022-11-07T15:31:16.000Z
1589339040226349058,492022692,['1589339040226349058'],@BEASTwriter @Raiders That sucks if he's out.  We need him,en,2022-11-06T19:28:50.000Z
1589251976583610370,492022692,['1589251976583610370'],@BEASTwriter @Raiders There's a real F-in' surprise,en,2022-11-06T13:42:52.000Z
1589251711772012545,492022692,['1589251711772012545'],@TheRaidersWire There's a real fuckin' surprise,en,2022-11-06T13:41:49.000Z
1589251522873143297,492022692,['1589251522873143297'],@Magnoli62584815 Do you have a man?,en,2022-11-06T13:41:04.000Z
1589016431953575938,492022692,['1589016431953575938'],"@BEASTwriter @Raiders Farrell is hurt already?  Once Waller starts playing again, give it 3 or 4 games before he has another soft tissue injury",en,2022-11-05T22:06:54.000Z
1589015704313135104,492022692,['1589015704313135104'],@TheRaidersWire No kidding.  Everyone in the world already knows this.  That should be their yearly motto,en,2022-11-05T22:04:01.000Z
1589000977033547776,492022692,['1589000977033547776'],"@raidernationcal @VicTafur Without 1st step quickness anymore, he can't get lineman off balance.  Add that to his constant mental mistakes by losing contain, which leads to chunk plays",en,2022-11-05T21:05:29.000Z
1589000212630032384,492022692,['1589000212630032384'],"@VicTafur He doesn't have the first step quickness anymore.  It won't matter what he does, he's not a power rusher.  Plus he routinely loses contain, which is a mental issue",en,2022-11-05T21:02:27.000Z
1588999254919745536,492022692,['1588999254919745536'],"@BEASTwriter After watching the coaches' tape of Raiders vs Saints, was Carr missing open receivers when he had the time make reads?  It seems like they just bracketed our only 2 routes when a FB was on the field in play action?",en,2022-11-05T20:58:39.000Z
1588239459195068418,492022692,['1588239459195068418'],"@TheRaidersWire They'd be better off keeping Carr and investing capital on both lines, especially the defensive interior.  We essentially get nothing from them except holding the point of attack",en,2022-11-03T18:39:29.000Z
1587603323569545216,492022692,['1587603323569545216'],"@BEASTwriter He also loses contain almost every time, which makes it even worse",en,2022-11-02T00:31:43.000Z
1587602856990965762,492022692,['1587602856990965762'],@BEASTwriter He's lost the quick step that allowed him to get lineman off balance and use the leverage to win the match up.  He lacks the strength to beat lineman with shear power,en,2022-11-02T00:29:51.000Z
1587593076977057793,492022692,['1587593076977057793'],@BEASTwriter @Raiders How's Butler been looking?  We need him desperately,en,2022-11-01T23:51:00.000Z
1587590282316496896,492022692,['1587590282316496896'],@RaiderHoncho @Raiders Defensive line is the worst by far.  Blame whoever.  Offensive line can be serviceable,en,2022-11-01T23:39:53.000Z
1587156199560069120,492022692,['1587156199560069120'],"@BEASTwriter @Raiders For an example, look at Buffalo's defensive line.  They can rotate studs to keep them fresh. Our starters are probably exhausted by the end",en,2022-10-31T18:55:00.000Z
