edit_history_tweet_ids,text,id,created_at,author_id,lang
['1596971061169786880'],@_renoma Yup…no time,1596971061169786880,2022-11-27T20:55:45.000Z,439927467,en
['1596970987010281472'],@Teemos1 They needed pace and an actual forward. Sane changed this game,1596970987010281472,2022-11-27T20:55:28.000Z,439927467,en
['1596970801563316224'],@adelana001_ They’re both comedians…all their highlight reels combined Nate length of the average Nigerian Skit. Shite players,1596970801563316224,2022-11-27T20:54:44.000Z,439927467,en
['1596970467336024064'],Sane you for play am,1596970467336024064,2022-11-27T20:53:24.000Z,439927467,en
['1596969871535149056'],RT @_Aikay_: If Muller was a black German he won’t even be getting call ups at this age.,1596969871535149056,2022-11-27T20:51:02.000Z,439927467,en
['1596969666492387330'],!!! https://t.co/ge7ZRnxJLt,1596969666492387330,2022-11-27T20:50:13.000Z,439927467,qst
['1596969128413212672'],@Sijistical But are their ideas brand new?….these are the issues 😂,1596969128413212672,2022-11-27T20:48:05.000Z,439927467,en
['1596968811483529216'],@Sijistical It should replay o…shebi dem no wan wise,1596968811483529216,2022-11-27T20:46:49.000Z,439927467,en
['1596968685981564928'],I’ve been calling the werey Fulcrum 😭😂 https://t.co/JGvKAL6kHj,1596968685981564928,2022-11-27T20:46:19.000Z,439927467,en
['1596968578313752577'],RT @Ayo_Mhidey: That's simar to what Musiala missed btw. You can't underestimate the threat of a typical 9. You can't replace it.,1596968578313752577,2022-11-27T20:45:53.000Z,439927467,en
['1596968462244405248'],"@Teemos1 Even if you excuse that…why not start Fulcrum or Werner, you need the pace and agility, Muller isn’t even a 9. Don’t get me Started on Neur. This should be Ter Steven’s tournament",1596968462244405248,2022-11-27T20:45:26.000Z,439927467,en
['1596968152012771329'],"@gboyeezy He just came back, but this is a game they can’t afford to lose, I’ll have gambled. He clearly is fit enough",1596968152012771329,2022-11-27T20:44:12.000Z,439927467,en
['1596967889625812994'],@Sijistical No time…bloodclat gunman….them go dey play Muller for 9.,1596967889625812994,2022-11-27T20:43:09.000Z,439927467,en
['1596967697496932352'],"@gboyeezy Yup, it’s criminal that he didn’t start",1596967697496932352,2022-11-27T20:42:23.000Z,439927467,en
['1596967616849252353'],@_renoma Easy,1596967616849252353,2022-11-27T20:42:04.000Z,439927467,en
['1596967517150674944'],@TInvasionist @Sijistical Na otu,1596967517150674944,2022-11-27T20:41:40.000Z,439927467,und
['1596967341912256514'],"Fulcrum!.,,,can you see Mr Flick",1596967341912256514,2022-11-27T20:40:59.000Z,439927467,en
['1596967187398680577'],"RT @xyCerebrone: Football needs elite, classic 9s again. The game is poorer without them.",1596967187398680577,2022-11-27T20:40:22.000Z,439927467,en
['1596966861501267969'],@Teemos1 He’s clearly fit enough to play,1596966861501267969,2022-11-27T20:39:04.000Z,439927467,en
['1596966532151939072'],Sane and Fulcrum on the bench…Hansi Flick is not a good person,1596966532151939072,2022-11-27T20:37:46.000Z,439927467,en
['1596966119125893120'],"I don’t even have to calculate…. Roughly N500,000 https://t.co/AP0J3K6hV0",1596966119125893120,2022-11-27T20:36:07.000Z,439927467,en
['1596965187260940288'],Same thing wey do Germany na im do Belgium…put Youth and skill for bench/ house….carry men wey don tire,1596965187260940288,2022-11-27T20:32:25.000Z,439927467,en
['1596964912583974912'],Just look at the introduction of Sane!….just on and he created Germany’s best chance,1596964912583974912,2022-11-27T20:31:19.000Z,439927467,en
['1596964465475432449'],Germany about to ja in the first round in back to back World cups …..#Loveet,1596964465475432449,2022-11-27T20:29:33.000Z,439927467,en
