geo,edit_history_tweet_ids,created_at,id,author_id,lang,text
{'place_id': 'e0060cda70f5f341'},['1596962117378154496'],2022-11-27T20:20:13.000Z,1596962117378154496,4181080761,en,"A voice of one calling: “In the wilderness prepare the way for the Lord; make straight in the desert a highway for our God.
Isaiah 40:3 NIV

https://t.co/9PvjXaNY45 https://t.co/VKE1rzVeOt"
{'place_id': '1c69a67ad480e1b1'},['1596554548445052928'],2022-11-26T17:20:41.000Z,1596554548445052928,4181080761,en,"“ ‘ “The Lord bless you and keep you;
Numbers 6:24 NIV

https://t.co/HgcjfPPcEa https://t.co/pTL2NfJ5NB"
,['1596493053526790144'],2022-11-26T13:16:20.000Z,1596493053526790144,4181080761,en,RT @RudderFootball: Come join us Monday night at 6:00!  Park on the North end of the school by the stadium (overflow will be on the south b…
,['1596491264438206467'],2022-11-26T13:09:13.000Z,1596491264438206467,4181080761,en,RT @LibertyFootball: Dear Seniors ... https://t.co/mMl52s9wKT
,['1595915079320588289'],2022-11-24T22:59:40.000Z,1595915079320588289,4181080761,en,"RT @CoachBechler: 7 WAYS ATHLETES CAN SHOW THAT THEY ARE COACHABLE....

1️⃣ Attitude of gratitude
2️⃣ Good body language
3️⃣ Respectful eye…"
{'place_id': 'e0060cda70f5f341'},['1595792510957543424'],2022-11-24T14:52:37.000Z,1595792510957543424,4181080761,en,"I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds.
Psalms 9:1 NIV

https://t.co/9LkMtceRHB https://t.co/InswxzxS68"
,['1595490630439997470'],2022-11-23T18:53:03.000Z,1595490630439997470,4181080761,en,"Surely your goodness and love will follow me all the days of my life, and I will dwell in the house of the Lord forever.
Psalms 23:6 NIV

https://t.co/5HcglptTp4 https://t.co/uhqEZaWabS"
{'place_id': 'e0060cda70f5f341'},['1595252786429677568'],2022-11-23T03:07:57.000Z,1595252786429677568,4181080761,en,"Blessed are those who keep his statutes and seek him with all their heart—
Psalms 119:2 NIV

https://t.co/Q8H2cOaI3J https://t.co/QGdegUvNKD"
,['1595139112641892352'],2022-11-22T19:36:15.000Z,1595139112641892352,4181080761,en,RT @RudderHS_BISD: 100% our Coach (interview with parent of one of coach’s passengers). “Mr. Hill was super nice and friendly to them.  If…
,['1594549007430270976'],2022-11-21T04:31:23.000Z,1594549007430270976,4181080761,en,"RT @RudderFootball: Please pray for one of our own, Coach Hill as he was involved in a terrible accident. Prayers for his family, as they a…"
{'place_id': 'e0060cda70f5f341'},['1594407537020997640'],2022-11-20T19:09:14.000Z,1594407537020997640,4181080761,en,"Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name.
Psalms 100:4 NIV

https://t.co/opRdGrt07Z https://t.co/3TDQfqKUq6"
{'place_id': '0da61f17c8549eca'},['1594060712984416257'],2022-11-19T20:11:04.000Z,1594060712984416257,4181080761,en,"A friend loves at all times, and a brother is born for a time of adversity.
Proverbs 17:17 NIV

https://t.co/TDbGxoATwK https://t.co/YHRtdROAWy"
{'place_id': '1c69a67ad480e1b1'},['1593279559658573831'],2022-11-17T16:27:03.000Z,1593279559658573831,4181080761,en,"bless those who curse you, pray for those who mistreat you.
Luke 6:28 NIV

https://t.co/f95S85U0EY https://t.co/SXJAXyLhea"
{'place_id': 'e0060cda70f5f341'},['1593272847589412872'],2022-11-17T16:00:23.000Z,1593272847589412872,4181080761,en,@Ellison_FB_OC @Matt_Stepp817 My son said they felt it in Alpine at Sul Ross.
{'place_id': '1c69a67ad480e1b1'},['1592991862415314944'],2022-11-16T21:23:51.000Z,1592991862415314944,4181080761,en,"Whoever has my commands and keeps them is the one who loves me. The one who loves me will be loved by my Father, and I too will love them and show myself to them.”
John 14:21 NIV

https://t.co/CziZ9uXw1o https://t.co/dPvbEWZUI5"
,['1592515362092093441'],2022-11-15T13:50:24.000Z,1592515362092093441,4181080761,en,"RT @BallisPsych: “Your contribution doesn’t have to be 25 points, but it has to be something.

Your number one contribution is the energy t…"
,['1592514674268188672'],2022-11-15T13:47:40.000Z,1592514674268188672,4181080761,en,"RT @DrewMaddux: “We're not here to coach your energy level and your effort, that's a given."" 

-Geno Auriemma

 https://t.co/5KrQoyo1TL"
,['1591802158810370050'],2022-11-13T14:36:23.000Z,1591802158810370050,4181080761,en,"And do not forget to do good and to share with others, for with such sacrifices God is pleased.
Hebrews 13:16 NIV

https://t.co/PA1fMyTVuz https://t.co/Y6cQKBdkGP"
{'place_id': 'e0060cda70f5f341'},['1591439968391536641'],2022-11-12T14:37:10.000Z,1591439968391536641,4181080761,en,"Set your minds on things above, not on earthly things.
Colossians 3:2 NIV

https://t.co/2x5NdQlHWW https://t.co/KWbp9kbls9"
{'place_id': '1c69a67ad480e1b1'},['1591095462773555200'],2022-11-11T15:48:14.000Z,1591095462773555200,4181080761,en,"Each of you should use whatever gift you have received to serve others, as faithful stewards of God’s grace in its various forms.
1 Peter 4:10 NIV

https://t.co/NeMASlEqjO https://t.co/8J5JJiJrzN"
{'place_id': '1c69a67ad480e1b1'},['1590775703460466688'],2022-11-10T18:37:37.000Z,1590775703460466688,4181080761,en,"I sought the Lord, and he answered me; he delivered me from all my fears. Those who look to him are radiant; their faces are never covered with shame.
Psalms 34:4-5 NIV

https://t.co/Yy2v0Y3bTE https://t.co/rLsoAD9Dw0"
{'place_id': '1c69a67ad480e1b1'},['1590392867088125953'],2022-11-09T17:16:22.000Z,1590392867088125953,4181080761,en,"Above all, love each other deeply, because love covers over a multitude of sins.
1 Peter 4:8 NIV

https://t.co/S31I1ALY1A https://t.co/hjCIHi3pEX"
{'place_id': '9ce0f1d2eb5998ce'},['1590028618712743936'],2022-11-08T17:08:58.000Z,1590028618712743936,4181080761,en,"You will keep in perfect peace those whose minds are steadfast, because they trust in you.
Isaiah 26:3 NIV

https://t.co/oU2fpbr1pA https://t.co/F31gmdIrqP"
,['1589658871244947456'],2022-11-07T16:39:43.000Z,1589658871244947456,4181080761,en,"The law of the Lord is perfect, refreshing the soul. The statutes of the Lord are trustworthy, making wise the simple.
Psalms 19:7 NIV

https://t.co/5GuBWmG0Ga https://t.co/BZgw3nBAoG"
{'place_id': '00a4bbcc0dcd7572'},['1589292711584362496'],2022-11-06T16:24:44.000Z,1589292711584362496,4181080761,en,"Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.
Galatians 6:9 NIV

https://t.co/SzhRUueyIe https://t.co/HFY3DYiR1l"
