edit_history_tweet_ids,lang,created_at,author_id,id,text
['1597081039264157697'],en,2022-11-28T04:12:46.000Z,61658565,1597081039264157697,i'm truly having my way. i love when i get in my bag 🤭
['1597079525715636224'],en,2022-11-28T04:06:45.000Z,61658565,1597079525715636224,@__laylonden 😭😭😭 freaky.
['1597076188174123008'],en,2022-11-28T03:53:30.000Z,61658565,1597076188174123008,i been on that https://t.co/4XpAd3KHet
['1597076033211346946'],en,2022-11-28T03:52:53.000Z,61658565,1597076033211346946,wattba https://t.co/Z55bUO2HvR
['1597057075410259970'],en,2022-11-28T02:37:33.000Z,61658565,1597057075410259970,@taniadevinee do it first bae 🤭🤭
['1597056908707659778'],en,2022-11-28T02:36:53.000Z,61658565,1597056908707659778,i hope ty know he stuck w me forever 🤭
['1597050737283911680'],en,2022-11-28T02:12:22.000Z,61658565,1597050737283911680,@taniadevinee omg i was just saying i wanna try but i'm scared. i think you would look tf good!
['1597050650113675264'],en,2022-11-28T02:12:01.000Z,61658565,1597050650113675264,@quashija rooting for you!!!
['1597032148330229764'],en,2022-11-28T00:58:30.000Z,61658565,1597032148330229764,i'm in the bathroom + ellie is talking to me through the door 😭 can i get some privacy
['1597016651400384512'],en,2022-11-27T23:56:55.000Z,61658565,1597016651400384512,RT @xotiffanyy_: i be like “lets watch a movie” then turn around and fall asleep
['1597009332230451201'],en,2022-11-27T23:27:50.000Z,61658565,1597009332230451201,RT @Munachimsoooo: Airport pick up is a love language
['1597008847872593920'],en,2022-11-27T23:25:54.000Z,61658565,1597008847872593920,RT @MehganJames: A nigga will fk with you on and off for life if you let him 😩
['1597004047755935744'],en,2022-11-27T23:06:50.000Z,61658565,1597004047755935744,watching lib with my mom + we are the same person 😂
['1597003753164455936'],en,2022-11-27T23:05:40.000Z,61658565,1597003753164455936,RT @aIys_x: a girl and her bed on a Sunday is an endless love affair 🤍
['1597000782658035712'],en,2022-11-27T22:53:52.000Z,61658565,1597000782658035712,RT @__LifesizeDolll: I think everybody laced or on drugs that’s my explanation for everything. Cuz It be alot of crackhead shit going on th…
['1596999828306685952'],en,2022-11-27T22:50:04.000Z,61658565,1596999828306685952,"RT @THEEPROBLEMCEE: Getting fcked is not taking somebody
nigga..."
['1596999673575014400'],en,2022-11-27T22:49:27.000Z,61658565,1596999673575014400,ppl ask when i'm free.. then i tell them sundays and they think i'm lying. like every other day is school or work or a combination of both. i be tired wtf.
['1596996719501541376'],en,2022-11-27T22:37:43.000Z,61658565,1596996719501541376,RT @wileemcsmiley: @Cage_Nerd @TheUnmumsyMum Trash can with a plastic bag inside. We have them next to every toilet and in every bedroom. W…
['1596996222031564800'],en,2022-11-27T22:35:44.000Z,61658565,1596996222031564800,no fr i need a new menu https://t.co/yTLf75HgvC
['1596996072630816768'],en,2022-11-27T22:35:09.000Z,61658565,1596996072630816768,"RT @_shesdarkskiin: Aight nah for Christmas we need a seafood boil, bbq , fish fry , hibachi or sum can't run this soul food back"
['1596995986999873536'],en,2022-11-27T22:34:48.000Z,61658565,1596995986999873536,RT @KeepinUpWifGabb: Y’all be throwing rocks and hiding your hands to play this victim role like you’re unproblematic when you know damn we…
['1596972039331774464'],en,2022-11-27T20:59:39.000Z,61658565,1596972039331774464,RT @fineassnayyyy: I only been in love like 2 times. Y’all just be loving anybody😂😂😂😂
['1596962755923578880'],en,2022-11-27T20:22:45.000Z,61658565,1596962755923578880,dog the funniest part was us going to this club.. we get to looking around like bitch is this a gay club 💀 we left so mf fast.
['1596962345783545857'],en,2022-11-27T20:21:08.000Z,61658565,1596962345783545857,ja tb idk what i did to my car but my mirror gone 💀 boyyy we had a time last night.
['1596953850535383040'],en,2022-11-27T19:47:22.000Z,61658565,1596953850535383040,i planned to start so much hw today but it's looking like naps + christmas movies.
['1596951302583373825'],en,2022-11-27T19:37:15.000Z,61658565,1596951302583373825,"like i could drink crown royal, e&amp;j and 4lokos and get up for class the next day. wtf"
['1596951030868348928'],en,2022-11-27T19:36:10.000Z,61658565,1596951030868348928,this can't be the same liquor i was drinking in my early college years cus i never used to be tapped out like this the day after.
['1596950700298498048'],en,2022-11-27T19:34:51.000Z,61658565,1596950700298498048,i do not remember getting home or getting in the bed last night ☠️
['1596947935866277889'],en,2022-11-27T19:23:52.000Z,61658565,1596947935866277889,RT @rahsh33m: The ending took me out the game LMFAOOOOOOO https://t.co/mlLjMGxCcX
['1596947858099687424'],en,2022-11-27T19:23:33.000Z,61658565,1596947858099687424,lmao one thing abt me is i hate when ppl don't know how to end a joke. like after the first couple of times we would've had to be done. https://t.co/ay34YCVTwC
['1596947500639801344'],art,2022-11-27T19:22:08.000Z,61658565,1596947500639801344,🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳 https://t.co/gcsbAXDDT0
['1596947363880308736'],en,2022-11-27T19:21:36.000Z,61658565,1596947363880308736,"RT @jawnnthadonn: I don’t think people understand how beneficial being alone for a little while is , taking time off from relationships , l…"
