text,lang,created_at,id,edit_history_tweet_ids,author_id
RT @CraigDoug01: https://t.co/D6ThNOtjSk,zxx,2022-11-27T21:31:10.000Z,1596979971183980544,['1596979971183980544'],158802626
"RT @44MagnumBlue1: United States Marine Corps Lance Corporal James Israel King was killed in action on November 27, 1967 in Thua Thien Prov…",en,2022-11-27T21:30:45.000Z,1596979868641943552,['1596979868641943552'],158802626
RT @GodsLoveFamous: I spent 2 days trying to get the old pickup out of its spot in the yard so I could take our trash to the dump before th…,en,2022-11-27T21:29:48.000Z,1596979627125182464,['1596979627125182464'],158802626
RT @PapiTrumpo: I LOVE MY HOBBY LOBBY WARRIORS!!!😂😂😂 https://t.co/ecbdN7YEiD,en,2022-11-27T21:29:16.000Z,1596979494342230017,['1596979494342230017'],158802626
RT @codeofvets: Can I Get A Hell Yeah🔥,en,2022-11-27T21:27:07.000Z,1596978955063799809,['1596978955063799809'],158802626
@TBanezos @Fran4u03h9 🤣🤣🤣🤣🤣🤣🤣,und,2022-11-27T21:26:41.000Z,1596978843251658754,['1596978843251658754'],158802626
@MadScientistFF https://t.co/TYZ5d7Wm46,qme,2022-11-27T21:23:25.000Z,1596978023261085697,['1596978023261085697'],158802626
@OEFvetted I wish we could black out everything but his face and the child it makes me sick this EVIL Happened and not one Law Enforcement Agency Cares!!!!!!,en,2022-11-27T21:22:53.000Z,1596977888124760064,['1596977888124760064'],158802626
RT @OEFvetted: Why don’t Democrats care about this? https://t.co/xuEbbefcbz,en,2022-11-27T21:21:38.000Z,1596977571912355840,['1596977571912355840'],158802626
"RT @TopGyalKeiko: When Obama and Hillary ordered $60K worth of ""pizza"" to be delivered to the WH in the middle of the night, but there was…",en,2022-11-27T21:19:01.000Z,1596976914605830145,['1596976914605830145'],158802626
"RT @realRawPaul: 🇺🇲🇺🇲🔥🔥🚂💥SUNDAY ""LET'S GO BRANDON""  PATRIOT FOLLOW. DROP YOUR HANDLES AND RETWEET! 🇺🇲🇺🇲🔥🔥🚂💥 #LGB",en,2022-11-27T21:18:17.000Z,1596976730001969152,['1596976730001969152'],158802626
