text,id,created_at,lang,edit_history_tweet_ids,author_id,geo
"RT @abstractedaway: This was Ukraine in 1919.  Notice the Kuban region, east of the sea?  The Holodomor was, in part, targeted to wipe out…",1596962498011615232,2022-11-27T20:21:44.000Z,en,['1596962498011615232'],265079836,
"RT @MoscowTimes: ""Stalin's system, the repressive state, wanted to destroy Ukraine as a nation ... today we see that the efforts made by St…",1596962258331975680,2022-11-27T20:20:47.000Z,en,['1596962258331975680'],265079836,
https://t.co/m1Wz4JKIbe,1596961289862946817,2022-11-27T20:16:56.000Z,zxx,['1596961289862946817'],265079836,
"RT @midoriakiyamaF: My recent publications:
1. Synthesis &amp; Properties of Perfluorocubane
https://t.co/AHT4yuunbD

2. Metathesis with TFE
ht…",1596893530105860096,2022-11-27T15:47:41.000Z,en,['1596893530105860096'],265079836,
"RT @OlgaKrychynska: Сфотографувала те, у що вірю. https://t.co/v4FAy2O2Qb",1596863806646685696,2022-11-27T13:49:34.000Z,uk,['1596863806646685696'],265079836,
https://t.co/32tOTf7pjH,1596626066382401536,2022-11-26T22:04:52.000Z,zxx,['1596626066382401536'],265079836,
https://t.co/3Y0oisrnTj,1596625237579558912,2022-11-26T22:01:35.000Z,zxx,['1596625237579558912'],265079836,
https://t.co/9bob6sVUdI,1596575849452642307,2022-11-26T18:45:20.000Z,zxx,['1596575849452642307'],265079836,{'place_id': 'd56c5babcffde8ef'}
https://t.co/kMDB3w2Gef,1596575130888859648,2022-11-26T18:42:28.000Z,zxx,['1596575130888859648'],265079836,{'place_id': 'd56c5babcffde8ef'}
https://t.co/vdfd2lJu1a,1596539592160706561,2022-11-26T16:21:15.000Z,zxx,['1596539592160706561'],265079836,
Christmas in a modern interpretation... https://t.co/7UjufK2an6,1596535876829446144,2022-11-26T16:06:29.000Z,de,['1596535876829446144'],265079836,
"RT @USAmbKyiv: As we reflect on the horrors of the Holodomor and the innocent lives lost 90 years ago, we recommit ourselves to accountabil…",1596500444742053889,2022-11-26T13:45:42.000Z,en,['1596500444742053889'],265079836,
I and the Mechanochemistry.... ⚗️🧪🧫 https://t.co/PnndodGaAI,1596497040707837953,2022-11-26T13:32:10.000Z,en,['1596497040707837953'],265079836,
Setting our Mechanochemical  reactions.... ⚗️🧪🧫 https://t.co/ZTwzglU9x5,1596485398876020736,2022-11-26T12:45:55.000Z,en,['1596485398876020736'],265079836,
"RT @visegrad24: Sweden &amp; Finland are using their special skills in winter warfare to prop up the Ukrainian Army ahead of winter

Euronews r…",1595918175824404480,2022-11-24T23:11:58.000Z,en,['1595918175824404480'],265079836,
"RT @isciverse: Iron-Catalyzed Intermolecular Amination of Benzylic C(sp3)–H Bonds

@J_A_C_S @isciverse #Chemistry #ChemTwitter #chemed #sci…",1595909026126200832,2022-11-24T22:35:37.000Z,en,['1595909026126200832'],265079836,
"RT @visegrad24: The Romanian parliament voted today to recognize Holodomor as a genocide against the Ukrainian nation.

🇷🇴🇺🇦 https://t.co/Y…",1595908638471774209,2022-11-24T22:34:04.000Z,en,['1595908638471774209'],265079836,
✈️ https://t.co/ZCcgyEiIE1,1595579811744911361,2022-11-24T00:47:26.000Z,und,['1595579811744911361'],265079836,
"RT @MelnykAndrij: Swedish is for me the most melodious language in the world 🇸🇪After Ukrainian, of course 🇺🇦😉 
Tack så mycket @lovisaherold…",1595466957150900224,2022-11-23T17:18:59.000Z,en,['1595466957150900224'],265079836,
"RT @visegrad24: Ukrainian soldiers putting up a Ukrainian flag on the border with Russia in the Kharkiv region.

🇺🇦 https://t.co/rlN84b7cRr",1595466768717340675,2022-11-23T17:18:14.000Z,en,['1595466768717340675'],265079836,
"RT @OlenaHalushka: Pavlo Dumanskyi will always be 19. Lest we forget everyone who sacrificed their life for our freedom
Source: Natalia Pip…",1595190414717362177,2022-11-22T23:00:06.000Z,en,['1595190414717362177'],265079836,
"I am delighted to be affiliated with ""Wallenberg Wood Science Center"" at @KTHuniversity @KAWstiftelsen 
https://t.co/FOm3kmcURk",1595082680600825862,2022-11-22T15:52:00.000Z,en,['1595082680600825862'],265079836,
