lang,text,edit_history_tweet_ids,created_at,author_id,id
en,"RT @davidgokhshtein: If you believe Elon Musk has made Twitter better, LIKE and RT this tweet. 

Might give you a follow.",['1597057784591568896'],2022-11-28T02:40:22.000Z,1545255271663996928,1597057784591568896
en,"RT @buydogecoin_: 7,000 $DOGE to a random person that RETWEETS and FOLLOWS 🙏",['1597044229288919040'],2022-11-28T01:46:30.000Z,1545255271663996928,1597044229288919040
en,RT @TheXStudioNFT: WINNER KNOWS WHO THEY ARE - BEING SENT BIG WIN - SO LETS IT AGAIN - 3 HOURS -  X111 ASHRON - AND ANOTHER WILL ALSO WIN F…,['1597020734601457664'],2022-11-28T00:13:08.000Z,1545255271663996928,1597020734601457664
en,RT @WatcherGuru: 🇺🇸 Texas governor Greg Abbott says #Bitcoin is good for the state's power grid.,['1596962251834998785'],2022-11-27T20:20:45.000Z,1545255271663996928,1596962251834998785
und,@Dastan30194518 👀,['1596961464408977408'],2022-11-27T20:17:37.000Z,1545255271663996928,1596961464408977408
nl,@buydogecoin_ DE8JRJ75LXi71dH9m4qStCZ83zsxWkk5vH,['1596961057645682689'],2022-11-27T20:16:00.000Z,1545255271663996928,1596961057645682689
en,RT @buydogecoin_: Drop your $DOGE wallet address and RETWEET for a surprise 😋,['1596961027316293633'],2022-11-27T20:15:53.000Z,1545255271663996928,1596961027316293633
en,"Just bought more $algo and $hbar!  Just stacking everything I can during this bear market!  18 months and I will be smiling! Bear Markets make millionaires. LFG! 
#Algorand #Hedera #BTC",['1596960264070758400'],2022-11-27T20:12:51.000Z,1545255271663996928,1596960264070758400
en,"RT @TheXStudioNFT: CMC WITHIN HOURS - RT is 10,000 for 1 - HOURS 

#ASHRON #THEXSTUDIO #SUNVERSE #X111 #SPACEX https://t.co/gpLKAjfK7Y",['1596939091634839553'],2022-11-27T18:48:43.000Z,1545255271663996928,1596939091634839553
en,"RT @TheXStudioNFT: X111 will Match the HIGHEST BIDDER LIKE A HURRICANE - HELLS BELLS - NEXT TWO HOURS  - ALSO RT = 2500TXS = X111

https://…",['1596938857714368512'],2022-11-27T18:47:48.000Z,1545255271663996928,1596938857714368512
en,@itsmrxxx Crazy amazing!  4000 added this morning?  $100 surprise!  Awesome @TheXStudioNFT #xstudio,['1596938797467697154'],2022-11-27T18:47:33.000Z,1545255271663996928,1596938797467697154
en,"RT @TheXStudioNFT: Beleiver - XStudio - Gold - RT is 10,000 4x1 https://t.co/IiSEjQp4Zq",['1596933068194869248'],2022-11-27T18:24:47.000Z,1545255271663996928,1596933068194869248
en,"RT @TheXStudioNFT: Here WE GO - 5 will WIN 10,000TXS EACH - As we light UP = RT to be in this FIGHT 

#Sunvault #QuantumVerse #ASHRON #THEX…",['1596662999829577730'],2022-11-27T00:31:38.000Z,1545255271663996928,1596662999829577730
en,"RT @FaboisMe: We resolved the inconvenience rapidly. And that had nothing to do with Orbital Shield.

And what was found was not a ""hack"".…",['1596578080864104448'],2022-11-26T18:54:12.000Z,1545255271663996928,1596578080864104448
