lang,text,author_id,created_at,id,edit_history_tweet_ids
en,"@iHyypia I had a pair of gold ones, early 80s",58874851,2022-11-27T23:20:21.000Z,1597007448619225088,['1597007448619225088']
en,i bet @markgoldbridge is a ravens fan https://t.co/4RDF9mifS1,58874851,2022-11-27T23:14:36.000Z,1597006000669609985,['1597006000669609985']
en,@WeAreLiv3rpool @LFCDaytrippers has to be,58874851,2022-11-27T23:11:10.000Z,1597005136219762689,['1597005136219762689']
en,"@iHyypia he was brilliant, not gonna lie,the king was brilliant, puma boots i think?",58874851,2022-11-27T23:10:36.000Z,1597004995471192064,['1597004995471192064']
und,@WeAreLiv3rpool @LFCDaytrippers mad,58874851,2022-11-27T23:08:24.000Z,1597004442104053760,['1597004442104053760']
en,"@iHyypia the man, scored 100 for lfc and scotland?",58874851,2022-11-27T23:05:18.000Z,1597003660143505408,['1597003660143505408']
en,@Insaniti_LFC true story,58874851,2022-11-27T23:00:53.000Z,1597002552230686720,['1597002552230686720']
zxx,RT @MetalHellbeard: https://t.co/VyS9otiuGB,58874851,2022-11-27T22:59:24.000Z,1597002177855524865,['1597002177855524865']
in,@Ireland1973Lisa boss man,58874851,2022-11-27T22:58:10.000Z,1597001866281648129,['1597001866281648129']
en,@WeAreLiv3rpool @LFCDaytrippers jaysis lads https://t.co/DlBm2ggGwg,58874851,2022-11-27T22:57:02.000Z,1597001580003221504,['1597001580003221504']
en,"when you roll over and the wife gives you a ""cockblock"" at 4am https://t.co/eKoMUkrxPE",58874851,2022-11-27T22:54:08.000Z,1597000851888799745,['1597000851888799745']
en,"@GarBreeninhoLfc @AYPrivateEye i know, and i agree, i was just being a pr1ck, for a change",58874851,2022-11-27T22:29:30.000Z,1596994652795973632,['1596994652795973632']
en,"@GarBreeninhoLfc @AYPrivateEye there has to be a ""Grizz"" hat coming out soon?",58874851,2022-11-27T22:26:13.000Z,1596993826195144705,['1596993826195144705']
en,"george knew the score

powerful https://t.co/SudbSVGt1t",58874851,2022-11-27T22:23:29.000Z,1596993138220240897,['1596993138220240897']
en,@GarBreeninhoLfc @AYPrivateEye i hope that's not aimed at me? i didn't sell myself out to grizz,58874851,2022-11-27T22:16:14.000Z,1596991312120918016,['1596991312120918016']
en,"@gmurf11 @bootroompodcast An awful prick, worse than Jimmy's shit takes",58874851,2022-11-27T22:13:03.000Z,1596990512673992707,['1596990512673992707']
en,@AYPrivateEye reminds me of when the trippers  teamed up with grizz,58874851,2022-11-27T22:00:06.000Z,1596987251661033473,['1596987251661033473']
qme,@DM_2092 @AZCardinals https://t.co/IcmbZWjeLp,58874851,2022-11-27T21:52:02.000Z,1596985224252231680,['1596985224252231680']
en,#ImACelebrity matt hancock is a cuuuunt https://t.co/4gedyBd5lt,58874851,2022-11-27T21:48:11.000Z,1596984255976198144,['1596984255976198144']
en,@DM_2092 @AZCardinals yis winning by 21 yet?,58874851,2022-11-27T21:45:47.000Z,1596983650712965121,['1596983650712965121']
en,"@TadhgLeader jaysus, h christ, some wind? https://t.co/Yig1QMJEL3",58874851,2022-11-27T21:45:21.000Z,1596983540297912322,['1596983540297912322']
en,"@IreNFL ohh shiiit, i'm 2 a few secs behind, tell me he doesn't hit this kick",58874851,2022-11-27T21:43:12.000Z,1596983001702797312,['1596983001702797312']
en,@IreNFL i don't know any @Ravens fans i can laugh at,58874851,2022-11-27T21:41:19.000Z,1596982528682123264,['1596982528682123264']
en,@TesticleOReiIly @castawayinlondo @stebramwell @ForgottenScouse BOOM,58874851,2022-11-27T21:30:59.000Z,1596979927865520128,['1596979927865520128']
en,@TesticleOReiIly @castawayinlondo @stebramwell @ForgottenScouse do they work with an IPTV firestick?,58874851,2022-11-27T21:26:39.000Z,1596978836645679105,['1596978836645679105']
qme,@castawayinlondo @stebramwell @ForgottenScouse https://t.co/zvfbmIHHrI,58874851,2022-11-27T21:22:34.000Z,1596977808647286785,['1596977808647286785']
en,"@castawayinlondo @stebramwell @ForgottenScouse 55"" LG LED

that's the tweet, fuck OLED or any other of the shit they'll push on you
it's like picking a partner, you want a dependable loyal partner, not some fuccker with fake teeth and fake tan",58874851,2022-11-27T21:16:44.000Z,1596976341165146114,['1596976341165146114']
