text,edit_history_tweet_ids,author_id,created_at,id,lang
"CIA Google got you paranoid?

GIT ProtonMail Try Premium Free! ;)

#email #emailmarketing #marketing #digitalmarketing #business #emails #emailmarketingtips #instagram #emailcampaign #emaillist #website #DisruptiveFine Art https://t.co/FcXvnsmZWG",['1597077842193707008'],2929465251,2022-11-28T04:00:04.000Z,1597077842193707008,en
"RT @RobbinMilne: @KimDotcom Never in my life have I seen a leader from a country at “war” come to congress, media, to ask for money like th…",['1597074110575652865'],2929465251,2022-11-28T03:45:14.000Z,1597074110575652865,en
RT @Paisano: @KimDotcom It makes the blood boil when you realize that none of the $90 billion tax dollars sent to Ukraine has been spent on…,['1597073996193099777'],2929465251,2022-11-28T03:44:47.000Z,1597073996193099777,en
RT @KimDotcom: Zelensky is addressing US taxpayers directly. We need more money he says. Pay for our economic deficit and send us more weap…,['1597073499272925184'],2929465251,2022-11-28T03:42:49.000Z,1597073499272925184,en
"ESP32 Marauder v6 by justcallmekoko on Tindie https://t.co/j02Lcelo2i via @jcmkyoutube 

I think this is really cool.",['1597068560563834880'],2929465251,2022-11-28T03:23:11.000Z,1597068560563834880,en
@Roanemermaid 😇,['1597067128363831297'],2929465251,2022-11-28T03:17:30.000Z,1597067128363831297,und
RT @Roanemermaid: @dan__brummitt I'm not!,['1597066823287336961'],2929465251,2022-11-28T03:16:17.000Z,1597066823287336961,en
"RT @WeaponizedNews: Chinese COVID Revolt, Dr. Fauci Deposed &amp; Suppression of Alternative Breakthrough Energy https://t.co/vsEqoy7nfi",['1597065295415242752'],2929465251,2022-11-28T03:10:13.000Z,1597065295415242752,en
"#Luxurious! A #Book adored by everyone!! Worldwide!!!

#DINOGOGOGLOW #KidsBook by #DANIELBRUMMITT #Publishing

#AffordableBooks #AffordableArt #YoungReaders #Poetry #Fun #Global #SelfMade #IndependentAuthor #BestBooks #Unique #Comics https://t.co/reWHIwgKaq",['1597062746079641601'],2929465251,2022-11-28T03:00:05.000Z,1597062746079641601,en
"RT @josephkiefer77: Is it me or has the volume of Western propaganda intensified in the last couple of days?

I mean like in your face volu…",['1597060607358152704'],2929465251,2022-11-28T02:51:35.000Z,1597060607358152704,en
@503I7 @dbelda56 I'm not gonna go into detail of my own personal finance... But they're targeting the poorest of the poor right now as we speak.,['1597060094172491776'],2929465251,2022-11-28T02:49:33.000Z,1597060094172491776,en
"RT @jraymond0412: @jakeshieldsajj If this is real, its time to build the Guillotines",['1597058891170295814'],2929465251,2022-11-28T02:44:46.000Z,1597058891170295814,en
RT @3SheilaMedeiros: @jakeshieldsajj And Instagram didn’t suspend her account for this evil?,['1597058819791937536'],2929465251,2022-11-28T02:44:29.000Z,1597058819791937536,en
RT @Peej0413: @jakeshieldsajj Why isn’t she on some kind of watch list? At the very least? Good God how is this happening?,['1597058755698765824'],2929465251,2022-11-28T02:44:13.000Z,1597058755698765824,en
