text,lang,created_at,id,edit_history_tweet_ids,author_id
"Thanks to a West Wing Marathon on HLN I remembered how much I loved John Amos's character 💕
https://t.co/h37WwZu5eZ",en,2022-11-27T22:36:24.000Z,1596996390525100032,['1596996390525100032'],790141513
@CatsOfYore 🎶 when you're a Jet you're a Jet all the way from your first cigarette to your last dying day 🎶 🤣,en,2022-11-27T21:20:41.000Z,1596977332173930496,['1596977332173930496'],790141513
RT @Fernand46357857: https://t.co/Eh7KyvYlol,zxx,2022-11-27T20:58:45.000Z,1596971814281891840,['1596971814281891840'],790141513
@RonFilipkowski 🤣🤣🤣🤣 there's like 15 people there! Oh my I hope they'll remain peaceful!,en,2022-11-27T20:55:00.000Z,1596970870035320833,['1596970870035320833'],790141513
RT @RonFilipkowski: Day 2 of the protest near the AZ Capitol to demand a new election. Speaker tells them not to be disappointed that Kari…,en,2022-11-27T20:54:27.000Z,1596970731883364352,['1596970731883364352'],790141513
@JoJoFromJerz Pretty sure you're right 🤣,en,2022-11-27T20:52:04.000Z,1596970132831895552,['1596970132831895552'],790141513
RT @JoJoFromJerz: I have a funny feeling that Jack Smith doesn’t give jack shit about a damn thing donald trump has to say about him.,en,2022-11-27T20:51:52.000Z,1596970084094087169,['1596970084094087169'],790141513
"@MadScientistFF I always look at colors in terms of paint color for walls so I don't care what color it is, nope 🤣",en,2022-11-27T20:50:28.000Z,1596969729130102784,['1596969729130102784'],790141513
@AlexThomp Outstanding 🤣💕,en,2022-11-27T20:48:10.000Z,1596969149657325568,['1596969149657325568'],790141513
RT @AlexThomp: A Biden photobomb via the Nantucket Current https://t.co/RDlYmzlbj2,en,2022-11-27T20:47:51.000Z,1596969070053597185,['1596969070053597185'],790141513
RT @Longjacket2: Day 67. Still no tomatoes 🤪 #420friendly https://t.co/qudygDVmbx,en,2022-11-27T20:47:30.000Z,1596968984758607872,['1596968984758607872'],790141513
"RT @Yoda4ever: You may be a wolf, but we're cats..🐈🐺😅 https://t.co/oimfJWLw8C",en,2022-11-27T20:47:06.000Z,1596968883176747008,['1596968883176747008'],790141513
RT @cmublock61: https://t.co/sS8NTjZRA3,zxx,2022-11-27T20:46:32.000Z,1596968740914343936,['1596968740914343936'],790141513
RT @TheTweetOfRhea: There should be a word for a person who still thinks God created the universe and all the people in it even though they…,en,2022-11-27T20:45:58.000Z,1596968596374425601,['1596968596374425601'],790141513
RT @RCdeWinter: During his campaign Trump said in if I voted for Hillary I would be stuck with a criminal president under constant federal…,en,2022-11-27T20:41:47.000Z,1596967545374117888,['1596967545374117888'],790141513
RT @ProfFeynman: Schrödinger's Plates: They are both broken and not broken until you open the door. https://t.co/fLaw3kGCaq,en,2022-11-27T20:41:06.000Z,1596967372078055424,['1596967372078055424'],790141513
@ProfFeynman That would make an interesting mechanical engineering class exercise 🤣,en,2022-11-27T20:40:41.000Z,1596967269493415937,['1596967269493415937'],790141513
RT @_B___S: Cats can always spot the non cat person. https://t.co/oKQOCKlak7,en,2022-11-27T20:39:46.000Z,1596967037338669056,['1596967037338669056'],790141513
@_B___S Who doesn't like cats? That's baffling to me 😹,en,2022-11-27T20:39:43.000Z,1596967023829213184,['1596967023829213184'],790141513
"@marisatomei We know a lot more about Mr. Walken than we did when this first came out, I remember how mind blowing it was then, but we've since learned he has a marvelous wit and a fabulous sense of humor, and it's still funny AF 🤣",en,2022-11-27T20:37:41.000Z,1596966513269174272,['1596966513269174272'],790141513
RT @marisatomei: Have a great weekend ❤️ https://t.co/3QaPMiQbJl,en,2022-11-27T20:35:47.000Z,1596966032853602304,['1596966032853602304'],790141513
RT @puppiesDoglover: I beat cancer today 🙏❤️🙏 https://t.co/sg1HnG14sl,en,2022-11-27T20:35:02.000Z,1596965847540838400,['1596965847540838400'],790141513
"RT @mhdksafa: “If you think fertilized eggs are people but women who've walked their kids 2,000 miles aren't, stop pretending your concerns…",en,2022-11-27T20:34:56.000Z,1596965818642108419,['1596965818642108419'],790141513
"RT @BarbMccown: Vangie Lentgis
Marge is definitely the leader in this power dynamic https://t.co/OPu6L5bgSb",en,2022-11-27T20:32:42.000Z,1596965257968160769,['1596965257968160769'],790141513
"RT @emjanerothwell: A bookworm’s routine ❤️
(By Franco Matticchio) https://t.co/LD6D52DsNn",en,2022-11-27T20:32:10.000Z,1596965126514520064,['1596965126514520064'],790141513
RT @vivaneil1234: Fruity.🐶🤣😍🥰🤗💞,en,2022-11-27T20:29:52.000Z,1596964547449217025,['1596964547449217025'],790141513
@mmpadellan I'm really happy I live in a university town where this sort of thing rarely comes up thank goodness 🤣,en,2022-11-27T20:28:26.000Z,1596964186999128064,['1596964186999128064'],790141513
RT @theliamnissan: Not since World War 2 https://t.co/Eqchl0iWTY,en,2022-11-27T20:26:51.000Z,1596963787969396737,['1596963787969396737'],790141513
@RavMABAY Really not 🤣,en,2022-11-27T20:26:37.000Z,1596963726883946496,['1596963726883946496'],790141513
"RT @joncoopertweets: Hell yeah, so do I!! How about you? https://t.co/SIoNt58OHO",en,2022-11-27T20:25:41.000Z,1596963491877113856,['1596963491877113856'],790141513
RT @weirdlilguys: the perfect cover https://t.co/VcakNwC8Dw,en,2022-11-27T20:23:36.000Z,1596962969602392064,['1596962969602392064'],790141513
@mhdksafa Yep 🤦,und,2022-11-27T20:23:33.000Z,1596962954578362369,['1596962954578362369'],790141513
RT @mhdksafa: Have you noticed the people who don’t want to help refugees because we “have our own poor” also don’t want to help our own po…,en,2022-11-27T20:23:25.000Z,1596962922030587904,['1596962922030587904'],790141513
RT @vivaneil1234: Best 5c you could spend.🐱😍🥰🤗💞,en,2022-11-27T20:22:05.000Z,1596962587698429952,['1596962587698429952'],790141513
"@RonFilipkowski Of course she's not, but the really interesting thing is nobody cares 😂 minimal press time and AZ is pretty much going about their business 🤷‍♀️",en,2022-11-27T20:21:10.000Z,1596962357733101569,['1596962357733101569'],790141513
@TansuYegen 🤣 https://t.co/RWOyVRCckY,und,2022-11-27T20:17:35.000Z,1596961455345405952,['1596961455345405952'],790141513
"@TheTweetOfRhea Apologies, had to add, the evolutionary biology part is also super fascinating! 😁",en,2022-11-27T20:16:23.000Z,1596961153334226949,['1596961153334226949'],790141513
"@TheTweetOfRhea Don't really care, not any of my business who you do or what you do, I followed you cause I like the zoo part VERY MUCH 🤣 🐯",en,2022-11-27T20:15:12.000Z,1596960856516210688,['1596960856516210688'],790141513
RT @BarbMccown: https://t.co/d0awutncBQ,zxx,2022-11-27T20:10:34.000Z,1596959687395508225,['1596959687395508225'],790141513
RT @kim1313: https://t.co/9kSKg4XjUl,zxx,2022-11-27T20:10:15.000Z,1596959609897746432,['1596959609897746432'],790141513
RT @ennui365: yup... https://t.co/hJrPXs5XhB,und,2022-11-27T20:09:48.000Z,1596959494575075328,['1596959494575075328'],790141513
RT @Irma_Spikeymama: Definitely sharing this😁 https://t.co/vIENAzctma,en,2022-11-27T20:08:53.000Z,1596959264974651393,['1596959264974651393'],790141513
RT @vivaneil1234: Grace and poise.😍🥰🤗😂💞,en,2022-11-27T20:08:34.000Z,1596959184938885125,['1596959184938885125'],790141513
"RT @UASunflower: God bless everyone who continues to work, despite the blackout.
Only a few veterinary clinics operate in the city, thanks…",en,2022-11-27T20:07:31.000Z,1596958921205649409,['1596958921205649409'],790141513
RT @jimrosecircus1: https://t.co/NFKm0nVJZk,zxx,2022-11-27T20:03:54.000Z,1596958011129405440,['1596958011129405440'],790141513
RT @stapley_jane: Haha! I think this is pretty accurate!🤣😳😉🤭😁🤗 https://t.co/7CcfBtbf3K,en,2022-11-27T20:03:34.000Z,1596957928686522368,['1596957928686522368'],790141513
RT @purrinink: https://t.co/WV953NfRCz,zxx,2022-11-27T20:03:26.000Z,1596957894628454401,['1596957894628454401'],790141513
RT @DrSpooky_ER: I hate some of the orientation questions we ask patients bc like I don’t even know what day or month it is either.,en,2022-11-27T20:02:51.000Z,1596957745668030464,['1596957745668030464'],790141513
RT @KittyMania5: Good Sunday morning all the tweeter peeps. Many people have started decorating for Christmas. Please make sure any breakab…,en,2022-11-27T20:02:13.000Z,1596957589300183040,['1596957589300183040'],790141513
RT @WholesomeMeme: https://t.co/Q7ldZceMoK,zxx,2022-11-27T18:34:35.000Z,1596935535461007361,['1596935535461007361'],790141513
RT @joncoopertweets: https://t.co/8HnN4peo8Z,zxx,2022-11-27T17:26:52.000Z,1596918491919319042,['1596918491919319042'],790141513
RT @RichardAngwin: Justice Brandeis was right. https://t.co/6PbtZrFm4h,en,2022-11-27T17:26:44.000Z,1596918459363131393,['1596918459363131393'],790141513
RT @fasc1nate: ❤️https://t.co/SfH1JvsKOm,und,2022-11-27T17:26:04.000Z,1596918290240393216,['1596918290240393216'],790141513
RT @vivaneil1234: Time for a nap.🤗😂😍🥰💞,en,2022-11-27T17:24:35.000Z,1596917915684458497,['1596917915684458497'],790141513
RT @purrinink: https://t.co/CC41gmp3wv https://t.co/zEiwolwN5m,zxx,2022-11-27T17:23:57.000Z,1596917760051015680,['1596917760051015680'],790141513
RT @ennui365: https://t.co/sU2rxfOXuO,zxx,2022-11-27T17:18:11.000Z,1596916305067528192,['1596916305067528192'],790141513
