id,author_id,created_at,text,edit_history_tweet_ids,lang
1597033442189119488,1371652329469001728,2022-11-28T01:03:38.000Z,Of* writing.,['1597033442189119488'],en
1597033092962607104,1371652329469001728,2022-11-28T01:02:15.000Z,"@Schwifty9000 @JCAllenNFL Unfortunately this is a very apt comparison, and thus a very solid point you bring up. Unbelievable.",['1597033092962607104'],en
1597002133047738368,1371652329469001728,2022-11-27T22:59:14.000Z,https://t.co/qtcCzHnNyI https://t.co/A0TTCOFx2J,['1597002133047738368'],zxx
1597001835017293825,1371652329469001728,2022-11-27T22:58:02.000Z,Its absolutely mind boggling. Makes zero sense. Are these guys secretly working for the Saints? https://t.co/DxzIwUKNYK,['1597001835017293825'],en
1596993281191464961,1371652329469001728,2022-11-27T22:24:03.000Z,RT @BucsGameday: Gameday Recap: The Tampa Bay Buccaneers Fail to Win Third Straight. #Bucs  https://t.co/u52srMoxzA,['1596993281191464961'],en
1596991639561863168,1371652329469001728,2022-11-27T22:17:32.000Z,"Only Wirfs, man. He’s gotta give us a chance. What a beast. https://t.co/e1n2wYSQjj",['1596991639561863168'],en
1596984530446954496,1371652329469001728,2022-11-27T21:49:17.000Z,"Maybe the worst article I’ve written to date. Not for the quality or#f writing, but for the depressing content. 

The #GoBucs shouldn’t have needed OT to win this game. But they went to OT, and lost it.  https://t.co/OuAUqoO0bm",['1596984530446954496'],en
1596975727848878080,1371652329469001728,2022-11-27T21:14:18.000Z,https://t.co/S3a2tyZkci https://t.co/opicjt6oCe,['1596975727848878080'],zxx
1596975645460140033,1371652329469001728,2022-11-27T21:13:58.000Z,RT @LedyardNFLDraft: Maybe the Bucs season is just a case study to see how often an offense can produce point/conversions with just 2 downs…,['1596975645460140033'],en
1596975357709942784,1371652329469001728,2022-11-27T21:12:50.000Z,@StankBastard Tell ‘em Stank!,['1596975357709942784'],en
1596975186900680705,1371652329469001728,2022-11-27T21:12:09.000Z,The way Jaelon Darden gets manhandled when tackled leads me to believe he weighs less than a low PSI football (shout-out Tom Brady) and is at risk or being lost in the wind on a gusty day.,['1596975186900680705'],en
1596974547210625025,1371652329469001728,2022-11-27T21:09:37.000Z,@BuccaneerMick He was excellent last year as well!,['1596974547210625025'],en
1596973846371786752,1371652329469001728,2022-11-27T21:06:49.000Z,"Old reliable Donovan Smith has reverted to young, much-maligned Donovan Smith these past two games. Costly penalties by the highly paid, veteran, left tackle. 

The result? An incredible, creative play by Brady spoiled.",['1596973846371786752'],en
1596971858963808256,1371652329469001728,2022-11-27T20:58:56.000Z,Bumping this again because boy-oh-boy did it come back to haunt him. https://t.co/wrTjeWYn0S https://t.co/5ohvW8Pb04,['1596971858963808256'],en
1596971313859469312,1371652329469001728,2022-11-27T20:56:46.000Z,Just kidding. It’s clearly the right way to do it. https://t.co/O03s8nKda2,['1596971313859469312'],en
1596971094631927808,1371652329469001728,2022-11-27T20:55:53.000Z,Super excited to watch a coin toss have a significant impact on the final result of this football game.,['1596971094631927808'],en
1596970673812840448,1371652329469001728,2022-11-27T20:54:13.000Z,All I want for Christmas is more Tom Brady yelling at Byron Leftwich. #GoBucs,['1596970673812840448'],en
1596969958843744257,1371652329469001728,2022-11-27T20:51:23.000Z,David Njoku wtf man https://t.co/dyAmGgdzji,['1596969958843744257'],en
1596967870348394496,1371652329469001728,2022-11-27T20:43:05.000Z,The Bucs using just 14 seconds of game clock on that drive is quite simply appalling. 🤮,['1596967870348394496'],en
1596967087020179456,1371652329469001728,2022-11-27T20:39:58.000Z,Huge sack by Rakeem Nunez-Roches. Love to see it from a guy who plays a larger role on this team than those who just watch the game on the field understand.,['1596967087020179456'],en
1596966609205481472,1371652329469001728,2022-11-27T20:38:04.000Z,Good lord these #GoBucs DB’s are dropping faster than Ty Lue in the NBA Finals.,['1596966609205481472'],en
1596963168294940672,1371652329469001728,2022-11-27T20:24:24.000Z,RT @josh_queipo: Great play-caller and game planner.  Horrible game management.,['1596963168294940672'],en
1596963063613116416,1371652329469001728,2022-11-27T20:23:59.000Z,"@60065stan 4th and 2? I’d consider pulling Wirfs (or using Kieft) to run White off tackle to the left side. A hitch pass to Godwin. A drag route to the TE coming from the weak side. I’m not a professional play caller, though. All I know is the Bucs have the weapons to not play scared.",['1596963063613116416'],en
1596961761051435008,1371652329469001728,2022-11-27T20:18:48.000Z,Man… I defend Bowles so much as a defensive coach. But these cowardly decisions on 4th down in + territory are starting to really bother me.,['1596961761051435008'],en
1596958755878744064,1371652329469001728,2022-11-27T20:06:52.000Z,"Keanu Neal’s body language following his almost-sack really got me 😂 

Great to see him follow it up with a real one on the very next play. https://t.co/zfLzxLgsDB",['1596958755878744064'],en
1596957558673399808,1371652329469001728,2022-11-27T20:02:06.000Z,RT @BaileyJAdams22: Begging Jonathan Vilma to stop praising Byron Leftwich for sticking with the run so much,['1596957558673399808'],en
1596957494466576384,1371652329469001728,2022-11-27T20:01:51.000Z,What goes up… https://t.co/ly3h1Ib1xZ,['1596957494466576384'],en
1596956525763100672,1371652329469001728,2022-11-27T19:58:00.000Z,@grantypoooo It truly defies the limits of human comprehension.,['1596956525763100672'],en
1596956290387169280,1371652329469001728,2022-11-27T19:57:04.000Z,Here’s that #GoBucs D we know and love.,['1596956290387169280'],en
1596954634534682624,1371652329469001728,2022-11-27T19:50:29.000Z,Great series by Byron Leftwich. I have no idea why it takes him so long in a given game to start making logical calls. Truly perplexing.,['1596954634534682624'],en
1596953223637925888,1371652329469001728,2022-11-27T19:44:53.000Z,RT @JCAllenNFL: Byron refuses to play to this teams strengths. https://t.co/b0UxToS2wF,['1596953223637925888'],en
1596951353212882945,1371652329469001728,2022-11-27T19:37:27.000Z,"And par for the course this season, the Tampa Bay Buccaneers squander their advantage of possession to start the second half with a quick 3-and-out.",['1596951353212882945'],en
1596949502509752320,1371652329469001728,2022-11-27T19:30:05.000Z,"Need to see less Cam Brate and more Cade Otton. The Bucs’ insistence on using both doesn’t play to their strengths at all. Need to see more 11 man personnel, with Otton as the tight end on the field. End of story. #GoBucs",['1596949502509752320'],en
1596946629818740736,1371652329469001728,2022-11-27T19:18:41.000Z,@bigbucs1 That’s on Bowles.,['1596946629818740736'],en
1596946326398590976,1371652329469001728,2022-11-27T19:17:28.000Z,@SaltyBuc91 Haha I know. Absolutely no need to double down on such a stupid take.,['1596946326398590976'],en
1596946150103613440,1371652329469001728,2022-11-27T19:16:46.000Z,"I wanted to see that one again. It looked out initially but on the replay I saw, it seemed like he almost got both feet in. https://t.co/NHcXkJy7BE",['1596946150103613440'],en
1596945796921892866,1371652329469001728,2022-11-27T19:15:22.000Z,@SaltyBuc91 Lol such a brutal take,['1596945796921892866'],en
1596944277766287362,1371652329469001728,2022-11-27T19:09:20.000Z,I think that’s a weak OPI call on Evans. He was shedding the defenders hands that were already on him. Let it go.,['1596944277766287362'],en
1596943541288153091,1371652329469001728,2022-11-27T19:06:24.000Z,"Tough break for Winfield currently being evaluated for a concussion, having already missed time very recently for that same reason. The last thing you want to see is reoccurring head injuries. The unfortunate reality is that it takes less and less to happen, each time it does.",['1596943541288153091'],en
1596941732557385728,1371652329469001728,2022-11-27T18:59:13.000Z,Third and short play calls are apparently just as difficult for Byron Leftwich as third and long. 😡,['1596941732557385728'],en
1596941269049430016,1371652329469001728,2022-11-27T18:57:22.000Z,"Rachaad White is such a natural pass catcher. It’s great to see him being used as such, with 3 catches already. It definitely adds another dimension when a sure-handed RB is operating on all downs as opposed to coming in almost exclusively as a 3rd down back. #GoBucs",['1596941269049430016'],en
1596938671181029376,1371652329469001728,2022-11-27T18:47:03.000Z,What a stupid challenge by Stefanski.,['1596938671181029376'],en
