text,lang,created_at,id,edit_history_tweet_ids,author_id
@AVindman https://t.co/xUisAJkEGp,qme,2022-11-28T00:16:22.000Z,1597021547734016000,['1597021547734016000'],875111535517028357
@KenGardner11 @SouthJerzGiants Limbaugh called this poser correctly. To knock him is to knock the uniform?,en,2022-11-27T23:32:13.000Z,1597010433931894785,['1597010433931894785'],875111535517028357
"@SouthJerzGiants If their opponents received the same absolution, then the Nats would probably still suck.

If not, their attendance would suck.",en,2022-11-27T22:27:16.000Z,1596994088858841089,['1596994088858841089'],875111535517028357
"@jokerztotheleft - Ah, like ""openly gay,"" evidently the rest of us are gay too but just secretive?

About your state rep, always check for an Adam's apple; if something seems amiss, try another dressing room. https://t.co/ZBAzVbclik",en,2022-11-27T20:20:54.000Z,1596962287956680705,['1596962287956680705'],875111535517028357
"@aakorn And Exxon and Hess have huge, easily accessed fields off Guyana. We'll continue to use hydrocarbons, as Biden knows—just not our own! Ooh, UNCLEAN!",en,2022-11-27T17:04:29.000Z,1596912860554461186,['1596912860554461186'],875111535517028357
"@AbrahamHamadeh @wklong14 My problem with this is that it elevates ""perception"" to something we must resolve! Team that didn't close the sale fans ""perceptions as unfair"" with noise like: blue popular vote in 16, large (empty) areas voting red in 20, inconsist. with polls or recent history. #BigSteal?",en,2022-11-27T16:59:54.000Z,1596911705237651459,['1596911705237651459'],875111535517028357
"@SKMorefield The point, Dr. @AshishKJha, is not that new #Covid dictatorship is hard to maintain, but that it is WRONG-HEADED. A real doctor would know you do not get to zero virus count, and a real policy-maker would consider that #Covid22 is relatively MILD—but our countermoves were DEADLY!",en,2022-11-27T16:32:42.000Z,1596904861307899904,['1596904861307899904'],875111535517028357
"» @PaulRyan will never get many votes but will get lots of corp. PAC money. Cronyism—not Trump—is electoral poison for the @GOP!

E.g.: Biz (and I) love the idea of USA attracting world's best minds. Workers see current immig. simply underbids them for jobs—Trump won '16 on this! https://t.co/04UzeHM8bt",en,2022-11-27T16:23:52.000Z,1596902637638590466,['1596902637638590466'],875111535517028357
"When @AP ""reports"" that reinstating @Twitter users will lead to harm, @ElonMusk accuses AP of its own #Misinformation.

That's just what AP does! Mixed fact with opinion in lead, quoted never-named experts, told us to dislike bef. telling what happened!
https://t.co/l0i5DPOOFi",en,2022-11-27T12:39:16.000Z,1596846114531049472,['1596846114531049472'],875111535517028357
"Saboteur @PaulRyan now has a platform!
•Use tech to have DC review every #Welfare client's purchase! (What marvels could you achieve by doing it to all of us?)
•#CarbonTax is answer when Ryan asks ""What to do about #ClimateCrisis?"" (Not, ""Is it a con?"")
https://t.co/UN48NKsgXF",en,2022-11-27T12:14:12.000Z,1596839808739213313,['1596839808739213313'],875111535517028357
