lang,id,text,edit_history_tweet_ids,author_id,created_at
en,1596999829607313408,"RT @FabrizioRomano: Morocco head coach Regragui: “Trust me, Amrabat is a world-class player. He is a 'key' player in my plans”. ⭐️🇲🇦 #Qatar…",['1596999829607313408'],3182990685,2022-11-27T22:50:04.000Z
en,1596994012358942721,"RT @blacksherif_: STORMZY - THIS IS WHAT I MEAN (starring.
AMAARAE, BLACK SHERIF, JACOB COLLIER,
MS BANKS &amp; STORRY) https://t.co/p4yRij9zSm",['1596994012358942721'],3182990685,2022-11-27T22:26:57.000Z
en,1596962516013178880,RT @drpkmath: Dutch Math Olympiad - A Very Interesting Functional Equation to Solve - ... https://t.co/HZ2JyKhulZ via @YouTube https://t.co…,['1596962516013178880'],3182990685,2022-11-27T20:21:48.000Z
en,1596905454776758272,RT @ESPNFC: Achraf Hakimi celebrating with his mother after Morocco's win against Belgium is everything ❤️🇲🇦 https://t.co/GgAaM0nXl6,['1596905454776758272'],3182990685,2022-11-27T16:35:04.000Z
en,1596900393459806209,RT @ChelsTransfer: As initially reported by @David_Ornstein 👏,['1596900393459806209'],3182990685,2022-11-27T16:14:57.000Z
en,1596893469204942848,RT @ChelsTransfer: #Morocco manager Regragui on Ziyech: “A lot of people talk about him as a difficult guy to manage but what I see is that…,['1596893469204942848'],3182990685,2022-11-27T15:47:26.000Z
en,1596891186223927297,"RT @74WTungsteno: Integration (III): Area under a Function
https://t.co/GEfxat3bip (The Mechanical Universe)
#math #science #iteachmath #mt…",['1596891186223927297'],3182990685,2022-11-27T15:38:22.000Z
en,1596876765938716673,"RT @ChelsTransfer: Prior to signing Antony from Ajax, Manchester United held tentative talks over a price for Pulisic in August and it is a…",['1596876765938716673'],3182990685,2022-11-27T14:41:04.000Z
en,1596876740961484802,RT @ChelsTransfer: Christian Pulisic is understood to be growing equally frustrated at his lack of starts under Graham Potter. (Mail) #CFC…,['1596876740961484802'],3182990685,2022-11-27T14:40:58.000Z
en,1596811968060436480,RT @jimrosecircus1: Selfie of the year. https://t.co/s9gitk4DrZ,['1596811968060436480'],3182990685,2022-11-27T10:23:35.000Z
en,1596794113734889474,"RT @siphillipssport: Mason Mount rejecting a new Chelsea contract 'worth more than £200,000-a-week before flying out to the World Cup' has…",['1596794113734889474'],3182990685,2022-11-27T09:12:38.000Z
en,1596763549799677953,"RT @investmattallen: How to analyze a: 

-Cash Flow Statement 
-Balance Sheet 
-Income Statement 

In less than 3 minutes: https://t.co/8Ct…",['1596763549799677953'],3182990685,2022-11-27T07:11:11.000Z
en,1596607666931269632,RT @FabrizioRomano: Fair to remember that Benfica only paid €10m plus €8m add-ons to sign Enzo Fernández during last summer... and he alrea…,['1596607666931269632'],3182990685,2022-11-26T20:51:45.000Z
