['1596962230180122624'],en,2022-11-27T20:20:40.000Z,1550212670703472642,1596962230180122624,RT @SWPSwansea: #GowerNPT have conducted a leaflet drop and given residents reassurance and advice to report any issues online at https://t…
['1596962226841083904'],en,2022-11-27T20:20:39.000Z,1274511783709904898,1596962226841083904,"RT @Gerashchenko_en: Only one child was left in a de-occupied village - his family didn't evacuate.

📹: 247tro/TikTok https://t.co/Q7NOYBNq…"
['1596962226077777920'],en,2022-11-27T20:20:39.000Z,1278930481606770688,1596962226077777920,The village was swept away when the dam burst https://t.co/QgKfjYPi3X
['1596962203101704193'],en,2022-11-27T20:20:33.000Z,2381537869,1596962203101704193,RT @Wario64: Black Mage Village t-shirt is $15 at The Yetee https://t.co/IHE62HOPa2 #ad https://t.co/Z4kSBYxhpb
['1596962202526703616'],en,2022-11-27T20:20:33.000Z,440432097,1596962202526703616,RT @EBasilion: My parents left their villages in Greece to give us a better life and now all I want to do is live in a village in Greece.
['1596962195606507520'],en,2022-11-27T20:20:32.000Z,1340983523772133382,1596962195606507520,"RT @MargMar80017297: Eritrean forces massacred dozens including priests in the village of Ahis’a, both near Adwa, Tigray. @MikeHammerUSA @S…"
['1596962183774371840'],en,2022-11-27T20:20:29.000Z,1035068305126486016,1596962183774371840,"RT @porbotialora: Hindus of Huluduotamo Village, Suwawa District, Bone Bolango Regency, Gorontalo have to face severe difficulties when wor…"
['1596962175339614208'],en,2022-11-27T20:20:27.000Z,1165719800980615173,1596962175339614208,@Naija_PR Moni don chop on my village
['1596962169295601664'],en,2022-11-27T20:20:25.000Z,1050656095037874179,1596962169295601664,RT @EBasilion: My parents left their villages in Greece to give us a better life and now all I want to do is live in a village in Greece.
['1596962159816331270'],en,2022-11-27T20:20:23.000Z,1109431058163032065,1596962159816331270,The soldiers were quartered in the village   https://t.co/VIo7fJWVpf
['1596962152828395520'],en,2022-11-27T20:20:22.000Z,1387514747738857472,1596962152828395520,"passes, in village streets, and on the crazy pavements of       #世界杯买球 #世界杯下注 #世界杯外围  https://t.co/1SXcshXhbi"
['1596962150383120384'],en,2022-11-27T20:20:21.000Z,1163523013159063557,1596962150383120384,RT @bonitaonsafari: There is guy called Fathi Shipa. If you go to coast call him. He has packages that includes pick up from the hotel and…
['1596962144159166465'],en,2022-11-27T20:20:19.000Z,15150549,1596962144159166465,"@N01_Really @KyivIndependent I don’t think the article was saying CN can’t choose. It’s more just, it’s in the interest of the village to know who’s supplying the town drunk with alcohol even though they know he goes home and beats his own family,(🇷🇺) and then goes next door and attacks the neighbor too (🇺🇦)"
['1596962142326255616'],en,2022-11-27T20:20:19.000Z,895792087010091008,1596962142326255616,"RT @noreward_norisk: Another 200 men delivered to the village of Carlingford, Ireland in the middle of the night. Where are the women and c…"
['1596962139339915264'],en,2022-11-27T20:20:18.000Z,1545074598768689152,1596962139339915264,"RT @tigray_micky: Eritrean forces massacred dozens including priests in the village of Ahis’a, both near Adwa, Tigray. @MikeHammerUSA @SecB…"
['1596962138194554880'],en,2022-11-27T20:20:18.000Z,1577972253991481344,1596962138194554880,"RT @Omid_Jafari: Hazara women and children who were brutally shot dead by the Taliban in Sevak village, Daykundi last Thursday. Taliban con…"
['1596962128078176256'],en,2022-11-27T20:20:16.000Z,1493730311741448195,1596962128078176256,"RT @yemane_birhan: .Eritrean forces massacred dozens including priests in the village of Ahis’a, both near Adwa, Tigray. @MikeHammerUSA @Se…"
['1596962121547272192'],en,2022-11-27T20:20:14.000Z,1189837278505578496,1596962121547272192,@pinkie_tsigan Noo I never knew you stay in the village mubende
