"RT @taylorrsfolder: reminder that this is a sad and gorey rated r film about two lover cannibals going from town to town murdering, stealin…",['1596962198756110337'],1483173253644496899,2022-11-27T20:20:32.000Z,1596962198756110337,en,
RT @Tony40335450: Welcome to ‘any town England’ 🙏 https://t.co/offEF5hX3p,['1596962198269853696'],1409135076412166148,2022-11-27T20:20:32.000Z,1596962198269853696,en,
RT @JacksonR08: @RepAndyBiggsAZ The second amendment clearly states that people can carry nuclear weapons and rocket launchers around the t…,['1596962197506514944'],296367776,2022-11-27T20:20:32.000Z,1596962197506514944,en,
"RT @Chydovsky: Hello @Omojuwa, sincere Nigerians aren't looking for political ""heavy weights"" like y'all supported in 2015 and later became…",['1596962197414215680'],2984134097,2022-11-27T20:20:32.000Z,1596962197414215680,en,
@dommyinla I’m just not a Dunkin fan. We have some Mom and Pop places in town that are bomb 🤤,['1596962194583060481'],21992362,2022-11-27T20:20:31.000Z,1596962194583060481,en,
RT @bigfacebritt: I feel like Ginuwine should be in his black Christmas movie bag … he could absolutely be the single father who’s raising…,['1596962191265366022'],20529504,2022-11-27T20:20:31.000Z,1596962191265366022,en,
"RT @MuluGeb1: 📌Civilians accused of aiding #Tigray forces are being Killed in the southern town of Alamata,according to a resident there wh…",['1596962189503365120'],1497124692217446400,2022-11-27T20:20:30.000Z,1596962189503365120,en,
"@Lucy_Worsley An enjoyable first AC episode which I’ve just watched! I recently had my flu jab at Torquay Town Hall, in that very large hall where Agatha Christie worked as a nurse. It’s so beautiful inside and lovely to know it still has a medical use. 😊x",['1596962188862054400'],19987249,2022-11-27T20:20:30.000Z,1596962188862054400,en,
"RT @HarakHarak3: Dozens youths were killed by Eritrean forces in  #Tigray town of Axum on Nov. 17, a humanitarian worker told the AP.“The k…",['1596962187993436161'],127530923,2022-11-27T20:20:30.000Z,1596962187993436161,en,
"@mean_toe @Imposter_Edits I don’t think it’s the town was the main talking point. 
The American flag makes people feel uncomfortable these days. 
I’m one of them. I get it. 
Isn’t it sad that a symbol that once united us, now makes us feel divided?",['1596962185451741185'],2321193966,2022-11-27T20:20:29.000Z,1596962185451741185,en,
"#足球 #体育  The town of Hilton Head Island, on the northeast coast, has a population of, https://t.co/HvBgwc4isa",['1596962183157424128'],1596269375945834496,2022-11-27T20:20:29.000Z,1596962183157424128,en,
"RT @TrungTPhan: The FTX story just gets wilder. 

Earlier this year, SBF invested $11.5m in Farmington State Bank in Washington St. (nearly…",['1596962180922048512'],1324901440142385152,2022-11-27T20:20:28.000Z,1596962180922048512,en,
RT @Melziibaby: Spain inna dem town!,['1596962177495072768'],1286355068799901696,2022-11-27T20:20:27.000Z,1596962177495072768,en,
"#开云体育 #火狐体育 #世界杯  #卡塔尔  https://t.co/XquaZ23R0K
Benefit worker station town candidate hold actually deep.
💯👌😍💋🤏",['1596962177293774848'],1525110300000780288,2022-11-27T20:20:27.000Z,1596962177293774848,en,
"RT @AduAdu81039064: Civilians accused of aiding #Tigray forces are being Killed in the southern town of Alamata,according to a resident the…",['1596962175364366337'],1566775403754168327,2022-11-27T20:20:27.000Z,1596962175364366337,en,
"@CharlotteEmmaUK Fuck me, I bet half the town needed counselling after witnessing that traumatic scene . . .",['1596962168460566528'],1587811970270593027,2022-11-27T20:20:25.000Z,1596962168460566528,en,
"RT @VOT_TDF: Dozens youths were killed by Eritrean forces in  #Tigray town of Axum on Nov. 17, a humanitarian worker told the AP.“The killi…",['1596962166342823937'],1438954847588528133,2022-11-27T20:20:25.000Z,1596962166342823937,en,
