['1596962246223360000'],"RT @KeyserSosse: November 27th, 2011

Rifleman Sheldon Lee Jordan Steel, aged 20 from Leeds, and of 5th Battalion The Rifles, was killed by…",1596962246223360000,2022-11-27T20:20:44.000Z,359654242,en
['1596962243589308416'],"RT @WallStreetSilv: The CCP is going to have to crack down hard in order to survive, similar to the Tiananmen square massacre in 1989. Thes…",1596962243589308416,2022-11-27T20:20:43.000Z,356434482,en
['1596962236391886848'],"RT @44MagnumBlue1: United States Army Specialist Four Joel David Wolfe was killed in action on November 27, 1968 in Tay Ninh Province, Sout…",1596962236391886848,2022-11-27T20:20:41.000Z,497466305,en
['1596962233979785217'],"RT @songpinganq: Chinese government is still building quarantine camps in the heavy snow, in Xinjiang province. https://t.co/kskMBFiwfL",1596962233979785217,2022-11-27T20:20:41.000Z,1586755607595474949,en
['1596962232197206016'],a province rent from the empire https://t.co/yLdKd4iKBH,1596962232197206016,2022-11-27T20:20:40.000Z,3238426689,en
['1596962223897083904'],"RT @WallStreetSilv: The CCP is going to have to crack down hard in order to survive, similar to the Tiananmen square massacre in 1989. Thes…",1596962223897083904,2022-11-27T20:20:38.000Z,108975367,en
['1596962216619937793'],@SoniaFurstenau How about embracing a province where people get timely effective lifesaving health care ?  You had that ability and you refused to act when you held the balance of power. Remember Sonia?,1596962216619937793,2022-11-27T20:20:37.000Z,3339174444,en
['1596962213826134018'],"RT @mbindwane: The horrors of the Soviet Union. How the Soviets starved their own citizens to death on purpose.

#Holodomor. This is what t…",1596962213826134018,2022-11-27T20:20:36.000Z,976226772235665408,en
['1596962197808197633'],"RT @ChristyCeeCK: ""I want to give the people of Ontario reassurance that if your child is sick in the province of Ontario, you are going to…",1596962197808197633,2022-11-27T20:20:32.000Z,4718965428,en
['1596962158088138754'],"RT @ICHRI: University students in Sanandaj, Kurdistan Province, singing the protest anthem, “In the Name of Woman, Life, Freedom…”
#MahsaAm…",1596962158088138754,2022-11-27T20:20:23.000Z,1270325933581492224,en
['1596962133501104128'],"RT @ChristyCeeCK: ""I want to give the people of Ontario reassurance that if your child is sick in the province of Ontario, you are going to…",1596962133501104128,2022-11-27T20:20:17.000Z,1315170773699563522,en
['1596962128442712064'],"RT @FahimSattarDal: The Sindh Minister @sharjeelinam announced that very soon a modern, affordable and environment-friendly electric taxi s…",1596962128442712064,2022-11-27T20:20:16.000Z,1200942270704427011,en
['1596962124399792128'],"RT @ChristyCeeCK: ""I want to give the people of Ontario reassurance that if your child is sick in the province of Ontario, you are going to…",1596962124399792128,2022-11-27T20:20:15.000Z,183862495,en
