['1596962605729742848'],"@Leeeford_ he never had a clue on how to protect mayfield either..
even when it was obvious that the opponent was going to bring the house..",1596962605729742848,2022-11-27T20:22:09.000Z,855063407485177857,en
['1596962605662621697'],"RT @WilliamsRuto: At State House, Nairobi, received an update from Burundi President and the Chairperson of the EAC Heads of State Summit @…",1596962605662621697,2022-11-27T20:22:09.000Z,1530240160079691778,en
['1596962605330931713'],"RT @TheBiggBossGirl: Lol Bigg Boss got pissed coz he was called biased, so he made sure half ration is gone &amp; whole house can go against he…",1596962605330931713,2022-11-27T20:22:09.000Z,1578196533971148801,en
['1596962605184454656'],"RT @SusanSmithAus: Julian Hill MP

“We should also seriously consider voting to require Scott Morrison to front the house and provide a for…",1596962605184454656,2022-11-27T20:22:09.000Z,1585725524458237952,en
['1596962604903059456'],"RT @RandPaul: Didn’t someone try to legislatively mandate a special inspector general to scrutinize Ukrainian spending?  Oh, that’s right,…",1596962604903059456,2022-11-27T20:22:09.000Z,1520044333734318080,en
['1596962604672770048'],Live true think house by specific. https://t.co/K3kqdrBFW8,1596962604672770048,2022-11-27T20:22:09.000Z,1587712759378382848,en
['1596962603867185155'],The president meet with senior white house aide at breakfast https://t.co/vNPj1OFgse,1596962603867185155,2022-11-27T20:22:09.000Z,1590240784816930818,en
['1596962603569672193'],RT @anthonystilldey: Make I send Tfare make una use am fill gas for house.🤣,1596962603569672193,2022-11-27T20:22:09.000Z,1322991669889933313,en
['1596962602634338304'],"RT @akorive001: This Hausa culture that the bride is responsible for furnishing the house, from foot mat to food stuff, is totally un-Islam…",1596962602634338304,2022-11-27T20:22:09.000Z,136332919,en
['1596962602499731456'],🎉 'Harry’s House' by Harry Styles has now surpassed 3.8 billion streams on Spotify. https://t.co/btiY9DbNUK,1596962602499731456,2022-11-27T20:22:09.000Z,981035680854929408,en
['1596962602185203712'],"RT @pattipetersonny: @laurenboebert Dirty deals? Lol.
Jared got $2B! For what?
🤞Saudi money turns up in your cult leader’s tax returns!
Loo…",1596962602185203712,2022-11-27T20:22:09.000Z,1296644845000302592,en
['1596962601699008512'],RT @anthonystilldey: Make I send Tfare make una use am fill gas for house.🤣,1596962601699008512,2022-11-27T20:22:09.000Z,1567455630339850240,en
['1596962601661247490'],"RT @thehill: Sen. @ChrisMurphyCT on an assault weapons ban: ""The House has already passed it. It's sitting in front of the Senate. Does it…",1596962601661247490,2022-11-27T20:22:09.000Z,612397643,en
['1596962601572786177'],"@RankedReal i dont think erika is a good addition to the show anymore, the only reason she got casted was bc of tom’s house/money/ which she doesnt have anymore.",1596962601572786177,2022-11-27T20:22:09.000Z,1329093520787849219,en
['1596962601107623936'],"RT @GramG46133627: Around the country, DeSantis noted, many Republicans fell short in this year’s midterm elections. Florida, he said, offe…",1596962601107623936,2022-11-27T20:22:08.000Z,1410259788710166536,en
['1596962601036283905'],“Alice’s Restaurant” was a staple in the car driving to my aunt and uncle’s house every Thanksgiving. It is one of my few happy memories of childhood holidays. https://t.co/a83dpLnDKf,1596962601036283905,2022-11-27T20:22:08.000Z,1408421143011381257,en
['1596962600373276672'],$20 get yo seed in the ground $250 get your weed out the ground &amp; to yo house,1596962600373276672,2022-11-27T20:22:08.000Z,2320221343,en
['1596962600172290048'],"RT @akorive001: This Hausa culture that the bride is responsible for furnishing the house, from foot mat to food stuff, is totally un-Islam…",1596962600172290048,2022-11-27T20:22:08.000Z,458216319,en
['1596962600117735427'],Thank you to Mrs. Rollins at @BearBranchInt by expecting Ss to practice and making it fun! The sax has been a fun addition to her piano playing. Christmas music has filled our house all week! 🎶🎷🎹 🎄 https://t.co/ncsS0YmB8u https://t.co/o7na5tpDCE,1596962600117735427,2022-11-27T20:22:08.000Z,3858390852,en
