"RT @TDf_forlife: In addition to horrofic mass killing,arresting &amp; torturing of civilians by amhara invading forces, &gt;150 maytsebri civilian…",2022-11-27T20:19:52.000Z,en,1596962031097196544,['1596962031097196544'],1493730311741448195,
"RT @BornAKang: wwe: These are trained professionals please don’t try this at home 

Me and my siblings: https://t.co/aaXCWAiFZj",2022-11-27T20:19:52.000Z,en,1596962030837469185,['1596962030837469185'],427751930,
"RT @kiraincongress: Our neighboring countries prepared for a new wave of refugees. However, majority of #Ukrainians decided to stay at home…",2022-11-27T20:19:52.000Z,en,1596962030292176896,['1596962030292176896'],435461591,
the struggle of deciding whether i want to accept work on tuesday to make some ez money or stay home and wait for all my xmas packages to show up,2022-11-27T20:19:52.000Z,en,1596962029944070144,['1596962029944070144'],732029470278844417,
"RT @ShawnJox: You get home and see me like this 💁🏻‍♂️
What are you doing next Sir ? https://t.co/I0bhUt15OJ",2022-11-27T20:19:52.000Z,en,1596962029767602178,['1596962029767602178'],1085254685357858817,
"l, was absent. She had been ill, and had gone home f      https://t.co/ArSxvr3LNu",2022-11-27T20:19:52.000Z,en,1596962029566558208,['1596962029566558208'],1283310445097635840,
"RT @PMGPSC: Long Saturday night.
Got home at dawn.
13 yo daughter. https://t.co/doje7KRmIi",2022-11-27T20:19:52.000Z,en,1596962029398806528,['1596962029398806528'],1368512869,
Free current maintain black good line home first shoulder. https://t.co/MlbPxyHYCo,2022-11-27T20:19:52.000Z,en,1596962029235015681,['1596962029235015681'],1587737316990205952,
Free current maintain black good line home first shoulder. https://t.co/uxW3gIhBJ5,2022-11-27T20:19:52.000Z,en,1596962029201674241,['1596962029201674241'],1587123926022656000,
Germany going home today,2022-11-27T20:19:52.000Z,en,1596962028954202113,['1596962028954202113'],301782074,
"Most public health education warns against playing with novel disease. There is also extensive coverage of the harms/side effects of some of the more intrusive public health measures (like stay at home orders). 

Dealing with a pandemic was never going to be easy.",2022-11-27T20:19:52.000Z,en,1596962028236992512,['1596962028236992512'],881708118903726080,
"a little late but if ben simmons is posting anybody up, you just gotta stay home bc i think you’re ok with just making ben simmons try to score there",2022-11-27T20:19:52.000Z,en,1596962028081778688,['1596962028081778688'],424753040,
Oh shit. Germany are going home....? #ESP,2022-11-27T20:19:52.000Z,en,1596962028081463296,['1596962028081463296'],38492601,
"@piercedplague @DumasKyrie ""Sorry dear but I promise I'll give you... A gift after dinner! Yes dinner!"" he smiled at her and grabbed his guitar and Knife walking away towards their home ""Plus you two can catch up!""",2022-11-27T20:19:52.000Z,en,1596962027477487616,['1596962027477487616'],1235784275091509250,
"@nathaliejacoby1 @CalltoActivism Never listened to that nut, cut up my Home Depot credit card weeks ago, and never went to the religious chicken joint.",2022-11-27T20:19:52.000Z,en,1596962027117121536,['1596962027117121536'],1551682577643307009,
Lmaoo….Germany is going home,2022-11-27T20:19:51.000Z,en,1596962026932535298,['1596962026932535298'],439927467,
"RT @master_nobody: Once an introvert gets pissed, they're done. I mean for real. There's no coming back. They're done with all the thinking…",2022-11-27T20:19:51.000Z,en,1596962026588602370,['1596962026588602370'],722190814286372864,
"Germany on their way home now,surely",2022-11-27T20:19:51.000Z,en,1596962026445672449,['1596962026445672449'],845031198678233089,
"@Crackfoxx I had constant dislocations as a kid, until one day, it went to so bad I snapped the kneecap in half.

It was assumed it was a dislocation, so I had to walk on it to the car, then home, then around before they agreed to take me to the hospital.",2022-11-27T20:19:51.000Z,en,1596962026387111937,['1596962026387111937'],1538931375759364098,
"@Jason Free! I was a college junior interning for a congressman in their home district. GW came to town, and my boss pulled me up so I could meet him. Coolest experience of my life up to that point!",2022-11-27T20:19:51.000Z,en,1596962026265640962,['1596962026265640962'],1587956661054050305,
RT @Iercsainz: my home 💌 https://t.co/mgmpZAs5tq,2022-11-27T20:19:51.000Z,en,1596962026017869824,['1596962026017869824'],1548819783772160002,
"I love being at home, being with friends

 https://t.co/Hl9xFXAFTw",2022-11-27T20:19:51.000Z,en,1596962025753690115,['1596962025753690115'],1059295910,{'place_id': '01da545b582fc86b'}
Ze Germans are going home.,2022-11-27T20:19:51.000Z,en,1596962025749762049,['1596962025749762049'],401443455,
"RT @lu_carmenrd: read this entire thing and somewhere along the way i cracked, so now i'm sitting here and crying because of how close to h…",2022-11-27T20:19:51.000Z,en,1596962025732644866,['1596962025732644866'],5614412,
